,p1_per,p1_min,p1_max,p2_per,p2_min,p2_max,p3_per,p3_min,p3_max,p4_per,p4_min,p4_max,p5_per,p5_min,p5_max
beta,7.130000E+01,1.551259E-02,1.072475E+00,5.480000E+01,1.984634E-02,1.558633E+00,4.590000E+01,2.652600E-02,1.948073E+00,4.010000E+01,3.773491E-02,2.216012E+00,3.590000E+01,6.184600E-02,2.230073E+00
gammam,3.440000E+01,1.555363E-01,1.535430E+00,3.450000E+01,1.140142E-01,1.818772E+00,3.460000E+01,9.244545E-02,1.995942E+00,3.480000E+01,7.852542E-02,2.117574E+00,3.510000E+01,6.855493E-02,2.203091E+00
gammamRNA,3.500000E+01,5.439926E-02,2.358017E+00,3.650000E+01,3.197158E-02,2.397376E+00,3.960000E+01,2.260080E-02,2.145576E+00,4.520000E+01,1.719064E-02,1.782460E+00,5.720000E+01,1.349226E-02,1.343299E+00
gammad,3.460000E+01,8.099196E-02,2.113938E+00,3.470000E+01,8.112900E-02,2.111022E+00,3.470000E+01,8.145273E-02,2.103569E+00,3.470000E+01,8.224729E-02,2.085713E+00,3.480000E+01,8.420888E-02,2.042946E+00
alphaass,4.720000E+01,2.251673E-02,1.938446E+00,4.280000E+01,2.814194E-02,2.153480E+00,3.950000E+01,3.648366E-02,2.293514E+00,3.690000E+01,5.033441E-02,2.313897E+00,3.480000E+01,7.967255E-02,2.106900E+00
alphadiss,3.560000E+01,6.006848E-02,2.274555E+00,3.900000E+01,3.237219E-02,2.361138E+00,4.410000E+01,2.022434E-02,2.123114E+00,5.210000E+01,1.371217E-02,1.715668E+00,6.780000E+01,1.014798E-02,1.188873E+00
phi0,7.150000E+01,1.548431E-02,1.067782E+00,5.470000E+01,1.988677E-02,1.561922E+00,4.570000E+01,2.672510E-02,1.956261E+00,3.990000E+01,3.834492E-02,2.222865E+00,3.580000E+01,6.412085E-02,2.216708E+00
f1,3.460000E+01,5.985175E-02,2.518839E+00,3.460000E+01,6.082147E-02,2.496105E+00,3.460000E+01,6.374994E-02,2.429313E+00,3.470000E+01,7.301508E-02,2.242689E+00,3.490000E+01,1.067575E-01,1.763514E+00
f2,4.620000E+01,1.030449E-01,7.142668E-01,4.230000E+01,8.073918E-02,1.109630E+00,3.920000E+01,7.335028E-02,1.512489E+00,3.650000E+01,7.449393E-02,1.886560E+00,3.420000E+01,8.774300E-02,2.118182E+00
f12,3.460000E+01,7.468306E-02,2.200057E+00,3.470000E+01,7.606841E-02,2.177905E+00,3.470000E+01,7.927196E-02,2.128859E+00,3.480000E+01,8.727195E-02,2.015299E+00,3.500000E+01,1.120448E-01,1.730869E+00
kb1,3.370000E+01,6.398830E-02,2.054209E+00,3.210000E+01,4.748634E-02,1.658266E+00,3.100000E+01,4.164490E-02,1.176621E+00,3.020000E+01,4.070978E-02,7.426114E-01,2.960000E+01,4.573992E-02,3.960570E-01
kb2,4.610000E+01,7.229115E-02,1.441416E+00,4.150000E+01,5.261415E-02,2.205969E+00,3.840000E+01,4.753681E-02,2.664687E+00,3.630000E+01,4.891180E-02,2.797725E+00,3.500000E+01,5.971405E-02,2.542615E+00
ku1,6.100000E+01,1.429155E-02,1.447725E+00,5.240000E+01,1.710306E-02,1.765354E+00,4.580000E+01,2.180499E-02,2.077426E+00,4.060000E+01,3.043097E-02,2.325890E+00,3.650000E+01,5.070663E-02,2.353263E+00
ku2,3.490000E+01,6.052979E-02,2.526753E+00,3.590000E+01,5.004908E-02,2.785110E+00,3.770000E+01,4.916814E-02,2.657917E+00,4.070000E+01,5.480980E-02,2.205272E+00,4.510000E+01,7.561510E-02,1.433009E+00
bcoop,3.480000E+01,4.964753E-02,2.192989E+00,3.560000E+01,2.997599E-02,1.841381E+00,3.690000E+01,2.199163E-02,1.374117E+00,3.890000E+01,1.782406E-02,9.571566E-01,4.170000E+01,1.572939E-02,6.275124E-01
ucoop,3.580000E+01,4.998764E-02,2.414951E+00,3.540000E+01,5.806870E-02,2.334220E+00,3.500000E+01,6.962735E-02,2.213443E+00,3.460000E+01,8.807415E-02,2.028184E+00,3.430000E+01,1.249753E-01,1.716723E+00
