,p1_per,p1_min,p1_max,p2_per,p2_min,p2_max,p3_per,p3_min,p3_max,p4_per,p4_min,p4_max,p5_per,p5_min,p5_max
beta,6.770000E+01,2.380912E-03,1.507233E-02,5.900000E+01,2.479529E-03,2.414737E-02,5.200000E+01,2.951303E-03,3.203954E-02,4.630000E+01,3.935758E-03,3.705331E-02,4.100000E+01,6.202959E-03,3.585667E-02
gammam,5.330000E+01,4.262287E-03,2.486551E-02,5.680000E+01,2.924282E-03,2.547131E-02,6.060000E+01,2.308194E-03,2.263187E-02,6.540000E+01,2.014959E-03,1.780827E-02,7.100000E+01,2.002271E-03,1.166043E-02
gammamRNA,4.290000E+01,5.789848E-03,3.571750E-02,4.780000E+01,3.789334E-03,3.605171E-02,5.320000E+01,2.888275E-03,3.096689E-02,5.970000E+01,2.451952E-03,2.331951E-02,6.790000E+01,2.375312E-03,1.454267E-02
gammad,5.920000E+01,2.469263E-03,2.393369E-02,5.920000E+01,2.469342E-03,2.392503E-02,5.920000E+01,2.469535E-03,2.390448E-02,5.920000E+01,2.469995E-03,2.385454E-02,5.920000E+01,2.471137E-03,2.373376E-02
alphaass,7.190000E+01,2.144132E-03,1.247915E-02,6.440000E+01,2.190544E-03,1.920608E-02,5.830000E+01,2.550579E-03,2.463506E-02,5.320000E+01,3.297383E-03,2.785556E-02,4.870000E+01,4.949032E-03,2.697509E-02
alphadiss,5.340000E+01,4.358228E-03,2.331564E-02,5.750000E+01,2.809764E-03,2.447417E-02,6.230000E+01,2.072979E-03,2.201107E-02,6.800000E+01,1.698461E-03,1.735206E-02,7.490000E+01,1.626041E-03,1.115644E-02
phi0,6.820000E+01,2.390382E-03,1.456835E-02,5.940000E+01,2.464616E-03,2.369110E-02,5.240000E+01,2.917546E-03,3.168717E-02,4.650000E+01,3.867766E-03,3.691310E-02,4.130000E+01,6.032450E-03,3.613789E-02
f1,6.010000E+01,2.075991E-03,2.622988E-02,6.000000E+01,2.103333E-03,2.605039E-02,5.990000E+01,2.173818E-03,2.560051E-02,5.940000E+01,2.365196E-03,2.444801E-02,5.840000E+01,2.970694E-03,2.136559E-02
f2,6.010000E+01,2.543286E-03,2.160095E-02,5.440000E+01,2.322776E-03,3.656300E-02,4.920000E+01,2.476480E-03,5.210325E-02,4.420000E+01,3.015004E-03,6.494317E-02,3.900000E+01,4.478618E-03,6.757614E-02
f12,5.910000E+01,2.457211E-03,2.259980E-02,5.910000E+01,2.457581E-03,2.266104E-02,5.910000E+01,2.459241E-03,2.289598E-02,5.930000E+01,2.469325E-03,2.381255E-02,5.960000E+01,2.570880E-03,2.739869E-02
kb1,5.020000E+01,4.429861E-03,1.860904E-01,5.260000E+01,2.907362E-03,1.498360E-01,5.430000E+01,2.398622E-03,1.023536E-01,5.620000E+01,2.222578E-03,6.011496E-02,5.880000E+01,2.375176E-03,2.827321E-02
kb2,6.270000E+01,2.660438E-03,1.692986E-02,5.840000E+01,2.468904E-03,2.549022E-02,5.430000E+01,2.664074E-03,3.227618E-02,5.030000E+01,3.257234E-03,3.555373E-02,4.620000E+01,4.729752E-03,3.256343E-02
ku1,7.790000E+01,1.845826E-03,9.209721E-03,7.130000E+01,1.790795E-03,1.475936E-02,6.430000E+01,2.052649E-03,2.031265E-02,5.760000E+01,2.671966E-03,2.479271E-02,5.130000E+01,4.107950E-03,2.601292E-02
ku2,4.790000E+01,4.751540E-03,3.004278E-02,5.190000E+01,3.240386E-03,3.309836E-02,5.560000E+01,2.649717E-03,3.010603E-02,5.930000E+01,2.469748E-03,2.370587E-02,6.320000E+01,2.710521E-03,1.552997E-02
bcoop,5.490000E+01,1.721664E-03,6.145220E-02,5.550000E+01,1.779014E-03,5.327282E-02,5.640000E+01,1.896047E-03,4.317874E-02,5.780000E+01,2.140109E-03,3.188390E-02,6.000000E+01,2.708586E-03,2.022781E-02
ucoop,6.070000E+01,2.634997E-03,2.059206E-02,5.630000E+01,2.205060E-03,3.144337E-02,5.370000E+01,2.038122E-03,3.998211E-02,5.240000E+01,1.974409E-03,4.586671E-02,5.170000E+01,1.950097E-03,4.924778E-02
