,p1_per,p1_min,p1_max,p2_per,p2_min,p2_max,p3_per,p3_min,p3_max,p4_per,p4_min,p4_max,p5_per,p5_min,p5_max
beta,1.027000E+02,4.332546E-03,1.917429E+00,7.010000E+01,5.329561E-03,2.474972E+00,5.500000E+01,6.904720E-03,3.065136E+00,4.630000E+01,9.713748E-03,3.656397E+00,4.080000E+01,1.588345E-02,4.131361E+00
gammam,6.830000E+01,1.958396E-02,2.674782E+00,6.470000E+01,9.643775E-03,2.747231E+00,6.590000E+01,6.065220E-03,2.609993E+00,7.450000E+01,4.365824E-03,2.418147E+00,1.011000E+02,3.427545E-03,2.247229E+00
gammamRNA,4.760000E+01,1.526318E-02,4.311902E+00,4.980000E+01,8.994501E-03,3.783297E+00,5.630000E+01,6.682507E-03,3.107717E+00,6.940000E+01,5.384767E-03,2.488928E+00,9.940000E+01,4.465710E-03,1.950115E+00
gammad,6.710000E+01,5.518910E-03,2.563432E+00,6.710000E+01,5.520426E-03,2.562466E+00,6.720000E+01,5.524161E-03,2.560159E+00,6.710000E+01,5.533355E-03,2.554585E+00,6.730000E+01,5.555189E-03,2.541258E+00
alphaass,6.390000E+01,5.849818E-03,2.663535E+00,5.540000E+01,7.325947E-03,3.009291E+00,4.970000E+01,9.579885E-03,3.318966E+00,4.580000E+01,1.334059E-02,3.552712E+00,4.330000E+01,2.081918E-02,3.639494E+00
alphadiss,4.600000E+01,2.169690E-02,3.592136E+00,5.010000E+01,1.213013E-02,3.360258E+00,5.740000E+01,7.597718E-03,2.942501E+00,7.090000E+01,5.086392E-03,2.453233E+00,1.024000E+02,3.645671E-03,1.946520E+00
phi0,1.223000E+02,4.111835E-03,1.750304E+00,8.520000E+01,4.702311E-03,2.149475E+00,6.740000E+01,5.505102E-03,2.554998E+00,5.670000E+01,6.625878E-03,2.979128E+00,4.950000E+01,8.291077E-03,3.409245E+00
f1,6.710000E+01,5.530468E-03,2.561210E+00,6.750000E+01,5.717087E-03,2.543674E+00,6.920000E+01,6.731949E-03,2.458709E+00,7.520000E+01,1.190540E-02,2.157636E+00,8.330000E+01,3.465799E-02,1.436621E+00
f2,1.088000E+02,1.361049E-02,8.497088E-01,8.280000E+01,7.489271E-03,1.636752E+00,6.680000E+01,5.497827E-03,2.581857E+00,5.670000E+01,4.705148E-03,3.758557E+00,4.980000E+01,4.469453E-03,5.207352E+00
f12,6.700000E+01,5.445659E-03,2.570726E+00,6.720000E+01,5.554821E-03,2.558193E+00,6.760000E+01,5.910626E-03,2.518221E+00,6.870000E+01,7.215751E-03,2.389580E+00,7.300000E+01,1.425815E-02,1.939291E+00
kb1,7.510000E+01,7.239425E-03,5.270480E+00,6.920000E+01,5.899084E-03,3.424213E+00,6.590000E+01,5.382608E-03,2.014956E+00,6.440000E+01,5.606056E-03,1.026338E+00,6.480000E+01,7.723466E-03,3.953450E-01
kb2,1.022000E+02,9.976411E-03,2.124647E+00,7.920000E+01,6.911756E-03,2.513216E+00,6.760000E+01,5.576412E-03,2.565412E+00,6.120000E+01,4.860281E-03,2.440698E+00,5.790000E+01,4.560692E-03,2.203788E+00
ku1,1.245000E+02,2.817990E-03,1.858300E+00,9.020000E+01,3.725817E-03,2.145104E+00,6.920000E+01,5.237036E-03,2.506932E+00,5.630000E+01,8.009350E-03,2.918177E+00,4.800000E+01,1.426467E-02,3.301821E+00
ku2,5.930000E+01,4.812343E-03,2.178941E+00,6.200000E+01,4.952190E-03,2.434698E+00,6.800000E+01,5.620154E-03,2.569752E+00,7.940000E+01,6.947362E-03,2.527387E+00,1.026000E+02,1.002236E-02,2.145950E+00
bcoop,5.970000E+01,1.728574E-02,7.334372E+00,5.900000E+01,1.204044E-02,6.147800E+00,5.960000E+01,9.195287E-03,4.993377E+00,6.140000E+01,7.391580E-03,3.962474E+00,6.440000E+01,6.154725E-03,3.079530E+00
ucoop,6.290000E+01,6.281665E-03,2.714795E+00,5.860000E+01,7.524144E-03,2.904603E+00,5.500000E+01,9.341371E-03,3.091395E+00,5.200000E+01,1.228367E-02,3.264516E+00,4.930000E+01,1.801652E-02,3.392381E+00
