,log10_var,log10_left_bound,log10_right_bound
beta,0.16136800223497488,0.030503923974654127,0.509720798474382
gammam,-0.50265561898242,-0.8197012923537923,-0.3652107231669145
gammamRNA,-1.3258740172572918,-1.5057117693097313,-1.1850496138686668
gammad,-1.3450537734156558,-3.3010299956639813,-1.0
alphaass,-0.7373116556983035,-1.0085923546693711,-0.09504408061735943
alphadiss,1.6841269256130753,1.0391446048011186,1.953983708446331
phi0,-1.178945244953112,-1.3104422955660902,-0.8342292979976392
f1,1.9504622189055978,1.790925838804148,2.0
f2,-0.8655041441653264,-3.0,0.2902118827294781
f12,-2.6230582428532414,-3.0,0.18057375793959346
kb1,-0.8907590314117968,-1.0761415384166195,-0.385440802288055
kb2,-2.5949953349496306,-3.0,-2.1776764226934633
ku1,0.46448954743397136,0.01683812573209766,0.6477197949826883
ku2,-1.9685915357483759,-2.0,-1.6337938639059562
bcoop,0.9845273133437926,0.051555677440228674,1.3010299956639813
ucoop,-0.5587763257573876,-1.3010299956639813,-0.11925178495272815
