,log10_var,log10_left_bound,log10_right_bound
beta,-0.014034921695129158,-0.08773284452284899,0.18629240685837656
gammam,-0.7567138539165539,-0.9013006563008384,-0.6828160166200155
gammamRNA,-0.15820270112564472,-0.3496909956787019,-0.08129080300401986
gammad,-2.1453903619042047,-3.3010299956639813,-1.0
alphaass,-1.7664962396588655,-1.9160845861274045,-1.3697246233292377
alphadiss,2.8802989914257524,2.4811966673006642,3.0
phi0,0.41846702094660054,0.34761349494230565,0.6229122088950614
f1,-1.8823973083099157,-3.0,0.17633485810833066
f2,1.91232835796041,1.811587249056925,2.0
f12,-2.0737604789541377,-3.0,1.3038006993974864
kb1,-0.9714287473074623,-1.3636720168710585,-0.6435269421846661
kb2,1.694429690957083,1.5889883990703517,1.8901856701877018
ku1,-1.7945249632591092,-2.0,-1.5557351457530402
ku2,1.904336792202495,1.702256860574827,2.0113351523389698
bcoop,-1.1804560644581312,-1.3010299956639813,1.0247708053769493
ucoop,-0.9673812391492801,-1.3010299956639813,1.3010299956639813
