,p1_per,p1_min,p1_max,p2_per,p2_min,p2_max,p3_per,p3_min,p3_max,p4_per,p4_min,p4_max,p5_per,p5_min,p5_max
beta,3.278000E+02,3.248651E-02,6.544899E+00,2.477000E+02,3.834891E-02,7.839805E+00,2.091000E+02,4.687928E-02,8.963391E+00,1.848000E+02,5.952423E-02,9.959462E+00,1.673000E+02,7.993943E-02,1.078388E+01
gammam,1.820000E+02,8.079940E-02,9.899466E+00,1.926000E+02,5.397963E-02,9.615296E+00,2.087000E+02,3.953677E-02,9.099435E+00,2.363000E+02,3.061975E-02,8.435195E+00,2.944000E+02,2.481030E-02,7.600983E+00
gammamRNA,1.704000E+02,8.394354E-02,1.075141E+01,1.848000E+02,6.090884E-02,9.998485E+00,2.052000E+02,4.725621E-02,9.064471E+00,2.384000E+02,3.823559E-02,8.013973E+00,3.071000E+02,3.202138E-02,6.815769E+00
gammad,1.899000E+02,4.908939E-02,1.075713E+01,1.900000E+02,4.934167E-02,1.069557E+01,1.903000E+02,4.995956E-02,1.054888E+01,1.909000E+02,5.149926E-02,1.020731E+01,1.928000E+02,5.547863E-02,9.449489E+00
alphaass,3.281000E+02,2.901940E-02,6.977377E+00,2.543000E+02,3.412013E-02,8.009502E+00,2.179000E+02,4.150702E-02,8.847180E+00,1.952000E+02,5.234025E-02,9.533698E+00,1.792000E+02,6.933640E-02,1.004851E+01
alphadiss,1.739000E+02,7.944986E-02,1.019054E+01,1.895000E+02,5.689841E-02,9.719370E+00,2.118000E+02,4.362709E-02,9.019723E+00,2.477000E+02,3.499369E-02,8.140221E+00,3.217000E+02,2.921580E-02,7.042759E+00
phi0,3.363000E+02,3.220081E-02,6.455544E+00,2.595000E+02,3.688423E-02,7.578700E+00,2.210000E+02,4.335175E-02,8.562886E+00,1.964000E+02,5.224150E-02,9.454489E+00,1.786000E+02,6.496364E-02,1.024842E+01
f1,1.926000E+02,5.250505E-02,9.662138E+00,1.924000E+02,5.340416E-02,9.645725E+00,1.919000E+02,5.742148E-02,9.572936E+00,1.892000E+02,7.608794E-02,9.242625E+00,1.782000E+02,1.724357E-01,7.822891E+00
f2,3.268000E+02,7.465082E-02,3.650613E+00,2.563000E+02,6.114031E-02,5.589226E+00,2.188000E+02,5.561851E-02,7.494572E+00,1.939000E+02,5.440235E-02,9.466450E+00,1.758000E+02,5.747346E-02,1.150556E+01
f12,1.923000E+02,5.458774E-02,9.625326E+00,1.923000E+02,5.495337E-02,9.622058E+00,1.923000E+02,5.607861E-02,9.612001E+00,1.923000E+02,5.971872E-02,9.578295E+00,1.923000E+02,7.370163E-02,9.438032E+00
kb1,1.864000E+02,4.767826E-02,7.452749E+00,1.816000E+02,4.411368E-02,5.263082E+00,1.785000E+02,4.437016E-02,3.483984E+00,1.774000E+02,4.990970E-02,2.092814E+00,1.779000E+02,6.835233E-02,1.058030E+00
kb2,3.317000E+02,5.573440E-02,6.861609E+00,2.582000E+02,5.148240E-02,8.163173E+00,2.217000E+02,5.078649E-02,8.983513E+00,1.990000E+02,5.280837E-02,9.496903E+00,1.834000E+02,5.853074E-02,9.748548E+00
ku1,2.535000E+02,2.103573E-02,8.446052E+00,2.315000E+02,2.631552E-02,8.805435E+00,2.133000E+02,3.401326E-02,9.162689E+00,1.984000E+02,4.613070E-02,9.494607E+00,1.858000E+02,6.826355E-02,9.742611E+00
ku2,1.836000E+02,5.916402E-02,9.732351E+00,1.988000E+02,5.256850E-02,9.506587E+00,2.210000E+02,5.013067E-02,9.016523E+00,2.565000E+02,5.053948E-02,8.224014E+00,3.282000E+02,5.444233E-02,6.959954E+00
bcoop,1.923000E+02,7.444569E-02,1.137618E+01,1.922000E+02,6.161932E-02,1.040949E+01,1.924000E+02,5.314078E-02,9.453791E+00,1.929000E+02,4.706566E-02,8.533952E+00,1.940000E+02,4.250100E-02,7.661070E+00
ucoop,2.392000E+02,1.996349E-02,8.076690E+00,2.232000E+02,2.385033E-02,8.497687E+00,2.106000E+02,2.939579E-02,8.907080E+00,2.006000E+02,3.814193E-02,9.293768E+00,1.923000E+02,5.467222E-02,9.628577E+00
