,log10_var,log10_left_bound,log10_right_bound
beta,1.2177470732627937,0.9255102785231065,1.5508798197694276
gammam,-0.6665527255032496,-0.8442957796153068,-0.35670985700759844
gammamRNA,0.6562899011913597,0.3170833185613019,0.9489805322080925
gammad,-3.126679398184601,-3.3010299956639813,-1.1453784744852753
alphaass,-0.21910689131292108,-0.8347672042770089,0.0
alphadiss,0.001300933020418072,-0.3592068938951204,0.6191969321734374
phi0,-1.4129628822565443,-1.7018952136459016,-1.078352795068625
f1,-1.0928036897283984,-3.0,0.2874807694570294
f2,1.7115541682501696,1.4768966852611474,2.0
f12,-2.6453154460452715,-3.0,-0.23646534658234258
kb1,-2.4658469258149376,-3.0,-1.98175609694242
kb2,0.9125939977521057,0.580176343646214,1.4095725222169637
ku1,-1.8867253075356496,-2.0,-1.5669883977652508
ku2,1.8793253007848074,1.3830444273445637,2.2164032376581275
bcoop,0.6830470382388496,0.12115022199683695,1.3010299956639813
ucoop,-1.0799810839710853,-1.3010299956639813,-0.7218993395728428
