,log10_var,log10_left_bound,log10_right_bound
beta,0.3581252852766486,0.2798281566639474,0.39510109693383755
gammam,-0.3304971658956569,-0.3643873385942472,-0.25561890174742213
gammamRNA,0.7630534402996147,0.7299797284219814,0.8408015302013037
gammad,-2.4098271684036856,-3.3010299956639813,-1.0
alphaass,-1.6491707264170323,-1.7999176799097136,-1.5750868851912672
alphadiss,1.2281436075977417,1.1579498172372324,1.3769518593034
phi0,0.29114676173188564,0.21507352940875663,0.3271432152376883
f1,1.8351830698490437,1.6793617404496115,1.9871236773319567
f2,1.5118833609788744,-3.0,1.5690845296141624
f12,-0.23433144524098595,-3.0,-0.020498943645657214
kb1,0.35276119172383086,0.1923263300104835,0.4460618273488482
kb2,-1.812479279163537,-2.2624383022929777,-1.6970624259857345
ku1,0.21853550521652784,0.13620703920263322,0.3842282143784339
ku2,-1.226140447623313,-1.3984451135821847,-0.9743879404895024
bcoop,0.8534548413680667,0.7566713428295176,1.3010299956639813
ucoop,-1.1049644025476775,-1.3010299956639813,-1.0344762854125702
