,log10_var,log10_left_bound,log10_right_bound
beta,1.7149162479935849,1.2033896943147808,1.746220271263854
gammam,-0.5808706922580243,-0.595045278045575,-0.02269026141632908
gammamRNA,0.6535019469629328,0.6213910900072039,1.0
gammad,-1.8063189704587186,-3.3010299956639813,-1.0
alphaass,-0.42899032769069495,-1.4937175860721965,-0.3854209975346087
alphadiss,1.9224140241456342,1.8791506196365417,2.9873720393454564
phi0,0.169674434058807,-0.34308065680274696,0.19886556723642707
f1,-2.7667499904588997,-3.0,-1.5238571706810422
f2,1.9240724299103629,1.6595958833819742,1.9762726343469885
f12,-2.608183076386751,-3.0,-1.0826224680907464
kb1,-2.39083262569798,-2.5669200698321584,-2.0177833694130927
kb2,-1.11719095860756,-1.437121401187916,-1.0471759273107104
ku1,-1.9150664250632838,-2.0,-1.881467338173203
ku2,1.0622058088197126,0.993425795535676,1.3839099225898774
bcoop,0.29358351349611683,0.1908056896635324,1.3010299956639813
ucoop,-0.671416550285798,-1.3010299956639813,-0.6059251610648093
