,L1_per,I1_min,H1_max,L2_per,I2_min,H2_max,L3_per,I3_min,H3_max,L4_per,I4_min,H4_max,L5_per,I5_min,H5_max
beta,4.216E+00,9.590E+01,3.395E+02,4.815E+00,7.149E+01,4.159E+02,5.588E+00,5.494E+01,4.864E+02,6.650E+00,4.219E+01,5.549E+02,8.297E+00,3.140E+01,6.231E+02
gammam,8.299E+00,3.163E+01,6.146E+02,6.332E+00,4.415E+01,5.604E+02,5.137E+00,5.883E+01,5.028E+02,4.298E+00,7.789E+01,4.398E+02,3.663E+00,1.059E+02,3.673E+02
gammamRNA,8.744E+00,2.941E+01,6.362E+02,6.870E+00,4.030E+01,5.662E+02,5.716E+00,5.296E+01,4.961E+02,4.894E+00,6.929E+01,4.242E+02,4.264E+00,9.314E+01,3.468E+02
gammad,1.010E+01,2.054E+01,9.886E+02,8.817E+00,2.574E+01,8.121E+02,7.887E+00,3.240E+01,6.468E+02,7.128E+00,4.227E+01,4.916E+02,6.474E+00,6.004E+01,3.416E+02
alphaass,6.824E+00,4.027E+01,5.752E+02,7.486E+00,3.580E+01,5.960E+02,8.321E+00,3.147E+01,6.164E+02,9.454E+00,2.710E+01,6.365E+02,1.126E+01,2.230E+01,6.562E+02
alphadiss,8.434E+00,3.096E+01,6.188E+02,6.473E+00,4.316E+01,5.621E+02,5.279E+00,5.754E+01,5.016E+02,4.438E+00,7.642E+01,4.357E+02,3.800E+00,1.048E+02,3.594E+02
phi0,4.131E+00,1.012E+02,3.260E+02,4.782E+00,7.246E+01,4.123E+02,5.643E+00,5.407E+01,4.906E+02,6.878E+00,4.024E+01,5.666E+02,8.982E+00,2.846E+01,6.425E+02
fm,7.505E+00,3.560E+01,5.990E+02,7.513E+00,3.557E+01,5.991E+02,7.543E+00,3.541E+01,5.994E+02,7.670E+00,3.475E+01,6.007E+02,8.258E+00,3.201E+01,6.061E+02
fd,5.984E+00,8.197E+01,3.548E+02,6.398E+00,5.993E+01,4.413E+02,6.939E+00,4.529E+01,5.234E+02,7.699E+00,3.433E+01,6.048E+02,8.933E+00,2.530E+01,6.872E+02
Km,8.743E+00,2.526E+01,7.480E+02,8.733E+00,2.532E+01,7.469E+02,8.690E+00,2.558E+01,7.423E+02,8.501E+00,2.680E+01,7.210E+02,7.807E+00,3.295E+01,6.259E+02
Kd,5.534E+00,1.101E+02,3.789E+02,5.933E+00,7.627E+01,4.583E+02,6.461E+00,5.520E+01,5.227E+02,7.213E+00,4.014E+01,5.786E+02,8.448E+00,2.836E+01,6.287E+02
kbm,7.652E+00,3.484E+01,6.005E+02,7.652E+00,3.484E+01,6.005E+02,7.652E+00,3.484E+01,6.005E+02,7.652E+00,3.484E+01,6.005E+02,7.652E+00,3.484E+01,6.005E+02
kbd,7.652E+00,3.484E+01,6.005E+02,7.652E+00,3.484E+01,6.005E+02,7.652E+00,3.484E+01,6.005E+02,7.652E+00,3.484E+01,6.005E+02,7.652E+00,3.484E+01,6.005E+02
