,L1_per,I1_min,H1_max,L2_per,I2_min,H2_max,L3_per,I3_min,H3_max,L4_per,I4_min,H4_max,L5_per,I5_min,H5_max
beta,3.575E+00,9.117E+01,3.085E+02,4.132E+00,6.643E+01,3.881E+02,4.860E+00,5.026E+01,4.619E+02,5.880E+00,3.802E+01,5.346E+02,7.517E+00,2.768E+01,6.079E+02
gammam,7.676E+00,2.720E+01,6.015E+02,5.792E+00,3.857E+01,5.364E+02,4.678E+00,5.201E+01,4.692E+02,3.903E+00,6.989E+01,3.981E+02,3.322E+00,9.772E+01,3.178E+02
gammamRNA,7.839E+00,2.631E+01,6.181E+02,6.040E+00,3.665E+01,5.437E+02,4.958E+00,4.872E+01,4.702E+02,4.197E+00,6.452E+01,3.958E+02,3.619E+00,8.832E+01,3.162E+02
gammad,7.298E+00,2.456E+01,9.230E+02,6.958E+00,2.728E+01,7.792E+02,6.573E+00,3.143E+01,6.288E+02,6.147E+00,3.833E+01,4.765E+02,5.686E+00,5.202E+01,3.237E+02
alphaass,3.406E+00,9.345E+01,3.269E+02,3.977E+00,6.811E+01,4.032E+02,4.732E+00,5.131E+01,4.716E+02,5.802E+00,3.852E+01,5.364E+02,7.563E+00,2.766E+01,5.993E+02
alphadiss,7.465E+00,2.809E+01,5.968E+02,5.739E+00,3.908E+01,5.333E+02,4.683E+00,5.212E+01,4.679E+02,3.937E+00,6.938E+01,3.986E+02,3.371E+00,9.585E+01,3.209E+02
phi0,3.628E+00,8.781E+01,3.176E+02,4.199E+00,6.446E+01,3.960E+02,4.949E+00,4.886E+01,4.695E+02,6.009E+00,3.690E+01,5.420E+02,7.750E+00,2.668E+01,6.154E+02
fm,6.361E+00,3.417E+01,5.617E+02,6.363E+00,3.416E+01,5.617E+02,6.377E+00,3.407E+01,5.619E+02,6.452E+00,3.362E+01,5.629E+02,6.883E+00,3.123E+01,5.682E+02
fd,5.154E+00,7.775E+01,3.229E+02,5.506E+00,5.560E+01,4.138E+02,5.967E+00,4.146E+01,5.010E+02,6.617E+00,3.111E+01,5.891E+02,7.669E+00,2.274E+01,6.798E+02
Km,6.547E+00,3.164E+01,5.909E+02,6.526E+00,3.192E+01,5.873E+02,6.469E+00,3.276E+01,5.768E+02,6.313E+00,3.533E+01,5.467E+02,5.925E+00,4.437E+01,4.603E+02
Kd,4.726E+00,1.047E+02,3.764E+02,5.079E+00,7.138E+01,4.492E+02,5.557E+00,5.057E+01,5.067E+02,6.259E+00,3.580E+01,5.555E+02,7.482E+00,2.431E+01,5.983E+02
kbm,6.391E+00,3.399E+01,5.621E+02,6.391E+00,3.399E+01,5.621E+02,6.391E+00,3.399E+01,5.621E+02,6.391E+00,3.399E+01,5.621E+02,6.391E+00,3.399E+01,5.621E+02
kbd,6.391E+00,3.399E+01,5.621E+02,6.391E+00,3.399E+01,5.621E+02,6.391E+00,3.399E+01,5.621E+02,6.391E+00,3.399E+01,5.621E+02,6.391E+00,3.399E+01,5.621E+02
