,L1_per,I1_min,H1_max,L2_per,I2_min,H2_max,L3_per,I3_min,H3_max,L4_per,I4_min,H4_max,L5_per,I5_min,H5_max
beta,1.640E+00,6.323E+01,2.840E+02,1.949E+00,4.512E+01,3.622E+02,2.361E+00,3.326E+01,4.383E+02,2.950E+00,2.443E+01,5.157E+02,3.921E+00,1.716E+01,5.960E+02
gammam,3.614E+00,1.889E+01,5.782E+02,2.674E+00,2.724E+01,5.090E+02,2.102E+00,3.772E+01,4.381E+02,1.705E+00,5.230E+01,3.640E+02,1.410E+00,7.608E+01,2.820E+02
gammamRNA,3.887E+00,1.734E+01,5.939E+02,2.924E+00,2.471E+01,5.128E+02,2.338E+00,3.374E+01,4.347E+02,1.929E+00,4.595E+01,3.578E+02,1.622E+00,6.490E+01,2.784E+02
gammad,5.328E+00,1.081E+01,9.693E+02,4.516E+00,1.351E+01,7.917E+02,3.871E+00,1.717E+01,6.169E+02,3.310E+00,2.298E+01,4.505E+02,2.807E+00,3.427E+01,2.939E+02
alphaass,1.438E+00,7.281E+01,2.912E+02,1.742E+00,5.044E+01,3.722E+02,2.155E+00,3.641E+01,4.460E+02,2.757E+00,2.621E+01,5.169E+02,3.771E+00,1.798E+01,5.862E+02
alphadiss,3.887E+00,1.737E+01,5.917E+02,2.810E+00,2.558E+01,5.218E+02,2.180E+00,3.582E+01,4.497E+02,1.749E+00,5.010E+01,3.737E+02,1.433E+00,7.338E+01,2.896E+02
phi0,1.627E+00,6.440E+01,2.800E+02,1.929E+00,4.595E+01,3.578E+02,2.329E+00,3.394E+01,4.331E+02,2.896E+00,2.503E+01,5.097E+02,3.811E+00,1.775E+01,5.890E+02
fm,3.764E+00,1.802E+01,5.859E+02,3.764E+00,1.802E+01,5.859E+02,3.764E+00,1.802E+01,5.859E+02,3.767E+00,1.800E+01,5.860E+02,3.784E+00,1.792E+01,5.862E+02
fd,2.761E+00,5.865E+01,2.731E+02,2.962E+00,3.922E+01,3.685E+02,3.235E+00,2.767E+01,4.629E+02,3.634E+00,1.965E+01,5.611E+02,4.328E+00,1.344E+01,6.653E+02
Km,3.766E+00,1.800E+01,5.864E+02,3.765E+00,1.801E+01,5.861E+02,3.758E+00,1.809E+01,5.845E+02,3.719E+00,1.857E+01,5.744E+02,3.506E+00,2.185E+01,5.139E+02
Kd,2.481E+00,9.110E+01,3.603E+02,2.660E+00,5.784E+01,4.389E+02,2.906E+00,3.860E+01,4.994E+02,3.269E+00,2.586E+01,5.495E+02,3.898E+00,1.670E+01,5.924E+02
kbm,3.764E+00,1.802E+01,5.859E+02,3.764E+00,1.802E+01,5.859E+02,3.764E+00,1.802E+01,5.859E+02,3.764E+00,1.802E+01,5.859E+02,3.764E+00,1.802E+01,5.859E+02
kbd,3.764E+00,1.802E+01,5.859E+02,3.764E+00,1.802E+01,5.859E+02,3.764E+00,1.802E+01,5.859E+02,3.764E+00,1.802E+01,5.859E+02,3.764E+00,1.802E+01,5.859E+02
