,L1_per,I1_min,H1_max,L2_per,I2_min,H2_max,L3_per,I3_min,H3_max,L4_per,I4_min,H4_max,L5_per,I5_min,H5_max
beta,9.833E-01,5.338E+01,2.487E+02,1.192E+00,3.649E+01,3.352E+02,1.475E+00,2.611E+01,4.227E+02,1.887E+00,1.868E+01,5.155E+02,2.578E+00,1.277E+01,6.158E+02
gammam,2.490E+00,1.334E+01,5.980E+02,1.832E+00,1.936E+01,5.087E+02,1.434E+00,2.696E+01,4.231E+02,1.158E+00,3.757E+01,3.400E+02,9.537E-01,5.472E+01,2.557E+02
gammamRNA,2.640E+00,1.241E+01,6.225E+02,1.918E+00,1.829E+01,5.213E+02,1.494E+00,2.563E+01,4.278E+02,1.205E+00,3.583E+01,3.397E+02,9.922E-01,5.227E+01,2.530E+02
gammad,2.012E+00,1.744E+01,5.135E+02,1.973E+00,1.869E+01,4.392E+02,1.921E+00,2.071E+01,3.579E+02,1.853E+00,2.425E+01,2.729E+02,1.767E+00,3.156E+01,1.857E+02
alphaass,9.506E-01,5.515E+01,2.541E+02,1.159E+00,3.754E+01,3.402E+02,1.441E+00,2.676E+01,4.250E+02,1.854E+00,1.907E+01,5.125E+02,2.548E+00,1.298E+01,6.038E+02
alphadiss,2.512E+00,1.320E+01,6.002E+02,1.832E+00,1.936E+01,5.087E+02,1.426E+00,2.719E+01,4.210E+02,1.146E+00,3.824E+01,3.357E+02,9.403E-01,5.657E+01,2.489E+02
phi0,9.839E-01,5.330E+01,2.490E+02,1.197E+00,3.624E+01,3.369E+02,1.487E+00,2.580E+01,4.259E+02,1.914E+00,1.834E+01,5.206E+02,2.645E+00,1.239E+01,6.230E+02
fm,2.024E+00,1.708E+01,5.401E+02,2.024E+00,1.708E+01,5.401E+02,2.025E+00,1.708E+01,5.401E+02,2.025E+00,1.708E+01,5.402E+02,2.029E+00,1.704E+01,5.403E+02
fd,1.661E+00,4.387E+01,2.681E+02,1.783E+00,2.846E+01,3.781E+02,1.949E+00,1.949E+01,4.953E+02,2.196E+00,1.343E+01,6.252E+02,2.634E+00,8.884E+00,7.709E+02
Km,2.025E+00,1.707E+01,5.403E+02,2.025E+00,1.708E+01,5.400E+02,2.024E+00,1.715E+01,5.380E+02,2.018E+00,1.756E+01,5.270E+02,1.989E+00,2.014E+01,4.656E+02
Kd,1.484E+00,7.742E+01,3.510E+02,1.590E+00,4.666E+01,4.275E+02,1.738E+00,2.958E+01,4.851E+02,1.963E+00,1.879E+01,5.317E+02,2.367E+00,1.142E+01,5.706E+02
kbm,2.025E+00,1.708E+01,5.401E+02,2.025E+00,1.708E+01,5.401E+02,2.025E+00,1.708E+01,5.401E+02,2.025E+00,1.708E+01,5.401E+02,2.025E+00,1.708E+01,5.401E+02
kbd,2.025E+00,1.708E+01,5.401E+02,2.025E+00,1.708E+01,5.401E+02,2.025E+00,1.708E+01,5.401E+02,2.025E+00,1.708E+01,5.401E+02,2.025E+00,1.708E+01,5.401E+02
