,L1_per,I1_min,H1_max,L2_per,I2_min,H2_max,L3_per,I3_min,H3_max,L4_per,I4_min,H4_max,L5_per,I5_min,H5_max
beta,1.152E+00,8.208E+01,4.283E+02,1.428E+00,5.413E+01,5.990E+02,1.811E+00,3.757E+01,7.779E+02,2.385E+00,2.603E+01,9.738E+02,3.395E+00,1.705E+01,1.192E+03
gammam,3.231E+00,1.827E+01,1.097E+03,2.316E+00,2.727E+01,9.164E+02,1.776E+00,3.887E+01,7.473E+02,1.409E+00,5.543E+01,5.870E+02,1.142E+00,8.297E+01,4.290E+02
gammamRNA,3.374E+00,1.717E+01,1.188E+03,2.392E+00,2.593E+01,9.759E+02,1.827E+00,3.710E+01,7.844E+02,1.447E+00,5.293E+01,6.093E+02,1.172E+00,7.892E+01,4.428E+02
gammad,1.367E+00,5.586E+01,6.379E+02,1.362E+00,5.783E+01,5.857E+02,1.356E+00,6.114E+01,5.166E+02,1.346E+00,6.709E+01,4.290E+02,1.332E+00,7.957E+01,3.214E+02
alphaass,1.151E+00,8.209E+01,4.323E+02,1.421E+00,5.464E+01,5.933E+02,1.791E+00,3.822E+01,7.565E+02,2.337E+00,2.675E+01,9.283E+02,3.269E+00,1.785E+01,1.111E+03
alphadiss,3.337E+00,1.743E+01,1.121E+03,2.352E+00,2.653E+01,9.323E+02,1.788E+00,3.830E+01,7.555E+02,1.410E+00,5.534E+01,5.878E+02,1.137E+00,8.454E+01,4.219E+02
phi0,1.435E+00,5.370E+01,6.027E+02,1.722E+00,4.042E+01,7.404E+02,2.107E+00,3.055E+01,8.875E+02,2.662E+00,2.272E+01,1.047E+03,3.584E+00,1.603E+01,1.220E+03
fm,1.359E+00,5.897E+01,5.612E+02,1.360E+00,5.894E+01,5.613E+02,1.363E+00,5.874E+01,5.618E+02,1.385E+00,5.746E+01,5.652E+02,1.547E+00,4.951E+01,5.871E+02
fd,1.349E+00,6.388E+01,5.235E+02,1.443E+00,3.802E+01,8.052E+02,1.575E+00,2.421E+01,1.133E+03,1.774E+00,1.557E+01,1.526E+03,2.130E+00,9.630E+00,2.000E+03
Km,1.375E+00,5.311E+01,6.160E+02,1.375E+00,5.331E+01,6.140E+02,1.373E+00,5.398E+01,6.071E+02,1.366E+00,5.633E+01,5.843E+02,1.346E+00,6.559E+01,5.091E+02
Kd,1.299E+00,8.703E+01,4.832E+02,1.390E+00,5.054E+01,5.895E+02,1.520E+00,3.084E+01,6.699E+02,1.719E+00,1.884E+01,7.347E+02,2.086E+00,1.097E+01,7.883E+02
kbm,1.360E+00,5.889E+01,5.614E+02,1.360E+00,5.889E+01,5.614E+02,1.360E+00,5.889E+01,5.614E+02,1.360E+00,5.889E+01,5.614E+02,1.360E+00,5.889E+01,5.614E+02
kbd,1.360E+00,5.889E+01,5.614E+02,1.360E+00,5.889E+01,5.614E+02,1.360E+00,5.889E+01,5.614E+02,1.360E+00,5.889E+01,5.614E+02,1.360E+00,5.889E+01,5.614E+02
