,log10_var,log10_left_bound,log10_right_bound
beta,1.3673559210260189,1.2522607479440748,1.414625571515735
gammam,-0.8827287043442357,-0.92821695483684,-0.7620431392971723
gammamRNA,0.3521825181113625,0.30307828200621556,0.4660566848495995
gammad,-3.2069083998234196,-3.3010299956639813,-2.3750073819212316
alphaass,-0.906578314837765,-1.150035486924669,-0.8109626331947195
alphadiss,-0.4698003017969179,-0.563694431222423,-0.22244149121959855
phi0,-1.6716203965612624,-1.7870663508951936,-1.622049314984442
fm,-0.00700490156865844,-3.0,2.0
fd,1.5198279937757189,1.4006528415960857,1.6136115887413989
Km,-4.709965388637482,-6.0,-1.482004582985212
Kd,-2.1944991418415998,-2.413761398317523,-2.100734750534427
kbm,-2.832682665251824,-3.0,2.0
kbd,-2.7375489102695707,-3.0,2.0
