,L1_per,I1_min,H1_max,L2_per,I2_min,H2_max,L3_per,I3_min,H3_max,L4_per,I4_min,H4_max,L5_per,I5_min,H5_max
beta,1.233E+00,7.676E+01,3.537E+02,1.499E+00,5.223E+01,4.714E+02,1.863E+00,3.709E+01,5.885E+02,2.399E+00,2.626E+01,7.108E+02,3.312E+00,1.769E+01,8.410E+02
gammam,3.268E+00,1.815E+01,8.067E+02,2.352E+00,2.711E+01,6.885E+02,1.816E+00,3.853E+01,5.743E+02,1.454E+00,5.469E+01,4.618E+02,1.190E+00,8.155E+01,3.451E+02
gammamRNA,3.379E+00,1.729E+01,8.479E+02,2.440E+00,2.569E+01,7.185E+02,1.894E+00,3.620E+01,5.970E+02,1.525E+00,5.074E+01,4.809E+02,1.255E+00,7.378E+01,3.650E+02
gammad,1.817E+00,3.443E+01,8.117E+02,1.816E+00,3.453E+01,8.047E+02,1.814E+00,3.478E+01,7.883E+02,1.808E+00,3.539E+01,7.509E+02,1.795E+00,3.695E+01,6.712E+02
alphaass,1.257E+00,7.605E+01,3.493E+02,1.531E+00,5.080E+01,4.769E+02,1.905E+00,3.582E+01,6.027E+02,2.450E+00,2.533E+01,7.326E+02,3.371E+00,1.712E+01,8.688E+02
alphadiss,3.340E+00,1.730E+01,8.654E+02,2.445E+00,2.539E+01,7.316E+02,1.909E+00,3.571E+01,6.039E+02,1.540E+00,5.032E+01,4.801E+02,1.267E+00,7.458E+01,3.550E+02
phi0,1.222E+00,7.849E+01,3.475E+02,1.497E+00,5.235E+01,4.706E+02,1.879E+00,3.662E+01,5.930E+02,2.455E+00,2.550E+01,7.211E+02,3.482E+00,1.669E+01,8.581E+02
fm,9.972E-01,9.056E+01,4.406E+02,9.976E-01,9.051E+01,4.407E+02,1.000E+00,9.011E+01,4.415E+02,1.018E+00,8.751E+01,4.468E+02,1.153E+00,7.188E+01,4.803E+02
fd,1.675E+00,6.040E+01,4.002E+02,1.794E+00,3.740E+01,5.920E+02,1.957E+00,2.475E+01,8.034E+02,2.198E+00,1.656E+01,1.045E+03,2.617E+00,1.071E+01,1.325E+03
Km,1.023E+00,7.519E+01,5.178E+02,1.042E+00,7.350E+01,5.199E+02,1.090E+00,6.966E+01,5.246E+02,1.215E+00,6.124E+01,5.352E+02,1.624E+00,4.397E+01,5.576E+02
Kd,1.589E+00,8.276E+01,4.321E+02,1.705E+00,4.972E+01,5.267E+02,1.868E+00,3.132E+01,5.996E+02,2.118E+00,1.973E+01,6.594E+02,2.576E+00,1.183E+01,7.099E+02
kbm,1.774E+00,3.986E+01,5.631E+02,1.774E+00,3.986E+01,5.631E+02,1.774E+00,3.986E+01,5.631E+02,1.774E+00,3.986E+01,5.631E+02,1.774E+00,3.986E+01,5.631E+02
kbd,1.774E+00,3.986E+01,5.631E+02,1.774E+00,3.986E+01,5.631E+02,1.774E+00,3.986E+01,5.631E+02,1.774E+00,3.986E+01,5.631E+02,1.774E+00,3.986E+01,5.631E+02
