,log10_var,log10_left_bound,log10_right_bound
beta,-1.5100415205751654,-1.5827697323647896,-1.4013834094762334
gammam,-0.7055337738384071,-0.8175682575377037,-0.6200980434126624
gammamRNA,-0.6695862266508091,-0.7742727828754798,-0.6011071040733345
gammad,-3.156144577376839,-3.3010299956639813,-2.9076826045931803
alphaass,-1.4921441283041692,-1.6230757202257506,-1.2852257042619895
alphadiss,-2.2873502983727887,-2.535107421204124,-2.145356027664535
phi0,-0.29328221766324125,-0.36328431420439733,-0.18466671891417996
fm,-1.0254883072626717,-3.0,0.8388506789509473
fd,1.9068735347220704,1.8349955044282902,2.0
Km,-0.9956786262173575,-6.0,-0.776141967838665
Kd,-2.494850021680094,-2.594116964425482,-2.3013998989640365
kbm,-2.8601209135987635,-3.0,2.0
kbd,-2.4828041020500256,-3.0,2.0
