,L1_per,I1_min,H1_max,L2_per,I2_min,H2_max,L3_per,I3_min,H3_max,L4_per,I4_min,H4_max,L5_per,I5_min,H5_max
beta,1.553E-01,4.827E+01,4.475E+02,2.144E-01,2.843E+01,7.115E+02,3.033E-01,1.782E+01,1.036E+03,4.472E-01,1.117E+01,1.445E+03,7.203E-01,6.561E+00,1.963E+03
gammam,6.995E-01,6.827E+00,1.773E+03,4.361E-01,1.157E+01,1.342E+03,2.958E-01,1.848E+01,9.817E+02,2.090E-01,2.960E+01,6.827E+02,1.511E-01,5.077E+01,4.300E+02
gammamRNA,7.190E-01,6.574E+00,1.961E+03,4.452E-01,1.123E+01,1.440E+03,3.013E-01,1.797E+01,1.029E+03,2.126E-01,2.879E+01,7.041E+02,1.537E-01,4.925E+01,4.395E+02
gammad,1.763E-01,3.814E+01,5.669E+02,1.761E-01,3.903E+01,5.268E+02,1.758E-01,4.070E+01,4.661E+02,1.752E-01,4.407E+01,3.813E+02,1.742E-01,5.199E+01,2.725E+02
alphaass,1.550E-01,4.852E+01,4.474E+02,2.143E-01,2.843E+01,7.059E+02,3.035E-01,1.778E+01,1.012E+03,4.482E-01,1.112E+01,1.379E+03,7.238E-01,6.522E+00,1.817E+03
alphadiss,7.222E-01,6.538E+00,1.815E+03,4.461E-01,1.118E+01,1.374E+03,3.014E-01,1.793E+01,1.005E+03,2.124E-01,2.880E+01,6.985E+02,1.534E-01,4.955E+01,4.392E+02
phi0,1.547E-01,4.865E+01,4.444E+02,2.137E-01,2.857E+01,7.086E+02,3.025E-01,1.788E+01,1.033E+03,4.464E-01,1.119E+01,1.443E+03,7.197E-01,6.566E+00,1.963E+03
fm,1.756E-01,3.873E+01,5.465E+02,1.757E-01,3.872E+01,5.465E+02,1.758E-01,3.868E+01,5.466E+02,1.767E-01,3.842E+01,5.475E+02,1.831E-01,3.667E+01,5.537E+02
fd,1.723E-01,6.810E+01,3.203E+02,1.742E-01,4.984E+01,4.307E+02,1.762E-01,3.869E+01,5.454E+02,1.784E-01,3.094E+01,6.696E+02,1.808E-01,2.519E+01,8.062E+02
Km,1.762E-01,3.654E+01,5.775E+02,1.762E-01,3.661E+01,5.764E+02,1.762E-01,3.690E+01,5.718E+02,1.762E-01,3.811E+01,5.535E+02,1.763E-01,4.375E+01,4.819E+02
Kd,1.731E-01,5.254E+01,4.974E+02,1.827E-01,2.358E+01,6.157E+02,1.974E-01,1.131E+01,6.963E+02,2.224E-01,5.426E+00,7.545E+02,2.739E-01,2.443E+00,7.975E+02
kbm,1.762E-01,3.856E+01,5.471E+02,1.762E-01,3.856E+01,5.471E+02,1.762E-01,3.856E+01,5.471E+02,1.762E-01,3.856E+01,5.471E+02,1.762E-01,3.856E+01,5.471E+02
kbd,1.762E-01,3.856E+01,5.471E+02,1.762E-01,3.856E+01,5.471E+02,1.762E-01,3.856E+01,5.471E+02,1.762E-01,3.856E+01,5.471E+02,1.762E-01,3.856E+01,5.471E+02
