,L1_per,I1_min,H1_max,L2_per,I2_min,H2_max,L3_per,I3_min,H3_max,L4_per,I4_min,H4_max,L5_per,I5_min,H5_max
beta,7.874E-02,3.030E+01,2.774E+02,1.104E-01,1.756E+01,4.448E+02,1.584E-01,1.087E+01,6.502E+02,2.370E-01,6.733E+00,9.087E+02,3.866E-01,3.917E+00,1.236E+03
gammam,3.861E-01,3.963E+00,1.113E+03,2.349E-01,6.850E+00,8.542E+02,1.561E-01,1.111E+01,6.309E+02,1.081E-01,1.803E+01,4.410E+02,7.664E-02,3.132E+01,2.782E+02
gammamRNA,3.859E-01,3.925E+00,1.235E+03,2.362E-01,6.758E+00,9.066E+02,1.578E-01,1.093E+01,6.476E+02,1.098E-01,1.769E+01,4.420E+02,7.824E-02,3.067E+01,2.744E+02
gammad,1.309E-01,1.393E+01,5.292E+02,1.306E-01,1.445E+01,4.547E+02,1.300E-01,1.540E+01,3.648E+02,1.290E-01,1.728E+01,2.662E+02,1.275E-01,2.172E+01,1.673E+02
alphaass,7.059E-02,3.697E+01,2.401E+02,9.020E-02,2.366E+01,3.537E+02,1.164E-01,1.625E+01,4.780E+02,1.523E-01,1.145E+01,6.178E+02,2.034E-01,8.084E+00,7.752E+02
alphadiss,3.957E-01,3.859E+00,1.125E+03,2.389E-01,6.718E+00,8.636E+02,1.581E-01,1.093E+01,6.380E+02,1.092E-01,1.776E+01,4.462E+02,7.731E-02,3.084E+01,2.820E+02
phi0,7.959E-02,2.970E+01,2.824E+02,1.113E-01,1.735E+01,4.492E+02,1.594E-01,1.079E+01,6.538E+02,2.377E-01,6.708E+00,9.109E+02,3.865E-01,3.919E+00,1.236E+03
fm,1.309E-01,1.389E+01,5.382E+02,1.309E-01,1.389E+01,5.382E+02,1.309E-01,1.389E+01,5.382E+02,1.309E-01,1.388E+01,5.382E+02,1.312E-01,1.385E+01,5.384E+02
fd,1.230E-01,4.360E+01,1.914E+02,1.246E-01,3.036E+01,2.683E+02,1.265E-01,2.278E+01,3.484E+02,1.285E-01,1.770E+01,4.358E+02,1.308E-01,1.404E+01,5.331E+02
Km,1.309E-01,1.387E+01,5.389E+02,1.309E-01,1.388E+01,5.381E+02,1.311E-01,1.397E+01,5.342E+02,1.317E-01,1.437E+01,5.165E+02,1.347E-01,1.657E+01,4.376E+02
Kd,1.210E-01,4.396E+01,4.114E+02,1.274E-01,1.909E+01,5.087E+02,1.374E-01,8.874E+00,5.734E+02,1.547E-01,4.128E+00,6.191E+02,1.907E-01,1.796E+00,6.522E+02
kbm,1.309E-01,1.388E+01,5.382E+02,1.309E-01,1.388E+01,5.382E+02,1.309E-01,1.388E+01,5.382E+02,1.309E-01,1.388E+01,5.382E+02,1.309E-01,1.388E+01,5.382E+02
kbd,1.309E-01,1.388E+01,5.382E+02,1.309E-01,1.388E+01,5.382E+02,1.309E-01,1.388E+01,5.382E+02,1.309E-01,1.388E+01,5.382E+02,1.309E-01,1.388E+01,5.382E+02
