,L1_per,I1_min,H1_max,L2_per,I2_min,H2_max,L3_per,I3_min,H3_max,L4_per,I4_min,H4_max,L5_per,I5_min,H5_max
beta,3.458E-01,4.536E+01,2.640E+02,4.459E-01,2.852E+01,3.735E+02,5.887E-01,1.895E+01,4.876E+02,8.086E-01,1.258E+01,6.118E+02,1.206E+00,7.863E+00,7.491E+02
gammam,1.175E+00,8.295E+00,6.826E+02,7.566E-01,1.363E+01,5.904E+02,5.324E-01,2.094E+01,4.953E+02,3.907E-01,3.203E+01,3.966E+02,2.937E-01,5.178E+01,2.908E+02
gammamRNA,1.199E+00,7.913E+00,7.474E+02,8.134E-01,1.248E+01,6.140E+02,5.968E-01,1.860E+01,4.931E+02,4.549E-01,2.763E+01,3.818E+02,3.548E-01,4.297E+01,2.756E+02
gammad,8.420E-01,9.705E+00,1.667E+03,8.313E-01,1.015E+01,1.333E+03,8.125E-01,1.104E+01,9.653E+02,7.804E-01,1.300E+01,6.171E+02,7.290E-01,1.825E+01,3.262E+02
alphaass,3.014E-01,5.038E+01,2.943E+02,3.982E-01,3.144E+01,3.990E+02,5.387E-01,2.070E+01,4.968E+02,7.588E-01,1.358E+01,5.910E+02,1.163E+00,8.377E+00,6.823E+02
alphadiss,1.145E+00,8.522E+00,6.795E+02,7.540E-01,1.368E+01,5.894E+02,5.380E-01,2.073E+01,4.964E+02,3.991E-01,3.134E+01,3.998E+02,3.030E-01,4.988E+01,2.963E+02
phi0,3.449E-01,4.561E+01,2.628E+02,4.444E-01,2.867E+01,3.721E+02,5.862E-01,1.906E+01,4.859E+02,8.039E-01,1.266E+01,6.096E+02,1.195E+00,7.942E+00,7.464E+02
fm,7.741E-01,1.326E+01,5.968E+02,7.742E-01,1.326E+01,5.969E+02,7.753E-01,1.324E+01,5.969E+02,7.823E-01,1.311E+01,5.975E+02,8.336E-01,1.224E+01,6.011E+02
fd,6.575E-01,4.046E+01,2.706E+02,6.953E-01,2.471E+01,3.935E+02,7.455E-01,1.619E+01,5.251E+02,8.156E-01,1.082E+01,6.714E+02,9.221E-01,7.173E+00,8.365E+02
Km,7.790E-01,1.287E+01,6.133E+02,7.790E-01,1.288E+01,6.128E+02,7.788E-01,1.293E+01,6.100E+02,7.777E-01,1.325E+01,5.945E+02,7.718E-01,1.524E+01,5.111E+02
Kd,6.195E-01,5.993E+01,3.931E+02,6.619E-01,3.237E+01,4.888E+02,7.235E-01,1.855E+01,5.605E+02,8.211E-01,1.066E+01,6.173E+02,1.007E+00,5.816E+00,6.636E+02
kbm,7.779E-01,1.319E+01,5.971E+02,7.779E-01,1.319E+01,5.971E+02,7.779E-01,1.319E+01,5.971E+02,7.779E-01,1.319E+01,5.971E+02,7.779E-01,1.319E+01,5.971E+02
kbd,7.779E-01,1.319E+01,5.971E+02,7.779E-01,1.319E+01,5.971E+02,7.779E-01,1.319E+01,5.971E+02,7.779E-01,1.319E+01,5.971E+02,7.779E-01,1.319E+01,5.971E+02
