,L1_per,I1_min,H1_max,L2_per,I2_min,H2_max,L3_per,I3_min,H3_max,L4_per,I4_min,H4_max,L5_per,I5_min,H5_max
beta,3.789E-01,4.190E+01,2.129E+02,4.799E-01,2.673E+01,2.999E+02,6.212E-01,1.809E+01,3.889E+02,8.338E-01,1.227E+01,4.848E+02,1.203E+00,7.924E+00,5.897E+02
gammam,1.212E+00,7.962E+00,5.652E+02,8.110E-01,1.261E+01,4.881E+02,5.885E-01,1.879E+01,4.100E+02,4.440E-01,2.789E+01,3.303E+02,3.429E-01,4.336E+01,2.464E+02
gammamRNA,1.278E+00,7.396E+00,6.048E+02,8.663E-01,1.170E+01,4.966E+02,6.384E-01,1.742E+01,3.981E+02,4.895E-01,2.588E+01,3.069E+02,3.843E-01,4.059E+01,2.185E+02
gammad,9.446E-01,9.855E+00,6.613E+02,9.223E-01,1.078E+01,5.247E+02,8.937E-01,1.227E+01,3.969E+02,8.578E-01,1.491E+01,2.811E+02,8.139E-01,2.047E+01,1.773E+02
alphaass,3.206E-01,5.119E+01,2.163E+02,3.851E-01,3.548E+01,2.821E+02,4.672E-01,2.603E+01,3.429E+02,5.744E-01,1.947E+01,4.019E+02,7.201E-01,1.457E+01,4.600E+02
alphadiss,1.189E+00,8.126E+00,5.627E+02,8.021E-01,1.278E+01,4.852E+02,5.847E-01,1.902E+01,4.067E+02,4.426E-01,2.826E+01,3.265E+02,3.427E-01,4.423E+01,2.416E+02
phi0,3.869E-01,3.999E+01,2.211E+02,4.905E-01,2.579E+01,3.076E+02,6.360E-01,1.751E+01,3.968E+02,8.563E-01,1.187E+01,4.930E+02,1.246E+00,7.616E+00,5.984E+02
fm,9.163E-01,1.092E+01,5.148E+02,9.165E-01,1.092E+01,5.148E+02,9.177E-01,1.090E+01,5.149E+02,9.261E-01,1.079E+01,5.153E+02,9.875E-01,1.007E+01,5.182E+02
fd,7.533E-01,3.312E+01,2.376E+02,8.076E-01,1.994E+01,3.476E+02,8.834E-01,1.278E+01,4.667E+02,9.987E-01,8.255E+00,6.006E+02,1.207E+00,5.106E+00,7.530E+02
Km,9.224E-01,1.064E+01,5.259E+02,9.224E-01,1.064E+01,5.257E+02,9.221E-01,1.068E+01,5.241E+02,9.203E-01,1.089E+01,5.139E+02,9.089E-01,1.242E+01,4.505E+02
Kd,6.922E-01,5.678E+01,3.286E+02,7.404E-01,3.152E+01,4.078E+02,8.096E-01,1.856E+01,4.670E+02,9.183E-01,1.096E+01,5.143E+02,1.122E+00,6.151E+00,5.532E+02
kbm,9.205E-01,1.086E+01,5.150E+02,9.205E-01,1.086E+01,5.150E+02,9.205E-01,1.086E+01,5.150E+02,9.205E-01,1.086E+01,5.150E+02,9.205E-01,1.086E+01,5.150E+02
kbd,9.205E-01,1.086E+01,5.150E+02,9.205E-01,1.086E+01,5.150E+02,9.205E-01,1.086E+01,5.150E+02,9.205E-01,1.086E+01,5.150E+02,9.205E-01,1.086E+01,5.150E+02
