,L1_per,I1_min,H1_max,L2_per,I2_min,H2_max,L3_per,I3_min,H3_max,L4_per,I4_min,H4_max,L5_per,I5_min,H5_max
beta,1.105E+00,8.185E+01,4.239E+02,1.363E+00,5.465E+01,5.648E+02,1.716E+00,3.811E+01,7.048E+02,2.239E+00,2.652E+01,8.504E+02,3.132E+00,1.757E+01,1.004E+03
gammam,3.264E+00,1.895E+01,7.775E+02,2.217E+00,2.957E+01,6.963E+02,1.634E+00,4.339E+01,6.088E+02,1.252E+00,6.331E+01,5.125E+02,9.826E-01,9.679E+01,4.006E+02
gammamRNA,3.226E+00,1.697E+01,1.016E+03,2.269E+00,2.606E+01,8.573E+02,1.725E+00,3.784E+01,7.077E+02,1.361E+00,5.478E+01,5.639E+02,1.098E+00,8.309E+01,4.190E+02
gammad,1.376E+00,3.273E+01,2.045E+03,1.361E+00,3.497E+01,1.636E+03,1.339E+00,3.875E+01,1.236E+03,1.309E+00,4.569E+01,8.657E+02,1.267E+00,6.103E+01,5.334E+02
alphaass,9.295E-01,1.111E+02,3.624E+02,1.065E+00,8.346E+01,4.381E+02,1.226E+00,6.546E+01,5.035E+02,1.423E+00,5.228E+01,5.632E+02,1.668E+00,4.201E+01,6.191E+02
alphadiss,3.282E+00,1.866E+01,7.880E+02,2.248E+00,2.885E+01,7.067E+02,1.668E+00,4.200E+01,6.192E+02,1.286E+00,6.077E+01,5.234E+02,1.015E+00,9.163E+01,4.132E+02
phi0,1.073E+00,8.761E+01,4.022E+02,1.325E+00,5.738E+01,5.467E+02,1.669E+00,3.968E+01,6.886E+02,2.176E+00,2.751E+01,8.357E+02,3.033E+00,1.824E+01,9.914E+02
fm,1.245E+00,6.368E+01,5.135E+02,1.245E+00,6.366E+01,5.136E+02,1.247E+00,6.352E+01,5.139E+02,1.262E+00,6.257E+01,5.159E+02,1.366E+00,5.641E+01,5.295E+02
fd,1.231E+00,8.289E+01,4.140E+02,1.275E+00,5.761E+01,5.479E+02,1.328E+00,4.241E+01,6.805E+02,1.392E+00,3.203E+01,8.180E+02,1.471E+00,2.449E+01,9.630E+02
Km,1.255E+00,5.875E+01,5.577E+02,1.255E+00,5.891E+01,5.558E+02,1.256E+00,5.944E+01,5.494E+02,1.261E+00,6.130E+01,5.282E+02,1.278E+00,6.866E+01,4.581E+02
Kd,1.227E+00,8.178E+01,4.590E+02,1.315E+00,4.679E+01,5.734E+02,1.440E+00,2.841E+01,6.613E+02,1.632E+00,1.735E+01,7.333E+02,1.984E+00,1.012E+01,7.938E+02
kbm,1.264E+00,6.241E+01,5.163E+02,1.264E+00,6.241E+01,5.163E+02,1.264E+00,6.241E+01,5.163E+02,1.264E+00,6.241E+01,5.163E+02,1.264E+00,6.241E+01,5.163E+02
kbd,1.264E+00,6.241E+01,5.163E+02,1.264E+00,6.241E+01,5.163E+02,1.264E+00,6.241E+01,5.163E+02,1.264E+00,6.241E+01,5.163E+02,1.264E+00,6.241E+01,5.163E+02
