,L1_per,I1_min,H1_max,L2_per,I2_min,H2_max,L3_per,I3_min,H3_max,L4_per,I4_min,H4_max,L5_per,I5_min,H5_max
beta,1.255E+00,7.168E+01,3.877E+02,1.512E+00,4.798E+01,5.210E+02,1.862E+00,3.364E+01,6.543E+02,2.372E+00,2.360E+01,7.933E+02,3.236E+00,1.579E+01,9.405E+02
gammam,3.223E+00,1.678E+01,7.968E+02,2.312E+00,2.541E+01,7.035E+02,1.783E+00,3.658E+01,6.065E+02,1.425E+00,5.254E+01,5.042E+02,1.164E+00,7.886E+01,3.914E+02
gammamRNA,3.164E+00,1.624E+01,9.312E+02,2.314E+00,2.442E+01,7.800E+02,1.811E+00,3.515E+01,6.373E+02,1.467E+00,5.088E+01,5.002E+02,1.213E+00,7.835E+01,3.612E+02
gammad,1.617E+00,4.198E+01,5.803E+02,1.576E+00,4.666E+01,4.986E+02,1.534E+00,5.303E+01,4.190E+02,1.491E+00,6.236E+01,3.404E+02,1.446E+00,7.827E+01,2.592E+02
alphaass,1.250E+00,7.452E+01,3.908E+02,1.510E+00,4.838E+01,5.230E+02,1.862E+00,3.337E+01,6.437E+02,2.378E+00,2.316E+01,7.587E+02,3.261E+00,1.537E+01,8.699E+02
alphadiss,3.308E+00,1.511E+01,8.739E+02,2.419E+00,2.262E+01,7.659E+02,1.894E+00,3.248E+01,6.525E+02,1.532E+00,4.701E+01,5.322E+02,1.264E+00,7.232E+01,3.994E+02
phi0,1.259E+00,7.103E+01,3.905E+02,1.512E+00,4.799E+01,5.210E+02,1.853E+00,3.389E+01,6.515E+02,2.345E+00,2.396E+01,7.873E+02,3.163E+00,1.624E+01,9.310E+02
fm,1.605E+00,4.301E+01,5.613E+02,1.608E+00,4.292E+01,5.616E+02,1.620E+00,4.254E+01,5.626E+02,1.671E+00,4.094E+01,5.668E+02,1.928E+00,3.445E+01,5.846E+02
fd,1.521E+00,6.592E+01,4.041E+02,1.609E+00,4.273E+01,5.635E+02,1.721E+00,2.957E+01,7.271E+02,1.870E+00,2.095E+01,9.017E+02,2.083E+00,1.483E+01,1.091E+03
Km,1.914E+00,1.841E+01,1.209E+03,1.914E+00,1.842E+01,1.209E+03,1.913E+00,1.846E+01,1.207E+03,1.903E+00,1.880E+01,1.188E+03,1.834E+00,2.159E+01,1.055E+03
Kd,1.496E+00,7.190E+01,4.332E+02,1.610E+00,4.260E+01,5.635E+02,1.767E+00,2.691E+01,6.730E+02,2.005E+00,1.717E+01,7.696E+02,2.433E+00,1.052E+01,8.565E+02
kbm,1.608E+00,4.293E+01,5.615E+02,1.608E+00,4.293E+01,5.615E+02,1.608E+00,4.293E+01,5.615E+02,1.608E+00,4.293E+01,5.615E+02,1.608E+00,4.293E+01,5.615E+02
kbd,1.608E+00,4.293E+01,5.615E+02,1.608E+00,4.293E+01,5.615E+02,1.608E+00,4.293E+01,5.615E+02,1.608E+00,4.293E+01,5.615E+02,1.608E+00,4.293E+01,5.615E+02
