,log10_var,log10_left_bound,log10_right_bound
beta,0.2741578492636798,0.15423155643141545,0.34114113937870905
gammam,-0.14874165128092473,-0.21835245081019905,-0.032537236217702284
gammamRNA,-1.4056074496245732,-1.471002456573565,-1.2881461483733734
gammad,-2.9030899869919438,-3.3010299956639813,-1.0
alphaass,-1.832682665251824,-2.0,-1.7002427070207353
alphadiss,1.9206450014067875,1.7909014320337566,2.1525376768857982
phi0,0.004321373782642578,-0.1092046415292649,0.07044065755488896
fm,-1.431798275933005,-3.0,2.0
fd,1.5185139398778875,1.3993734356037635,1.6426470647531195
Km,-5.266802734893431,-6.0,-3.1537183222004455
Kd,-2.1390633792999063,-2.369060580337705,-2.0041718499695866
kbm,-2.769551078621726,-3.0,2.0
kbd,0.02530586526477026,-3.0,2.0
