,L1_per,I1_min,H1_max,L2_per,I2_min,H2_max,L3_per,I3_min,H3_max,L4_per,I4_min,H4_max,L5_per,I5_min,H5_max
beta,1.913E+00,9.699E+01,5.208E+02,2.284E+00,6.576E+01,7.088E+02,2.784E+00,4.670E+01,9.022E+02,3.506E+00,3.323E+01,1.109E+03,4.710E+00,2.264E+01,1.334E+03
gammam,5.003E+00,2.119E+01,1.324E+03,3.622E+00,3.196E+01,1.107E+03,2.836E+00,4.557E+01,9.048E+02,2.304E+00,6.484E+01,7.129E+02,1.915E+00,9.656E+01,5.241E+02
gammamRNA,4.849E+00,2.185E+01,1.353E+03,3.541E+00,3.277E+01,1.117E+03,2.782E+00,4.675E+01,9.016E+02,2.265E+00,6.682E+01,7.003E+02,1.885E+00,1.008E+02,5.041E+02
gammad,2.062E+00,7.618E+01,7.060E+02,2.059E+00,7.762E+01,6.756E+02,2.054E+00,8.039E+01,6.245E+02,2.044E+00,8.603E+01,5.428E+02,2.027E+00,9.939E+01,4.191E+02
alphaass,1.943E+00,9.521E+01,5.279E+02,2.311E+00,6.236E+01,7.401E+02,2.806E+00,4.349E+01,9.539E+02,3.521E+00,3.058E+01,1.178E+03,4.729E+00,2.063E+01,1.415E+03
alphadiss,4.672E+00,2.094E+01,1.407E+03,3.491E+00,3.097E+01,1.170E+03,2.785E+00,4.403E+01,9.462E+02,2.296E+00,6.323E+01,7.325E+02,1.932E+00,9.696E+01,5.199E+02
phi0,1.924E+00,9.555E+01,5.273E+02,2.307E+00,6.454E+01,7.188E+02,2.826E+00,4.560E+01,9.164E+02,3.587E+00,3.219E+01,1.128E+03,4.898E+00,2.158E+01,1.359E+03
fm,1.770E+00,1.033E+02,5.498E+02,1.773E+00,1.030E+02,5.504E+02,1.786E+00,1.017E+02,5.531E+02,1.847E+00,9.633E+01,5.646E+02,2.173E+00,7.545E+01,6.128E+02
fd,2.069E+00,7.581E+01,6.397E+02,2.219E+00,4.696E+01,9.524E+02,2.424E+00,3.100E+01,1.306E+03,2.725E+00,2.072E+01,1.716E+03,3.241E+00,1.344E+01,2.196E+03
Km,2.045E+00,3.607E+01,1.364E+03,2.045E+00,3.619E+01,1.360E+03,2.045E+00,3.665E+01,1.343E+03,2.046E+00,3.840E+01,1.281E+03,2.047E+00,4.628E+01,1.062E+03
Kd,2.019E+00,9.318E+01,5.585E+02,2.170E+00,5.642E+01,7.083E+02,2.377E+00,3.614E+01,8.325E+02,2.687E+00,2.334E+01,9.408E+02,3.234E+00,1.451E+01,1.037E+03
kbm,2.051E+00,8.211E+01,5.967E+02,2.051E+00,8.211E+01,5.967E+02,2.051E+00,8.211E+01,5.967E+02,2.051E+00,8.211E+01,5.967E+02,2.051E+00,8.211E+01,5.967E+02
kbd,2.051E+00,8.211E+01,5.967E+02,2.051E+00,8.211E+01,5.967E+02,2.051E+00,8.211E+01,5.967E+02,2.051E+00,8.211E+01,5.967E+02,2.051E+00,8.211E+01,5.967E+02
