,L1_per,I1_min,H1_max,L2_per,I2_min,H2_max,L3_per,I3_min,H3_max,L4_per,I4_min,H4_max,L5_per,I5_min,H5_max
beta,8.777E-01,5.784E+01,2.552E+02,1.068E+00,3.853E+01,3.401E+02,1.328E+00,2.699E+01,4.219E+02,1.707E+00,1.892E+01,5.053E+02,2.347E+00,1.267E+01,5.921E+02
gammam,2.182E+00,1.421E+01,5.463E+02,1.506E+00,2.176E+01,4.921E+02,1.118E+00,3.158E+01,4.333E+02,8.608E-01,4.560E+01,3.684E+02,6.774E-01,6.865E+01,2.927E+02
gammamRNA,2.389E+00,1.241E+01,5.962E+02,1.732E+00,1.856E+01,5.097E+02,1.346E+00,2.646E+01,4.266E+02,1.082E+00,3.766E+01,3.452E+02,8.889E-01,5.609E+01,2.613E+02
gammad,2.551E+00,1.103E+01,6.639E+02,1.914E+00,1.614E+01,5.496E+02,1.530E+00,2.273E+01,4.442E+02,1.262E+00,3.228E+01,3.453E+02,1.061E+00,4.872E+01,2.481E+02
alphaass,1.580E+00,2.059E+01,4.994E+02,1.803E+00,1.762E+01,5.209E+02,2.090E+00,1.489E+01,5.418E+02,2.482E+00,1.231E+01,5.621E+02,3.089E+00,9.726E+00,5.818E+02
alphadiss,1.830E+00,1.733E+01,5.231E+02,1.636E+00,1.974E+01,5.054E+02,1.385E+00,2.414E+01,4.754E+02,1.097E+00,3.259E+01,4.255E+02,8.076E-01,5.119E+01,3.433E+02
phi0,1.375E+00,2.563E+01,4.340E+02,1.594E+00,2.076E+01,4.837E+02,1.884E+00,1.664E+01,5.345E+02,2.295E+00,1.302E+01,5.867E+02,2.977E+00,9.621E+00,6.406E+02
fm,1.689E+00,1.894E+01,5.165E+02,1.689E+00,1.893E+01,5.165E+02,1.692E+00,1.890E+01,5.166E+02,1.711E+00,1.868E+01,5.173E+02,1.846E+00,1.719E+01,5.216E+02
fd,1.466E+00,4.880E+01,2.708E+02,1.569E+00,3.124E+01,3.710E+02,1.708E+00,2.120E+01,4.711E+02,1.908E+00,1.455E+01,5.759E+02,2.238E+00,9.725E+00,6.878E+02
Km,1.705E+00,1.823E+01,5.358E+02,1.706E+00,1.822E+01,5.355E+02,1.714E+00,1.818E+01,5.341E+02,1.752E+00,1.797E+01,5.271E+02,1.967E+00,1.685E+01,4.928E+02
Kd,1.384E+00,6.546E+01,3.309E+02,1.488E+00,3.934E+01,4.128E+02,1.633E+00,2.503E+01,4.773E+02,1.851E+00,1.602E+01,5.315E+02,2.245E+00,9.818E+00,5.781E+02
kbm,1.792E+00,1.775E+01,5.199E+02,1.792E+00,1.775E+01,5.199E+02,1.792E+00,1.775E+01,5.199E+02,1.792E+00,1.775E+01,5.199E+02,1.792E+00,1.775E+01,5.199E+02
kbd,1.792E+00,1.775E+01,5.199E+02,1.792E+00,1.775E+01,5.199E+02,1.792E+00,1.775E+01,5.199E+02,1.792E+00,1.775E+01,5.199E+02,1.792E+00,1.775E+01,5.199E+02
