,log10_var,log10_left_bound,log10_right_bound
beta,0.17318626841227402,0.03311762220601418,0.26625242942962507
gammam,-0.19246497193114673,-0.28294217498414687,-0.057138038542059184
gammamRNA,-2.583359492661719,-2.6777546076055487,-2.446883886984174
gammad,-2.51427857351842,-3.3010299956639813,-1.0
alphaass,-1.4710832997223453,-1.7479381350239303,-1.2900710968268223
alphadiss,0.8609366207000937,0.6761847706861244,1.1324974012752769
phi0,-1.9507819773298183,-2.0,-1.8614516635629976
fm,-1.3178549236261683,-3.0,2.0
fd,1.6242820958356683,1.4842891808250183,1.797464567286415
Km,-4.328827157284917,-6.0,-2.3157561402653695
Kd,-2.049635145623877,-2.3235373962690966,-1.8694458175559778
kbm,-1.4282911681913124,-3.0,2.0
kbd,-2.3089185078770313,-3.0,2.0
