,L1_per,I1_min,H1_max,L2_per,I2_min,H2_max,L3_per,I3_min,H3_max,L4_per,I4_min,H4_max,L5_per,I5_min,H5_max
beta,9.731E-01,5.650E+01,2.782E+02,1.186E+00,3.822E+01,3.837E+02,1.475E+00,2.713E+01,4.939E+02,1.898E+00,1.927E+01,6.142E+02,2.614E+00,1.306E+01,7.481E+02
gammam,2.558E+00,1.339E+01,7.380E+02,1.873E+00,1.960E+01,6.076E+02,1.462E+00,2.748E+01,4.897E+02,1.179E+00,3.858E+01,3.814E+02,9.697E-01,5.686E+01,2.772E+02
gammamRNA,2.670E+00,1.274E+01,7.559E+02,1.905E+00,1.917E+01,6.160E+02,1.466E+00,2.738E+01,4.908E+02,1.169E+00,3.915E+01,3.765E+02,9.534E-01,5.936E+01,2.665E+02
gammad,1.555E+00,2.522E+01,5.153E+02,1.551E+00,2.557E+01,4.948E+02,1.543E+00,2.639E+01,4.537E+02,1.524E+00,2.838E+01,3.795E+02,1.486E+00,3.400E+01,2.644E+02
alphaass,9.688E-01,5.726E+01,2.755E+02,1.163E+00,3.955E+01,3.740E+02,1.421E+00,2.866E+01,4.756E+02,1.783E+00,2.089E+01,5.851E+02,2.348E+00,1.481E+01,7.053E+02
alphadiss,2.595E+00,1.316E+01,7.439E+02,1.888E+00,1.940E+01,6.114E+02,1.468E+00,2.732E+01,4.917E+02,1.181E+00,3.852E+01,3.818E+02,9.696E-01,5.715E+01,2.760E+02
phi0,9.750E-01,5.624E+01,2.793E+02,1.188E+00,3.810E+01,3.846E+02,1.477E+00,2.707E+01,4.946E+02,1.901E+00,1.923E+01,6.149E+02,2.617E+00,1.304E+01,7.485E+02
fm,1.556E+00,2.514E+01,5.201E+02,1.556E+00,2.513E+01,5.202E+02,1.558E+00,2.511E+01,5.203E+02,1.568E+00,2.491E+01,5.210E+02,1.639E+00,2.361E+01,5.257E+02
fd,1.418E+00,4.484E+01,3.206E+02,1.519E+00,2.844E+01,4.712E+02,1.658E+00,1.911E+01,6.415E+02,1.863E+00,1.295E+01,8.407E+02,2.224E+00,8.456E+00,1.077E+03
Km,1.563E+00,2.461E+01,5.290E+02,1.562E+00,2.466E+01,5.281E+02,1.559E+00,2.488E+01,5.245E+02,1.548E+00,2.583E+01,5.091E+02,1.500E+00,3.053E+01,4.443E+02
Kd,1.295E+00,7.738E+01,3.642E+02,1.386E+00,4.563E+01,4.456E+02,1.514E+00,2.838E+01,5.065E+02,1.710E+00,1.769E+01,5.554E+02,2.064E+00,1.055E+01,5.960E+02
kbm,1.556E+00,2.514E+01,5.201E+02,1.556E+00,2.514E+01,5.201E+02,1.556E+00,2.514E+01,5.201E+02,1.556E+00,2.514E+01,5.201E+02,1.556E+00,2.514E+01,5.201E+02
kbd,1.556E+00,2.514E+01,5.201E+02,1.556E+00,2.514E+01,5.201E+02,1.556E+00,2.514E+01,5.201E+02,1.556E+00,2.514E+01,5.201E+02,1.556E+00,2.514E+01,5.201E+02
