,L1_per,I1_min,H1_max,L2_per,I2_min,H2_max,L3_per,I3_min,H3_max,L4_per,I4_min,H4_max,L5_per,I5_min,H5_max
beta,1.386E-01,3.625E+01,2.944E+02,1.887E-01,2.126E+01,4.684E+02,2.633E-01,1.335E+01,6.777E+02,3.836E-01,8.398E+00,9.369E+02,6.123E-01,4.944E+00,1.260E+03
gammam,6.041E-01,5.050E+00,1.173E+03,3.812E-01,8.500E+00,8.993E+02,2.627E-01,1.343E+01,6.670E+02,1.887E-01,2.122E+01,4.712E+02,1.389E-01,3.575E+01,3.031E+02
gammamRNA,5.944E-01,5.107E+00,1.241E+03,3.762E-01,8.594E+00,9.231E+02,2.595E-01,1.361E+01,6.681E+02,1.866E-01,2.162E+01,4.618E+02,1.374E-01,3.690E+01,2.897E+02
gammad,2.090E-01,1.786E+01,5.945E+02,2.088E-01,1.808E+01,5.623E+02,2.083E-01,1.861E+01,4.992E+02,2.072E-01,1.995E+01,3.926E+02,2.046E-01,2.389E+01,2.478E+02
alphaass,1.685E-01,2.562E+01,4.031E+02,2.221E-01,1.676E+01,5.671E+02,2.996E-01,1.125E+01,7.555E+02,4.206E-01,7.468E+00,9.729E+02,6.410E-01,4.650E+00,1.223E+03
alphadiss,6.059E-01,4.947E+00,1.192E+03,3.857E-01,8.266E+00,9.178E+02,2.677E-01,1.300E+01,6.836E+02,1.936E-01,2.050E+01,4.842E+02,1.434E-01,3.455E+01,3.115E+02
phi0,1.395E-01,3.576E+01,2.981E+02,1.885E-01,2.129E+01,4.679E+02,2.608E-01,1.353E+01,6.712E+02,3.753E-01,8.616E+00,9.215E+02,5.866E-01,5.182E+00,1.232E+03
fm,2.085E-01,1.834E+01,5.287E+02,2.086E-01,1.833E+01,5.288E+02,2.092E-01,1.828E+01,5.291E+02,2.130E-01,1.788E+01,5.309E+02,2.425E-01,1.535E+01,5.434E+02
fd,1.978E-01,4.155E+01,2.515E+02,2.025E-01,2.691E+01,3.757E+02,2.080E-01,1.891E+01,5.147E+02,2.145E-01,1.379E+01,6.765E+02,2.224E-01,1.025E+01,8.670E+02
Km,2.109E-01,1.627E+01,5.897E+02,2.108E-01,1.634E+01,5.875E+02,2.105E-01,1.658E+01,5.798E+02,2.094E-01,1.748E+01,5.526E+02,2.059E-01,2.139E+01,4.591E+02
Kd,1.945E-01,4.459E+01,4.107E+02,2.058E-01,2.093E+01,5.133E+02,2.231E-01,1.050E+01,5.861E+02,2.519E-01,5.287E+00,6.405E+02,3.096E-01,2.509E+00,6.821E+02
kbm,2.085E-01,1.834E+01,5.287E+02,2.085E-01,1.834E+01,5.287E+02,2.085E-01,1.834E+01,5.287E+02,2.085E-01,1.834E+01,5.287E+02,2.085E-01,1.834E+01,5.287E+02
kbd,2.085E-01,1.834E+01,5.287E+02,2.085E-01,1.834E+01,5.287E+02,2.085E-01,1.834E+01,5.287E+02,2.085E-01,1.834E+01,5.287E+02,2.085E-01,1.834E+01,5.287E+02
