,log10_var,log10_left_bound,log10_right_bound
beta,0.02530586526477026,-0.10523142683237313,0.10954684767969203
gammam,-0.07520400420208784,-0.1580351408018334,0.0
gammamRNA,-0.8068754016455384,-0.8882608847875985,-0.6763004214484976
gammad,-2.5316526695878427,-3.3010299956639813,-1.7628348256736328
alphaass,-1.9065783148377649,-2.0,-1.746455526677562
alphadiss,-1.473660722610156,-1.6555097380804304,-1.1809504995487492
phi0,-0.790484985457369,-0.9180510221474122,-0.7100530427512763
fm,1.2068258760318498,-3.0,2.0
fd,1.6170003411208989,1.4772278698564967,1.7696017677055407
Km,-4.663540266151471,-6.0,-2.0027166199555357
Kd,-2.11690664142431,-2.370976226409242,-1.9586077879108879
kbm,-2.322393047279507,-3.0,2.0
kbd,-2.1890957193312994,-3.0,2.0
