,L1_per,I1_min,H1_max,L2_per,I2_min,H2_max,L3_per,I3_min,H3_max,L4_per,I4_min,H4_max,L5_per,I5_min,H5_max
beta,2.360E+00,9.017E+01,3.626E+02,2.800E+00,6.173E+01,4.869E+02,3.393E+00,4.444E+01,6.086E+02,4.255E+00,3.200E+01,7.346E+02,5.738E+00,2.188E+01,8.678E+02
gammam,5.564E+00,2.296E+01,8.220E+02,4.186E+00,3.297E+01,7.087E+02,3.360E+00,4.526E+01,5.982E+02,2.784E+00,6.211E+01,4.884E+02,2.353E+00,8.901E+01,3.739E+02
gammamRNA,5.371E+00,2.371E+01,8.420E+02,4.118E+00,3.346E+01,7.177E+02,3.342E+00,4.551E+01,5.995E+02,2.792E+00,6.206E+01,4.850E+02,2.376E+00,8.854E+01,3.681E+02
gammad,3.159E+00,4.569E+01,7.257E+02,3.138E+00,4.747E+01,6.622E+02,3.105E+00,5.052E+01,5.771E+02,3.056E+00,5.616E+01,4.692E+02,2.983E+00,6.838E+01,3.386E+02
alphaass,2.453E+00,8.388E+01,3.889E+02,2.878E+00,5.897E+01,5.049E+02,3.442E+00,4.320E+01,6.164E+02,4.244E+00,3.168E+01,7.282E+02,5.563E+00,2.230E+01,8.420E+02
alphadiss,5.457E+00,2.283E+01,8.351E+02,4.186E+00,3.229E+01,7.215E+02,3.404E+00,4.398E+01,6.099E+02,2.851E+00,6.008E+01,4.984E+02,2.432E+00,8.582E+01,3.819E+02
phi0,2.338E+00,9.247E+01,3.551E+02,2.778E+00,6.266E+01,4.816E+02,3.371E+00,4.488E+01,6.048E+02,4.236E+00,3.219E+01,7.323E+02,5.730E+00,2.192E+01,8.672E+02
fm,3.095E+00,5.160E+01,5.520E+02,3.099E+00,5.152E+01,5.522E+02,3.116E+00,5.114E+01,5.532E+02,3.196E+00,4.950E+01,5.574E+02,3.600E+00,4.256E+01,5.755E+02
fd,2.910E+00,7.697E+01,3.995E+02,3.115E+00,4.984E+01,5.671E+02,3.390E+00,3.447E+01,7.408E+02,3.785E+00,2.417E+01,9.294E+02,4.441E+00,1.653E+01,1.138E+03
Km,3.501E+00,3.049E+01,8.290E+02,3.499E+00,3.057E+01,8.274E+02,3.488E+00,3.090E+01,8.212E+02,3.444E+00,3.230E+01,7.952E+02,3.279E+00,3.912E+01,6.886E+02
Kd,2.792E+00,9.396E+01,4.242E+02,3.001E+00,5.996E+01,5.217E+02,3.287E+00,4.015E+01,5.998E+02,3.714E+00,2.697E+01,6.667E+02,4.464E+00,1.739E+01,7.253E+02
kbm,3.094E+00,5.162E+01,5.520E+02,3.094E+00,5.162E+01,5.520E+02,3.094E+00,5.162E+01,5.520E+02,3.094E+00,5.162E+01,5.520E+02,3.094E+00,5.162E+01,5.520E+02
kbd,3.094E+00,5.162E+01,5.520E+02,3.094E+00,5.162E+01,5.520E+02,3.094E+00,5.162E+01,5.520E+02,3.094E+00,5.162E+01,5.520E+02,3.094E+00,5.162E+01,5.520E+02
