,L1_per,I1_min,H1_max,L2_per,I2_min,H2_max,L3_per,I3_min,H3_max,L4_per,I4_min,H4_max,L5_per,I5_min,H5_max
beta,5.014E+00,1.035E+02,3.120E+02,5.706E+00,7.613E+01,3.956E+02,6.597E+00,5.849E+01,4.729E+02,7.822E+00,4.509E+01,5.493E+02,9.734E+00,3.371E+01,6.269E+02
gammam,9.693E+00,3.389E+01,6.252E+02,7.798E+00,4.529E+01,5.482E+02,6.579E+00,5.872E+01,4.723E+02,5.691E+00,7.641E+01,3.955E+02,5.001E+00,1.038E+02,3.121E+02
gammamRNA,1.037E+01,3.117E+01,6.451E+02,8.206E+00,4.217E+01,5.682E+02,6.879E+00,5.467E+01,4.929E+02,5.931E+00,7.057E+01,4.175E+02,5.203E+00,9.364E+01,3.382E+02
gammad,8.382E+00,4.073E+01,5.858E+02,8.333E+00,4.145E+01,5.678E+02,8.233E+00,4.304E+01,5.319E+02,8.033E+00,4.673E+01,4.645E+02,7.657E+00,5.656E+01,3.498E+02
alphaass,5.094E+00,9.965E+01,3.223E+02,5.814E+00,7.358E+01,4.059E+02,6.751E+00,5.641E+01,4.839E+02,8.060E+00,4.324E+01,5.612E+02,1.018E+01,3.186E+01,6.398E+02
alphadiss,1.143E+01,2.774E+01,6.686E+02,9.891E+00,3.302E+01,6.316E+02,8.827E+00,3.821E+01,5.950E+02,8.011E+00,4.361E+01,5.588E+02,7.351E+00,4.941E+01,5.230E+02
phi0,5.064E+00,1.006E+02,3.193E+02,5.752E+00,7.491E+01,4.003E+02,6.635E+00,5.794E+01,4.757E+02,7.844E+00,4.492E+01,5.504E+02,9.715E+00,3.379E+01,6.263E+02
fm,8.345E+00,4.120E+01,5.749E+02,8.349E+00,4.118E+01,5.749E+02,8.368E+00,4.106E+01,5.752E+02,8.467E+00,4.049E+01,5.765E+02,9.015E+00,3.760E+01,5.832E+02
fd,6.821E+00,9.130E+01,3.183E+02,7.290E+00,6.456E+01,4.208E+02,7.905E+00,4.821E+01,5.190E+02,8.779E+00,3.633E+01,6.194E+02,1.023E+01,2.662E+01,7.244E+02
Km,8.582E+00,3.834E+01,6.007E+02,8.499E+00,3.931E+01,5.917E+02,8.330E+00,4.146E+01,5.723E+02,8.003E+00,4.654E+01,5.306E+02,7.424E+00,6.047E+01,4.403E+02
Kd,6.198E+00,1.201E+02,3.896E+02,6.648E+00,8.385E+01,4.616E+02,7.251E+00,6.075E+01,5.182E+02,8.123E+00,4.403E+01,5.661E+02,9.599E+00,3.077E+01,6.081E+02
kbm,8.353E+00,4.116E+01,5.750E+02,8.353E+00,4.116E+01,5.750E+02,8.353E+00,4.116E+01,5.750E+02,8.353E+00,4.116E+01,5.750E+02,8.353E+00,4.116E+01,5.750E+02
kbd,8.353E+00,4.116E+01,5.750E+02,8.353E+00,4.116E+01,5.750E+02,8.353E+00,4.116E+01,5.750E+02,8.353E+00,4.116E+01,5.750E+02,8.353E+00,4.116E+01,5.750E+02
