,L1_per,I1_min,H1_max,L2_per,I2_min,H2_max,L3_per,I3_min,H3_max,L4_per,I4_min,H4_max,L5_per,I5_min,H5_max
beta,7.356E-01,6.239E+01,4.034E+02,9.074E-01,4.005E+01,5.630E+02,1.145E+00,2.709E+01,7.284E+02,1.500E+00,1.834E+01,9.061E+02,2.121E+00,1.179E+01,1.100E+03
gammam,2.078E+00,1.269E+01,9.022E+02,1.456E+00,1.986E+01,7.797E+02,1.100E+00,2.952E+01,6.553E+02,8.632E-01,4.398E+01,5.274E+02,6.926E-01,6.923E+01,3.912E+02
gammamRNA,2.029E+00,1.244E+01,1.077E+03,1.450E+00,1.920E+01,8.851E+02,1.112E+00,2.836E+01,7.081E+02,8.831E-01,4.214E+01,5.431E+02,7.168E-01,6.666E+01,3.824E+02
gammad,9.032E-01,2.959E+01,1.702E+03,8.998E-01,3.053E+01,1.468E+03,8.940E-01,3.234E+01,1.167E+03,8.838E-01,3.610E+01,8.255E+02,8.665E-01,4.538E+01,4.858E+02
alphaass,7.541E-01,6.142E+01,4.143E+02,9.229E-01,3.835E+01,5.768E+02,1.154E+00,2.568E+01,7.309E+02,1.495E+00,1.739E+01,8.815E+02,2.079E+00,1.129E+01,1.030E+03
alphadiss,2.112E+00,1.107E+01,1.036E+03,1.512E+00,1.711E+01,8.875E+02,1.165E+00,2.528E+01,7.369E+02,9.307E-01,3.772E+01,5.830E+02,7.598E-01,6.013E+01,4.211E+02
phi0,7.397E-01,6.153E+01,4.079E+02,9.105E-01,3.980E+01,5.655E+02,1.146E+00,2.706E+01,7.290E+02,1.496E+00,1.841E+01,9.045E+02,2.102E+00,1.191E+01,1.095E+03
fm,7.776E-01,5.021E+01,5.134E+02,7.789E-01,5.010E+01,5.137E+02,7.848E-01,4.960E+01,5.150E+02,8.124E-01,4.739E+01,5.208E+02,9.620E-01,3.820E+01,5.463E+02
fd,8.233E-01,8.584E+01,2.997E+02,8.427E-01,6.032E+01,4.068E+02,8.643E-01,4.590E+01,5.086E+02,8.886E-01,3.619E+01,6.120E+02,9.161E-01,2.912E+01,7.194E+02
Km,8.882E-01,1.876E+01,1.298E+03,8.880E-01,1.884E+01,1.292E+03,8.876E-01,1.913E+01,1.272E+03,8.859E-01,2.021E+01,1.198E+03,8.800E-01,2.510E+01,9.501E+02
Kd,8.396E-01,6.013E+01,4.486E+02,9.009E-01,3.335E+01,5.988E+02,9.871E-01,1.994E+01,7.254E+02,1.118E+00,1.210E+01,8.367E+02,1.355E+00,7.073E+00,9.358E+02
kbm,8.695E-01,4.341E+01,5.316E+02,8.695E-01,4.341E+01,5.316E+02,8.695E-01,4.341E+01,5.316E+02,8.695E-01,4.341E+01,5.316E+02,8.695E-01,4.341E+01,5.316E+02
kbd,8.695E-01,4.341E+01,5.316E+02,8.695E-01,4.341E+01,5.316E+02,8.695E-01,4.341E+01,5.316E+02,8.695E-01,4.341E+01,5.316E+02,8.695E-01,4.341E+01,5.316E+02
