,L1_per,I1_min,H1_max,L2_per,I2_min,H2_max,L3_per,I3_min,H3_max,L4_per,I4_min,H4_max,L5_per,I5_min,H5_max
beta,1.088E-01,3.336E+01,2.963E+02,1.495E-01,1.962E+01,4.701E+02,2.103E-01,1.232E+01,6.813E+02,3.083E-01,7.741E+00,9.448E+02,4.920E-01,4.578E+00,1.276E+03
gammam,5.049E-01,4.482E+00,1.202E+03,3.127E-01,7.650E+00,9.185E+02,2.119E-01,1.222E+01,6.785E+02,1.498E-01,1.950E+01,4.768E+02,1.085E-01,3.311E+01,3.052E+02
gammamRNA,5.103E-01,4.400E+00,1.300E+03,3.149E-01,7.552E+00,9.599E+02,2.131E-01,1.211E+01,6.899E+02,1.506E-01,1.942E+01,4.742E+02,1.090E-01,3.322E+01,2.974E+02
gammad,1.794E-01,1.471E+01,6.923E+02,1.793E-01,1.473E+01,6.856E+02,1.793E-01,1.480E+01,6.700E+02,1.791E-01,1.495E+01,6.350E+02,1.787E-01,1.532E+01,5.634E+02
alphaass,1.101E-01,3.300E+01,3.054E+02,1.514E-01,1.930E+01,4.805E+02,2.134E-01,1.207E+01,6.849E+02,3.136E-01,7.564E+00,9.269E+02,5.037E-01,4.448E+00,1.211E+03
alphadiss,5.896E-01,3.754E+00,1.294E+03,4.003E-01,5.729E+00,1.078E+03,2.934E-01,8.179E+00,8.847E+02,2.232E-01,1.140E+01,7.127E+02,1.737E-01,1.586E+01,5.602E+02
phi0,1.074E-01,3.421E+01,2.896E+02,1.490E-01,1.972E+01,4.680E+02,2.118E-01,1.221E+01,6.859E+02,3.148E-01,7.556E+00,9.596E+02,5.146E-01,4.360E+00,1.306E+03
fm,1.787E-01,1.525E+01,5.775E+02,1.788E-01,1.525E+01,5.775E+02,1.790E-01,1.522E+01,5.777E+02,1.810E-01,1.503E+01,5.787E+02,1.951E-01,1.378E+01,5.855E+02
fd,1.678E-01,4.113E+01,2.355E+02,1.710E-01,2.758E+01,3.410E+02,1.748E-01,1.994E+01,4.566E+02,1.792E-01,1.492E+01,5.883E+02,1.843E-01,1.138E+01,7.402E+02
Km,1.798E-01,1.428E+01,6.129E+02,1.797E-01,1.440E+01,6.083E+02,1.793E-01,1.476E+01,5.949E+02,1.782E-01,1.590E+01,5.556E+02,1.750E-01,2.024E+01,4.440E+02
Kd,1.642E-01,4.634E+01,4.347E+02,1.734E-01,2.100E+01,5.420E+02,1.876E-01,1.019E+01,6.162E+02,2.114E-01,4.960E+00,6.704E+02,2.600E-01,2.270E+00,7.109E+02
kbm,1.788E-01,1.524E+01,5.776E+02,1.788E-01,1.524E+01,5.776E+02,1.788E-01,1.524E+01,5.776E+02,1.788E-01,1.524E+01,5.776E+02,1.788E-01,1.524E+01,5.776E+02
kbd,1.788E-01,1.524E+01,5.776E+02,1.788E-01,1.524E+01,5.776E+02,1.788E-01,1.524E+01,5.776E+02,1.788E-01,1.524E+01,5.776E+02,1.788E-01,1.524E+01,5.776E+02
