,L1_per,I1_min,H1_max,L2_per,I2_min,H2_max,L3_per,I3_min,H3_max,L4_per,I4_min,H4_max,L5_per,I5_min,H5_max
beta,3.508E-01,5.337E+01,3.970E+02,4.511E-01,3.237E+01,6.103E+02,5.934E-01,2.104E+01,8.551E+02,8.110E-01,1.376E+01,1.145E+03,1.197E+00,8.557E+00,1.491E+03
gammam,1.225E+00,8.377E+00,1.439E+03,8.218E-01,1.359E+01,1.123E+03,5.982E-01,2.085E+01,8.498E+02,4.529E-01,3.215E+01,6.130E+02,3.511E-01,5.301E+01,4.027E+02
gammamRNA,1.221E+00,8.363E+00,1.507E+03,8.207E-01,1.355E+01,1.156E+03,5.981E-01,2.080E+01,8.623E+02,4.534E-01,3.209E+01,6.146E+02,3.518E-01,5.302E+01,3.994E+02
gammad,4.420E-01,3.249E+01,6.714E+02,4.417E-01,3.270E+01,6.559E+02,4.412E-01,3.322E+01,6.207E+02,4.398E-01,3.453E+01,5.470E+02,4.366E-01,3.823E+01,4.143E+02
alphaass,3.771E-01,4.748E+01,4.414E+02,4.788E-01,2.883E+01,6.696E+02,6.220E-01,1.880E+01,9.222E+02,8.395E-01,1.237E+01,1.207E+03,1.225E+00,7.756E+00,1.529E+03
alphadiss,1.211E+00,7.862E+00,1.521E+03,8.284E-01,1.259E+01,1.195E+03,6.125E-01,1.924E+01,9.073E+02,4.704E-01,2.977E+01,6.526E+02,3.697E-01,4.994E+01,4.222E+02
phi0,3.518E-01,5.299E+01,3.995E+02,4.526E-01,3.218E+01,6.132E+02,5.957E-01,2.092E+01,8.586E+02,8.148E-01,1.368E+01,1.149E+03,1.205E+00,8.491E+00,1.497E+03
fm,4.407E-01,3.371E+01,5.901E+02,4.412E-01,3.366E+01,5.903E+02,4.439E-01,3.341E+01,5.912E+02,4.575E-01,3.216E+01,5.959E+02,5.383E-01,2.631E+01,6.192E+02
fd,4.266E-01,5.188E+01,3.993E+02,4.428E-01,3.198E+01,6.184E+02,4.626E-01,2.148E+01,8.722E+02,4.876E-01,1.496E+01,1.175E+03,5.199E-01,1.058E+01,1.539E+03
Km,4.723E-01,1.837E+01,1.011E+03,4.720E-01,1.844E+01,1.008E+03,4.711E-01,1.869E+01,9.963E+02,4.677E-01,1.973E+01,9.511E+02,4.550E-01,2.458E+01,7.841E+02
Kd,4.217E-01,5.546E+01,4.787E+02,4.502E-01,2.781E+01,6.312E+02,4.917E-01,1.511E+01,7.506E+02,5.580E-01,8.312E+00,8.482E+02,6.851E-01,4.360E+00,9.294E+02
kbm,4.406E-01,3.372E+01,5.900E+02,4.406E-01,3.372E+01,5.900E+02,4.406E-01,3.372E+01,5.900E+02,4.406E-01,3.372E+01,5.900E+02,4.406E-01,3.372E+01,5.900E+02
kbd,4.406E-01,3.372E+01,5.900E+02,4.406E-01,3.372E+01,5.900E+02,4.406E-01,3.372E+01,5.900E+02,4.406E-01,3.372E+01,5.900E+02,4.406E-01,3.372E+01,5.900E+02
