,L1_per,I1_min,H1_max,L2_per,I2_min,H2_max,L3_per,I3_min,H3_max,L4_per,I4_min,H4_max,L5_per,I5_min,H5_max
beta,7.988E-01,5.414E+01,2.432E+02,9.861E-01,3.576E+01,3.339E+02,1.245E+00,2.491E+01,4.247E+02,1.630E+00,1.734E+01,5.205E+02,2.306E+00,1.143E+01,6.236E+02
gammam,2.200E+00,1.221E+01,5.869E+02,1.549E+00,1.849E+01,5.056E+02,1.173E+00,2.659E+01,4.244E+02,9.208E-01,3.823E+01,3.424E+02,7.388E-01,5.791E+01,2.553E+02
gammamRNA,2.314E+00,1.138E+01,6.245E+02,1.644E+00,1.716E+01,5.233E+02,1.259E+00,2.450E+01,4.290E+02,1.001E+00,3.489E+01,3.398E+02,8.128E-01,5.201E+01,2.512E+02
gammad,1.712E+00,1.391E+01,1.044E+03,1.694E+00,1.439E+01,9.182E+02,1.661E+00,1.538E+01,7.406E+02,1.603E+00,1.759E+01,5.266E+02,1.505E+00,2.344E+01,3.074E+02
alphaass,7.508E-01,5.589E+01,2.623E+02,9.354E-01,3.726E+01,3.481E+02,1.192E+00,2.602E+01,4.294E+02,1.575E+00,1.812E+01,5.100E+02,2.244E+00,1.194E+01,5.907E+02
alphadiss,2.184E+00,1.231E+01,5.855E+02,1.555E+00,1.840E+01,5.066E+02,1.186E+00,2.618E+01,4.280E+02,9.365E-01,3.719E+01,3.485E+02,7.553E-01,5.517E+01,2.649E+02
phi0,8.051E-01,5.315E+01,2.468E+02,9.915E-01,3.543E+01,3.361E+02,1.248E+00,2.481E+01,4.257E+02,1.629E+00,1.736E+01,5.203E+02,2.290E+00,1.151E+01,6.219E+02
fm,1.598E+00,1.778E+01,5.139E+02,1.598E+00,1.778E+01,5.139E+02,1.599E+00,1.778E+01,5.139E+02,1.599E+00,1.778E+01,5.139E+02,1.600E+00,1.777E+01,5.140E+02
fd,1.353E+00,4.323E+01,2.708E+02,1.449E+00,2.752E+01,3.826E+02,1.581E+00,1.854E+01,5.006E+02,1.777E+00,1.258E+01,6.301E+02,2.115E+00,8.243E+00,7.744E+02
Km,1.599E+00,1.778E+01,5.139E+02,1.598E+00,1.780E+01,5.134E+02,1.597E+00,1.790E+01,5.107E+02,1.593E+00,1.840E+01,4.976E+02,1.572E+00,2.125E+01,4.338E+02
Kd,1.237E+00,7.047E+01,3.416E+02,1.326E+00,4.178E+01,4.177E+02,1.450E+00,2.608E+01,4.752E+02,1.640E+00,1.631E+01,5.217E+02,1.986E+00,9.743E+00,5.604E+02
kbm,1.599E+00,1.778E+01,5.139E+02,1.599E+00,1.778E+01,5.139E+02,1.599E+00,1.778E+01,5.139E+02,1.599E+00,1.778E+01,5.139E+02,1.599E+00,1.778E+01,5.139E+02
kbd,1.599E+00,1.778E+01,5.139E+02,1.599E+00,1.778E+01,5.139E+02,1.599E+00,1.778E+01,5.139E+02,1.599E+00,1.778E+01,5.139E+02,1.599E+00,1.778E+01,5.139E+02
