,log10_var,log10_left_bound,log10_right_bound
beta,-1.9065783148377649,-2.0,-1.7002841188153763
gammam,-0.2041199826559248,-0.41435705427261793,-0.04784062093498237
gammamRNA,-0.3106911408763798,-0.5181671173126747,-0.15453457917040486
gammad,-3.243363891754152,-3.3010299956639813,-2.1260635159781582
alphaass,-1.2564902352715703,-1.5498280721370836,-0.8392962118415567
alphadiss,-1.6179829574251317,-2.047164031193499,-1.3158297756404795
phi0,0.7489628612561614,0.5959444207370197,0.9568529917784028
fm,-2.431798275933005,-3.0,1.9437369359500694
fd,1.9768083373380663,1.81642291240432,2.0
Km,-1.709965388637482,-6.0,-0.820571365700296
Kd,-2.0366844886138886,-2.319225535812312,-1.6269681097480047
kbm,-1.8860566476931633,-3.0,2.0
kbd,-0.28066871301627333,-3.0,2.0
