,L1_per,I1_min,H1_max,L2_per,I2_min,H2_max,L3_per,I3_min,H3_max,L4_per,I4_min,H4_max,L5_per,I5_min,H5_max
beta,5.790E+00,1.068E+02,2.992E+02,6.367E+00,7.596E+01,3.940E+02,7.090E+00,5.778E+01,4.792E+02,8.047E+00,4.469E+01,5.625E+02,9.441E+00,3.416E+01,6.462E+02
gammam,9.706E+00,3.275E+01,6.583E+02,8.308E+00,4.218E+01,5.810E+02,7.348E+00,5.345E+01,5.044E+02,6.621E+00,6.820E+01,4.269E+02,6.039E+00,9.002E+01,3.450E+02
gammamRNA,1.023E+01,3.034E+01,6.795E+02,8.475E+00,4.074E+01,5.921E+02,7.362E+00,5.323E+01,5.057E+02,6.551E+00,7.013E+01,4.182E+02,5.918E+00,9.718E+01,3.239E+02
gammad,8.180E+00,4.349E+01,5.672E+02,8.157E+00,4.399E+01,5.542E+02,8.107E+00,4.518E+01,5.258E+02,7.997E+00,4.811E+01,4.668E+02,7.765E+00,5.645E+01,3.547E+02
alphaass,6.450E+00,8.246E+01,3.640E+02,7.057E+00,6.159E+01,4.544E+02,7.831E+00,4.760E+01,5.405E+02,8.889E+00,3.696E+01,6.256E+02,1.056E+01,2.791E+01,7.113E+02
alphadiss,1.012E+01,2.975E+01,6.933E+02,8.698E+00,3.846E+01,6.124E+02,7.743E+00,4.882E+01,5.319E+02,7.026E+00,6.237E+01,4.503E+02,6.454E+00,8.227E+01,3.647E+02
phi0,6.192E+00,8.270E+01,3.690E+02,6.829E+00,6.308E+01,4.512E+02,7.642E+00,4.933E+01,5.304E+02,8.753E+00,3.856E+01,6.094E+02,1.050E+01,2.922E+01,6.894E+02
fm,6.634E+00,5.644E+01,5.422E+02,6.674E+00,5.599E+01,5.432E+02,6.784E+00,5.481E+01,5.459E+02,7.096E+00,5.173E+01,5.531E+02,8.107E+00,4.381E+01,5.715E+02
fd,7.016E+00,7.662E+01,3.777E+02,7.494E+00,5.751E+01,4.711E+02,8.107E+00,4.453E+01,5.623E+02,8.949E+00,3.466E+01,6.545E+02,1.028E+01,2.637E+01,7.491E+02
Km,1.018E+01,2.634E+01,7.568E+02,8.947E+00,3.434E+01,6.607E+02,8.115E+00,4.447E+01,5.625E+02,7.484E+00,5.891E+01,4.604E+02,6.976E+00,8.335E+01,3.491E+02
Kd,6.662E+00,9.425E+01,3.589E+02,7.141E+00,6.731E+01,4.499E+02,7.762E+00,5.037E+01,5.309E+02,8.622E+00,3.806E+01,6.071E+02,9.994E+00,2.812E+01,6.804E+02
kbm,8.189E+00,4.328E+01,5.728E+02,8.189E+00,4.328E+01,5.728E+02,8.189E+00,4.328E+01,5.728E+02,8.189E+00,4.328E+01,5.728E+02,8.189E+00,4.328E+01,5.728E+02
kbd,8.189E+00,4.328E+01,5.728E+02,8.189E+00,4.328E+01,5.728E+02,8.189E+00,4.328E+01,5.728E+02,8.189E+00,4.328E+01,5.728E+02,8.189E+00,4.328E+01,5.728E+02
