,L1_per,I1_min,H1_max,L2_per,I2_min,H2_max,L3_per,I3_min,H3_max,L4_per,I4_min,H4_max,L5_per,I5_min,H5_max
beta,4.585E-01,4.652E+01,2.944E+02,5.827E-01,3.006E+01,4.260E+02,7.578E-01,2.044E+01,5.722E+02,1.024E+00,1.388E+01,7.408E+02,1.498E+00,8.902E+00,9.379E+02
gammam,1.533E+00,8.683E+00,9.425E+02,1.035E+00,1.371E+01,7.445E+02,7.606E-01,2.034E+01,5.743E+02,5.819E-01,3.010E+01,4.264E+02,4.559E-01,4.697E+01,2.930E+02
gammamRNA,1.431E+00,9.370E+00,9.162E+02,9.926E-01,1.442E+01,7.236E+02,7.394E-01,2.115E+01,5.584E+02,5.709E-01,3.107E+01,4.148E+02,4.506E-01,4.832E+01,2.847E+02
gammad,7.738E-01,1.976E+01,6.001E+02,7.735E-01,1.980E+01,5.950E+02,7.729E-01,1.991E+01,5.831E+02,7.715E-01,2.016E+01,5.561E+02,7.680E-01,2.080E+01,4.991E+02
alphaass,4.834E-01,4.180E+01,3.240E+02,6.089E-01,2.806E+01,4.506E+02,7.842E-01,1.952E+01,5.914E+02,1.048E+00,1.350E+01,7.521E+02,1.508E+00,8.829E+00,9.373E+02
alphadiss,1.461E+00,9.155E+00,9.223E+02,1.005E+00,1.420E+01,7.293E+02,7.454E-01,2.092E+01,5.630E+02,5.738E-01,3.084E+01,4.179E+02,4.517E-01,4.814E+01,2.863E+02
phi0,4.522E-01,4.794E+01,2.867E+02,5.745E-01,3.075E+01,4.182E+02,7.467E-01,2.086E+01,5.639E+02,1.007E+00,1.416E+01,7.317E+02,1.467E+00,9.116E+00,9.279E+02
fm,7.643E-01,2.017E+01,5.821E+02,7.643E-01,2.017E+01,5.821E+02,7.646E-01,2.016E+01,5.822E+02,7.667E-01,2.009E+01,5.825E+02,7.815E-01,1.965E+01,5.845E+02
fd,7.122E-01,3.728E+01,3.392E+02,7.621E-01,2.172E+01,5.424E+02,8.325E-01,1.357E+01,7.921E+02,9.408E-01,8.550E+00,1.108E+03,1.140E+00,5.153E+00,1.511E+03
Km,7.701E-01,1.992E+01,5.850E+02,7.783E-01,1.987E+01,5.802E+02,8.023E-01,1.974E+01,5.667E+02,8.772E-01,1.932E+01,5.294E+02,1.163E+00,1.790E+01,4.310E+02
Kd,6.595E-01,6.633E+01,4.201E+02,7.031E-01,3.619E+01,5.116E+02,7.666E-01,2.079E+01,5.787E+02,8.672E-01,1.194E+01,6.309E+02,1.057E+00,6.508E+00,6.728E+02
kbm,7.729E-01,1.990E+01,5.833E+02,7.729E-01,1.990E+01,5.833E+02,7.729E-01,1.990E+01,5.833E+02,7.729E-01,1.990E+01,5.833E+02,7.729E-01,1.990E+01,5.833E+02
kbd,7.729E-01,1.990E+01,5.833E+02,7.729E-01,1.990E+01,5.833E+02,7.729E-01,1.990E+01,5.833E+02,7.729E-01,1.990E+01,5.833E+02,7.729E-01,1.990E+01,5.833E+02
