,L1_per,I1_min,H1_max,L2_per,I2_min,H2_max,L3_per,I3_min,H3_max,L4_per,I4_min,H4_max,L5_per,I5_min,H5_max
beta,1.202E+01,1.118E+02,3.115E+02,1.321E+01,9.007E+01,3.621E+02,1.471E+01,7.392E+01,4.076E+02,1.674E+01,6.045E+01,4.508E+02,1.987E+01,4.792E+01,4.929E+02
gammam,1.890E+01,5.109E+01,4.831E+02,1.609E+01,6.392E+01,4.411E+02,1.420E+01,7.815E+01,3.975E+02,1.278E+01,9.571E+01,3.509E+02,1.163E+01,1.205E+02,2.975E+02
gammamRNA,1.988E+01,4.790E+01,4.929E+02,1.670E+01,6.068E+01,4.500E+02,1.465E+01,7.446E+01,4.060E+02,1.313E+01,9.112E+01,3.594E+02,1.194E+01,1.139E+02,3.072E+02
gammad,2.584E+01,3.343E+01,6.039E+02,2.398E+01,3.681E+01,5.744E+02,2.211E+01,4.149E+01,5.272E+02,2.013E+01,4.908E+01,4.546E+02,1.799E+01,6.406E+01,3.481E+02
alphaass,1.163E+01,1.216E+02,2.951E+02,1.283E+01,9.519E+01,3.518E+02,1.436E+01,7.686E+01,4.010E+02,1.643E+01,6.205E+01,4.469E+02,1.966E+01,4.856E+01,4.912E+02
alphadiss,1.954E+01,4.893E+01,4.900E+02,1.651E+01,6.161E+01,4.483E+02,1.452E+01,7.541E+01,4.052E+02,1.304E+01,9.210E+01,3.595E+02,1.186E+01,1.149E+02,3.080E+02
phi0,1.163E+01,1.228E+02,2.900E+02,1.277E+01,9.676E+01,3.453E+02,1.418E+01,7.878E+01,3.932E+02,1.605E+01,6.434E+01,4.379E+02,1.881E+01,5.144E+01,4.812E+02
fm,2.143E+01,4.365E+01,5.065E+02,2.144E+01,4.362E+01,5.066E+02,2.149E+01,4.351E+01,5.067E+02,2.168E+01,4.309E+01,5.072E+02,2.248E+01,4.140E+01,5.092E+02
fd,1.486E+01,1.197E+02,2.690E+02,1.582E+01,8.902E+01,3.390E+02,1.705E+01,7.005E+01,3.987E+02,1.879E+01,5.556E+01,4.550E+02,2.174E+01,4.271E+01,5.101E+02
Km,2.396E+01,3.708E+01,5.333E+02,2.322E+01,3.872E+01,5.270E+02,2.196E+01,4.205E+01,5.132E+02,2.006E+01,4.898E+01,4.822E+02,1.753E+01,6.566E+01,4.115E+02
Kd,1.357E+01,1.361E+02,3.359E+02,1.449E+01,1.035E+02,3.887E+02,1.568E+01,8.111E+01,4.303E+02,1.737E+01,6.354E+01,4.659E+02,2.013E+01,4.820E+01,4.977E+02
kbm,2.148E+01,4.353E+01,5.067E+02,2.148E+01,4.353E+01,5.067E+02,2.148E+01,4.353E+01,5.067E+02,2.148E+01,4.353E+01,5.067E+02,2.148E+01,4.353E+01,5.067E+02
kbd,2.148E+01,4.353E+01,5.067E+02,2.148E+01,4.353E+01,5.067E+02,2.148E+01,4.353E+01,5.067E+02,2.148E+01,4.353E+01,5.067E+02,2.148E+01,4.353E+01,5.067E+02
