,L1_per,I1_min,H1_max,L2_per,I2_min,H2_max,L3_per,I3_min,H3_max,L4_per,I4_min,H4_max,L5_per,I5_min,H5_max
beta,3.360E+00,9.073E+01,3.142E+02,3.878E+00,6.645E+01,3.909E+02,4.552E+00,5.042E+01,4.615E+02,5.485E+00,3.827E+01,5.306E+02,6.945E+00,2.810E+01,5.997E+02
gammam,6.851E+00,2.907E+01,5.779E+02,5.191E+00,4.077E+01,5.242E+02,4.175E+00,5.477E+01,4.670E+02,3.461E+00,7.331E+01,4.045E+02,2.923E+00,1.015E+02,3.317E+02
gammamRNA,7.483E+00,2.566E+01,6.172E+02,5.722E+00,3.610E+01,5.445E+02,4.673E+00,4.838E+01,4.721E+02,3.939E+00,6.456E+01,3.982E+02,3.384E+00,8.911E+01,3.185E+02
gammad,7.882E+00,2.253E+01,7.193E+02,6.430E+00,3.001E+01,6.139E+02,5.471E+00,3.914E+01,5.126E+02,4.750E+00,5.177E+01,4.134E+02,4.173E+00,7.231E+01,3.120E+02
alphaass,2.960E+00,9.877E+01,3.379E+02,3.501E+00,7.191E+01,4.087E+02,4.219E+00,5.394E+01,4.701E+02,5.243E+00,4.026E+01,5.265E+02,6.919E+00,2.874E+01,5.794E+02
alphadiss,7.456E+00,2.637E+01,5.904E+02,5.624E+00,3.685E+01,5.418E+02,4.474E+00,4.967E+01,4.868E+02,3.647E+00,6.724E+01,4.234E+02,3.013E+00,9.505E+01,3.465E+02
phi0,3.393E+00,8.853E+01,3.200E+02,3.951E+00,6.417E+01,3.997E+02,4.692E+00,4.808E+01,4.737E+02,5.754E+00,3.583E+01,5.462E+02,7.549E+00,2.539E+01,6.192E+02
fm,5.765E+00,3.574E+01,5.468E+02,5.765E+00,3.574E+01,5.468E+02,5.765E+00,3.574E+01,5.468E+02,5.765E+00,3.574E+01,5.468E+02,5.765E+00,3.574E+01,5.468E+02
fd,4.717E+00,8.157E+01,3.184E+02,5.062E+00,5.618E+01,4.163E+02,5.522E+00,4.070E+01,5.087E+02,6.188E+00,2.966E+01,6.011E+02,7.333E+00,2.087E+01,6.959E+02
Km,5.764E+00,3.575E+01,5.468E+02,5.763E+00,3.577E+01,5.465E+02,5.757E+00,3.590E+01,5.450E+02,5.719E+00,3.666E+01,5.362E+02,5.519E+00,4.143E+01,4.864E+02
Kd,4.429E+00,1.012E+02,3.696E+02,4.763E+00,6.836E+01,4.443E+02,5.217E+00,4.811E+01,5.035E+02,5.885E+00,3.388E+01,5.539E+02,7.053E+00,2.288E+01,5.982E+02
kbm,5.765E+00,3.574E+01,5.468E+02,5.765E+00,3.574E+01,5.468E+02,5.765E+00,3.574E+01,5.468E+02,5.765E+00,3.574E+01,5.468E+02,5.765E+00,3.574E+01,5.468E+02
kbd,5.765E+00,3.574E+01,5.468E+02,5.765E+00,3.574E+01,5.468E+02,5.765E+00,3.574E+01,5.468E+02,5.765E+00,3.574E+01,5.468E+02,5.765E+00,3.574E+01,5.468E+02
