,L1_per,I1_min,H1_max,L2_per,I2_min,H2_max,L3_per,I3_min,H3_max,L4_per,I4_min,H4_max,L5_per,I5_min,H5_max
beta,2.811E-01,3.595E+01,2.473E+02,3.599E-01,2.301E+01,3.585E+02,4.710E-01,1.551E+01,4.822E+02,6.390E-01,1.047E+01,6.245E+02,9.316E-01,6.721E+00,7.899E+02
gammam,1.003E+00,6.210E+00,7.946E+02,6.605E-01,1.007E+01,6.336E+02,4.755E-01,1.528E+01,4.912E+02,3.569E-01,2.313E+01,3.645E+02,2.746E-01,3.702E+01,2.486E+02
gammamRNA,9.648E-01,6.460E+00,8.040E+02,6.482E-01,1.028E+01,6.311E+02,4.719E-01,1.547E+01,4.832E+02,3.573E-01,2.328E+01,3.552E+02,2.769E-01,3.714E+01,2.404E+02
gammad,5.605E-01,1.193E+01,6.771E+02,5.598E-01,1.202E+01,6.528E+02,5.579E-01,1.225E+01,6.006E+02,5.536E-01,1.281E+01,5.020E+02,5.434E-01,1.437E+01,3.523E+02
alphaass,2.803E-01,3.723E+01,2.449E+02,3.611E-01,2.314E+01,3.621E+02,4.761E-01,1.533E+01,4.891E+02,6.523E-01,1.019E+01,6.309E+02,9.676E-01,6.412E+00,7.901E+02
alphadiss,9.809E-01,6.314E+00,7.950E+02,6.607E-01,1.003E+01,6.365E+02,4.824E-01,1.505E+01,4.951E+02,3.662E-01,2.262E+01,3.685E+02,2.845E-01,3.602E+01,2.519E+02
phi0,2.809E-01,3.601E+01,2.469E+02,3.613E-01,2.286E+01,3.603E+02,4.756E-01,1.530E+01,4.868E+02,6.505E-01,1.024E+01,6.327E+02,9.623E-01,6.480E+00,8.030E+02
fm,5.334E-01,1.306E+01,5.569E+02,5.336E-01,1.305E+01,5.570E+02,5.351E-01,1.301E+01,5.572E+02,5.441E-01,1.277E+01,5.584E+02,6.055E-01,1.132E+01,5.660E+02
fd,4.943E-01,2.970E+01,2.726E+02,5.280E-01,1.702E+01,4.373E+02,5.755E-01,1.050E+01,6.371E+02,6.482E-01,6.552E+00,8.861E+02,7.787E-01,3.933E+00,1.198E+03
Km,5.434E-01,1.183E+01,6.039E+02,5.439E-01,1.185E+01,6.020E+02,5.461E-01,1.195E+01,5.946E+02,5.545E-01,1.236E+01,5.660E+02,5.890E-01,1.435E+01,4.587E+02
Kd,4.563E-01,5.542E+01,3.742E+02,4.863E-01,2.888E+01,4.672E+02,5.302E-01,1.602E+01,5.354E+02,6.007E-01,8.916E+00,5.886E+02,7.362E-01,4.703E+00,6.312E+02
kbm,5.563E-01,1.245E+01,5.600E+02,5.563E-01,1.245E+01,5.600E+02,5.563E-01,1.245E+01,5.600E+02,5.563E-01,1.245E+01,5.600E+02,5.563E-01,1.245E+01,5.600E+02
kbd,5.563E-01,1.245E+01,5.600E+02,5.563E-01,1.245E+01,5.600E+02,5.563E-01,1.245E+01,5.600E+02,5.563E-01,1.245E+01,5.600E+02,5.563E-01,1.245E+01,5.600E+02
