,beta,gammam,gammamRNA,gammad,alphaass,alphadiss,phi0,f1,f2,f3,f12,f13,f23,f123,kb1,kb2,kb3,ku1,ku2,ku3,bcoop12,bcoop13,bcoop23,bcoop123,ucoop12,ucoop13,ucoop23,ucoop123,DNAtot,taum,taumRNA,period,DNA0_min,DNA0_max,DNA1_min,DNA1_max,DNA2_min,DNA2_max,DNA3_min,DNA3_max,DNA12_min,DNA12_max,DNA23_min,DNA23_max,DNA13_min,DNA13_max,DNA123_min,DNA123_max,mRNA_min,mRNA_max,m_min,m_max,d_min,d_max,selected,monotonicity_type
1,0.01779,0.6992,0.1677,0.001085,0.1462,22.11,3.581,0.4924,0.8169,58.38,0.04048,51.43,0.09294,0.03426,44.36,0.1205,37.41,0.1347,0.01327,6.663,12.15,2.122,0.1008,1.217,0.4148,0.9988,0.4225,0.08557,1,0,0,277.8,0.001738,0.3916,0.06337,0.4142,9.88E-05,0.08243,0.001078,0.008055,0.1285,0.722,1.58E-05,0.0001371,0.0006492,0.1899,0.01736,0.6883,7.307,185.6,0.2219,4.547,0.0007482,0.1355,FALSE,0
2,0.05394,0.0732,0.09797,0.01353,0.04011,341,1.387,0.341,0.003131,26.05,22.76,0.002721,23.94,0.008491,3.312,47.27,0.00584,0.1548,676.8,0.05495,15.15,1.356,0.5962,4.508,0.6106,3.336,0.3385,0.0731,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,FALSE,1
3,12.5,0.5015,0.7562,0.07357,0.1165,18.01,0.1184,0.03843,1.363,28.84,0.0602,0.5681,0.002246,35.53,0.004699,0.01125,3.303,0.05922,4.082,26.48,0.1403,9.687,0.5134,1.384,0.5569,0.6126,5.327,1.595,1,0,0,104.8,0.4213,0.8808,0.03143,0.1374,0.0006503,0.004208,0.02948,0.1901,1.15E-05,0.0001287,2.23E-06,0.000156,0.03276,0.3645,6.60E-07,6.18E-05,0.2671,0.9571,6.638,22.23,0.2842,3.183,FALSE,3
4,12.59,0.2849,0.2966,0.002857,0.04251,51.93,0.04783,0.4799,48.9,0.9558,80.53,0.647,0.1908,0.1021,36.93,99.38,0.3688,0.02806,254.2,0.02067,0.5992,0.07488,15.95,3.785,0.0694,0.115,0.3543,0.4787,1,0,0,188.5,5.10E-05,0.01568,0.01334,0.1317,3.77E-06,4.39E-05,1.54E-05,0.01776,0.0002661,0.03775,7.07E-05,0.001686,0.002966,0.2174,0.739,0.9744,0.03711,0.4572,1.838,18.05,0.002834,0.2664,FALSE,0
5,0.7786,0.4042,1.255,0.000683,0.01302,1.236,0.4504,4.958,8.476,0.04735,21.34,0.06601,0.002112,1.199,2.915,3.117,0.08721,1.149,0.9819,0.03991,8.094,10.84,0.5851,0.08401,0.1765,0.1397,0.5049,0.1316,1,0,0,241.8,0.01987,0.2255,0.008584,0.01926,0.01099,0.02409,0.001368,0.03133,0.04496,0.2416,0.0007213,0.003286,0.0448,0.1572,0.4905,0.7259,0.7211,2.197,1.415,4.136,0.02483,0.1746,FALSE,0
6,6.664,0.0226,2.116,0.005512,0.0131,16.75,2.027,0.01735,3.396,0.5725,39.44,0.007969,0.26,0.00446,16.15,0.003885,0.01293,0.09179,0.09357,0.02553,0.8239,1.011,0.1799,2.728,2.323,0.06901,7.105,2.373,1,0,0,644.7,0.002251,0.01067,0.2207,0.3525,5.34E-05,8.17E-05,0.0004806,0.00158,0.0007371,0.002271,2.59E-07,3.17E-07,0.637,0.7742,4.84E-05,0.0001948,0.04779,0.09886,14.63,27.76,0.1675,0.6025,FALSE,3
7,0.5861,0.07234,0.3543,0.001166,0.1631,3.914,0.6269,0.02206,28.55,46.63,0.01197,31.61,48.23,0.005085,0.001616,8.125,0.02194,0.09523,18.17,54.87,3.162,1.757,3.718,18.55,0.1335,0.06405,0.07373,0.06951,1,0,0,160.9,0.005145,0.0627,2.93E-05,0.01304,0.002655,0.03634,2.58E-06,3.06E-05,0.001434,0.028,2.29E-05,0.002267,1.44E-06,1.65E-06,0.9012,0.9856,0.1786,2.03,2.175,10.64,0.1984,4.711,FALSE,0
8,9.778,0.1065,0.5674,0.003066,0.01055,112.1,0.05787,41.26,0.05412,0.007447,0.05553,0.01344,0.02188,0.001219,27.34,0.02427,0.1321,5.237,0.01239,0.1515,7.291,0.5644,9.637,2.461,0.3169,0.316,3.832,0.08053,1,0,0,155,0.03915,0.5047,0.001687,0.2586,0.0004828,0.4275,0.003014,0.009025,0.07237,0.1049,0.0002179,0.01596,0.0001457,0.01098,0.08127,0.8747,0.0243,1.076,3.562,73.16,0.001427,0.5032,FALSE,0
9,78.09,0.1033,0.5126,0.02952,0.02205,26.95,0.02408,17.32,0.2074,0.7259,0.06269,0.07326,15.58,0.06216,0.004544,1.7,1.442,0.02008,0.03668,0.417,0.3502,0.26,0.202,2.649,2.641,0.2167,8.339,0.1694,1,0,0,178.4,0.0003256,0.005158,0.0002935,0.007707,0.1919,0.4926,0.01433,0.03676,0.02407,0.09284,0.06957,0.2551,0.01539,0.06733,0.2515,0.5641,0.06362,0.1911,48.55,128,1.926,13.39,FALSE,1
10,17.53,0.2389,0.791,0.0009488,0.01487,105,3.061,0.01504,96.28,0.01413,0.05549,0.06785,0.001732,0.02008,0.001187,0.001281,0.009735,0.02171,0.7379,526,0.4056,1.283,0.8557,1.386,0.05035,0.3353,10.49,1.029,1,0,0,88.6,0.06826,0.4856,0.4032,0.4819,0.001605,0.0493,1.30E-05,0.0005758,0.09937,0.5369,6.01E-09,1.22E-05,8.20E-05,0.006045,4.03E-06,0.0006699,1.683,18.99,132.2,1164,2.475,192,TRUE,1
11,1.335,0.05553,0.9924,0.008934,0.0102,687.4,0.3127,0.0544,0.04627,33.3,1.046,1.008,0.449,11.49,0.001062,0.03202,3.285,274.7,0.01012,0.2988,0.1883,0.2926,0.4024,0.2622,14.14,1.579,0.05458,0.1163,1,0,0,945.1,0.15,0.9353,5.16E-09,2.27E-07,0.01094,0.1541,0.01476,0.6377,4.00E-12,2.76E-10,0.006822,0.4299,1.69E-11,1.49E-07,6.41E-13,6.44E-13,0.4236,6.775,10.35,152.2,0.001591,0.3436,FALSE,0
12,0.02546,0.2424,0.2348,0.002716,0.09467,2.95,0.912,0.761,70.02,0.04405,13.54,0.001273,0.0133,0.04338,0.0101,4.918,0.001172,0.01802,13.49,0.08473,0.646,11.85,0.2365,6.774,0.5729,2.502,1.969,1.854,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,FALSE,1
13,1.291,0.5332,1.935,0.06061,0.06063,363.9,8.277,0.6927,79.63,0.172,0.0164,22.45,0.1245,10.93,0.4277,37.77,0.04055,0.01697,40.08,0.2031,0.05851,7.309,0.1225,13.58,0.1348,11.5,0.09143,1.409,1,0,0,54.2,0.01849,0.2818,0.3191,0.8198,0.006959,0.08092,0.003309,0.007224,0.01089,0.1862,0.0001582,0.004665,0.003279,0.05747,0.000628,0.3851,5.925,40.04,14.62,91.41,0.03561,1.392,FALSE,0
14,78.29,0.2259,7.002,0.0005821,0.09845,58.49,0.8353,26.29,1.42,0.007885,8.868,0.001091,25.85,0.004599,0.01255,0.01099,13.93,0.03951,0.7217,0.133,9.043,0.05145,1.637,1.94,0.7087,0.4893,0.5715,0.1357,1,0,0,173.8,0.0001115,0.003114,4.95E-05,0.00989,1.79E-05,4.33E-05,0.1286,0.3941,0.0001201,0.001772,0.01002,0.09237,0.007104,0.09457,0.532,0.8153,0.05701,0.2858,22,89.53,0.8145,13.49,FALSE,1
15,7.446,0.576,5.73,0.0006243,0.1851,19.69,0.3967,20.65,0.001225,0.007303,37.58,0.3194,0.2143,18.84,2.017,0.833,0.01186,0.7624,36.27,0.1457,0.1801,9.108,0.7242,0.1485,7.521,0.0613,2.468,13.72,1,0,0,112.2,0.2745,0.7614,0.03903,0.3984,0.0003119,0.003692,0.001577,0.02529,4.46E-07,4.50E-07,2.42E-06,7.60E-06,0.1439,0.4459,9.92E-09,1.03E-08,0.1082,0.5985,1.442,7.417,0.02008,0.5155,FALSE,3
16,1.657,0.5008,1.854,0.0257,0.01553,0.2028,1.132,43.56,0.00452,0.002043,0.002595,16.62,0.006065,0.001539,7.181,0.01656,0.9067,32.73,0.0129,2.261,14.54,8.023,0.4149,0.7618,0.1369,0.1724,9.647,0.1227,1,0,0,137.5,0.01034,0.2539,0.002889,0.01441,0.002714,0.1832,0.005512,0.02293,0.09772,0.4358,7.20E-05,0.0003331,0.006923,0.1675,0.1914,0.7829,0.2318,1.982,0.8329,5.465,0.09586,1.549,FALSE,0
17,110.7,0.08903,0.3391,0.01495,0.01513,547.7,0.01068,74.34,0.001038,0.001696,0.001112,0.1709,0.1316,0.002078,7.277,0.001917,0.1349,6.074,0.01901,1.978,18.77,9.697,15.59,0.3115,0.1225,0.6805,0.0806,0.7751,1,0,0,140.1,0.01543,0.4149,0.0007139,0.1438,2.17E-05,0.4139,7.44E-05,0.006736,0.2296,0.2913,0.0004477,0.05089,6.10E-06,0.1245,0.07849,0.9354,0.004859,0.3087,10.24,248.7,0.002942,1.708,FALSE,0
18,1.87,0.3427,1.687,0.006108,0.9075,15.87,0.06093,16.24,0.1306,13.8,0.02581,60.06,0.002273,0.002492,4.751,0.003245,3.435,1.757,0.01885,0.9072,13.91,2.38,2.118,0.684,0.2197,2.296,3.003,1.288,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,FALSE,1
19,1.53,0.07544,0.5785,0.0005427,0.01551,21.7,0.02786,0.001512,65.65,0.6244,0.2907,0.005457,0.05518,0.01116,0.01022,2.278,0.2159,0.02217,0.4295,0.05553,0.3858,0.4939,1.656,19.09,0.05653,15.8,0.05219,0.2221,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,FALSE,0
20,0.06524,0.1864,0.1021,0.0693,0.01046,0.992,2.946,34.76,0.3136,0.1603,40.66,7.416,0.01783,0.001467,0.0034,0.3212,0.001647,0.09186,0.09179,0.01364,1.268,0.08424,1.96,8.09,0.2427,0.7245,0.1495,0.126,1,0,0,594.1,0.001581,0.1509,0.0004651,0.001259,0.03629,0.2414,0.0004824,0.02685,0.005631,0.09179,0.1488,0.2899,4.62E-06,0.0001815,0.3757,0.77,12.41,106.2,4.243,29.82,0.1798,8.753,FALSE,1
21,0.6249,0.3661,5.296,0.002541,0.831,18.79,2.219,5.028,1.062,47.81,0.461,0.00708,0.005513,53.16,0.008635,0.02557,70.2,0.01054,18.07,87.06,0.08498,10.58,1.687,0.1434,2.099,0.1423,0.1714,3.376,1,0,0,148.2,0.198,0.3561,0.01806,0.1337,2.82E-05,0.0001882,0.01607,0.1075,5.10E-07,6.71E-07,1.59E-05,0.000899,0.534,0.7005,9.50E-07,9.85E-06,0.7168,2.291,1.262,3.724,0.07056,0.6127,FALSE,2
22,0.144,0.4627,0.2516,0.001437,0.3853,9.988,0.3347,0.007185,65.01,0.001269,0.009101,0.1342,0.05589,0.01044,0.03363,0.2239,0.01667,0.764,0.1374,0.01611,0.6256,6.687,3.351,0.2706,1.558,1.295,0.07948,2.829,1,0,0,246.2,0.06409,0.6351,0.0001187,0.009768,0.008484,0.2807,0.008313,0.2041,1.16E-06,0.006554,0.2273,0.8132,0.0003435,0.004195,2.49E-05,0.01022,1.235,23.12,0.4197,6.605,0.007582,1.679,FALSE,0
23,0.3892,0.1987,0.1508,0.01371,0.3342,35.91,0.1919,0.0234,0.2975,0.1054,0.2151,3.629,68.63,0.4637,0.03289,0.6917,1.95,0.02001,0.01007,51.33,1.328,7.561,15.91,0.3181,0.1132,10.96,0.6217,0.3859,1,0,0,259.3,6.23E-05,0.169,0.0001491,0.02828,0.01119,0.3046,6.08E-06,0.0005056,0.3473,0.8579,0.001055,0.1696,1.17E-05,5.06E-05,0.003197,0.5845,0.438,11.8,0.9039,17.9,0.00771,2.981,FALSE,1
24,15.08,0.8342,0.9636,0.02272,0.7258,356,0.06642,0.08023,0.00136,2.589,86.71,27.15,0.3502,1.402,46.02,40.94,0.1,429.2,0.6657,0.4806,13.07,0.2015,0.1778,3.715,2.706,0.1438,0.5512,0.2242,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,FALSE,1
25,0.2091,0.2651,0.02365,0.0006736,0.01929,103,0.2037,0.07535,0.001725,0.02428,0.03198,36.57,0.0825,0.1545,6.898,0.01319,3.365,1.24,0.02977,0.8156,0.1596,3.558,4.735,8.372,1.22,1.564,0.06663,1.397,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,FALSE,1
26,0.1086,0.2523,0.1407,0.02926,0.1973,0.859,0.0296,0.4534,69.9,0.06037,0.04299,73.89,15.28,0.08801,70.69,0.06462,9.548,0.2348,0.01868,0.3182,2.179,0.1465,0.3692,2.235,0.1023,0.6036,0.2021,2.218,1,0,0,578.3,0.003277,0.08382,0.1082,0.3252,0.0003666,0.00909,0.01118,0.03216,0.2856,0.62,0.0023,0.005963,0.01496,0.1257,0.0731,0.4707,0.4159,1.972,0.1929,0.7577,0.009934,0.1219,FALSE,0
27,4.407,0.5689,1.94,0.009646,0.05977,0.2658,0.2584,0.07094,0.07057,13.1,0.006066,7.3,38.28,0.3082,18.03,0.01799,9.537,0.2066,0.04453,264.5,3.568,8.34,0.1955,0.241,0.05141,0.0543,0.1337,0.08645,1,0,0,381.8,0.005944,0.03401,0.09055,0.1539,0.0001487,0.001288,3.73E-05,6.40E-05,0.1603,0.3788,1.40E-06,3.28E-06,0.03571,0.0964,0.4093,0.6494,0.05788,0.1217,0.4518,0.9257,0.04811,0.1794,FALSE,0
28,0.5864,0.6008,1.03,0.003625,0.4269,443.1,4.898,6.728,49.8,0.005045,0.01733,0.9649,1.727,0.001702,0.7682,0.2277,0.06926,172.7,0.5581,0.02442,0.5418,0.2964,1.021,0.108,2.323,0.3975,0.6567,8.504,1,0,0,139,0.2355,0.8186,3.08E-05,0.001794,0.002998,0.1469,0.1553,0.5369,3.68E-08,0.0001841,0.002816,0.2716,1.50E-05,0.001407,4.82E-10,5.07E-10,3.522,37.85,3.499,36.05,0.01181,1.252,FALSE,1
29,1.251,0.2077,0.01622,0.0005787,0.1982,193.1,0.01516,0.5618,2.469,0.004558,0.02537,0.03469,89.67,0.6067,0.07734,43.99,27.62,0.02494,0.05866,143.6,0.1248,0.3529,1.902,0.4022,0.07222,0.4475,1.54,0.112,1,0,0,769.4,0.0005002,0.004116,0.0005578,0.00343,0.2293,0.4268,5.88E-05,0.0001095,0.4578,0.6166,0.01077,0.04379,5.42E-05,7.11E-05,0.04635,0.2185,1.828,4.235,11.02,25.48,0.1246,0.6662,FALSE,1
30,4.812,0.3968,0.8028,0.08235,0.05335,302.2,1.276,1.151,45.84,0.4089,1.034,0.003337,16.11,0.3284,0.001462,76.36,0.02318,0.05209,121.3,1.778,3.824,12.81,8.077,4.279,0.05459,7.308,0.1347,0.1331,1,0,0,69.4,0.06227,0.2525,0.0001433,0.07076,0.006468,0.1006,0.0006058,0.001102,0.01061,0.1939,0.001931,0.04348,5.47E-06,0.000106,0.538,0.8504,1.498,8.728,18.72,97.79,0.06189,1.688,FALSE,0
31,1.542,0.315,0.6009,0.01569,0.2338,81.65,0.2239,0.01321,0.1536,74.61,0.4575,0.3156,0.05238,0.004485,0.09422,0.07306,48.27,1.947,0.3041,68.83,1.058,4.949,8.57,4.232,1.584,15.26,0.05154,0.1749,1,0,0,53.5,0.09296,0.8199,0.0007302,0.01177,0.004607,0.1106,0.01022,0.179,3.39E-05,0.0002199,0.1243,0.7684,4.38E-06,0.00207,0.001249,0.1543,0.4627,4.798,2.924,18.63,0.02508,0.9923,FALSE,0
32,4.894,0.09279,0.6395,0.002054,0.1093,0.08837,0.01399,0.0316,5.149,8.254,0.001083,72.73,0.00201,0.01954,27.85,0.001931,0.1907,0.2855,0.01252,36.7,3.328,0.5194,2.47,0.7055,0.4316,0.06232,0.06974,0.122,1,0,0,846.6,0.0007842,0.04039,0.1046,0.5687,3.12E-05,0.00382,5.58E-06,3.03E-05,0.04749,0.3165,9.81E-06,9.01E-05,0.001181,0.02232,0.2399,0.8122,0.002773,0.03603,0.2468,1.327,0.1063,2.028,FALSE,0
33,0.1037,0.06962,0.04385,0.05344,0.05912,26.69,0.188,20.22,0.002258,0.008188,0.8559,0.1162,0.00476,0.001885,4.369,0.05555,0.003094,7.917,7.706,0.01834,10.43,8.634,7.738,0.06404,0.3394,0.07878,10.23,1.37,1,0,0,478,0.3315,0.4937,0.04951,0.108,0.0006473,0.001408,0.01543,0.03802,0.002187,0.01257,3.66E-05,5.00E-05,0.4059,0.5541,0.0006744,0.002195,6.482,11.13,9.439,15.59,0.197,0.5374,FALSE,1
34,0.2784,0.6751,0.3072,0.05327,0.2263,198,9.548,0.007715,0.1449,0.161,22.64,0.5513,0.04996,0.1173,0.2955,25.53,0.1231,1.517,5.94,0.05667,4.622,2.363,1.293,0.7069,0.7,0.1093,2.375,0.06093,1,0,0,83.9,0.01685,0.3706,0.001154,0.007916,0.01176,0.1983,0.003987,0.2145,0.0007083,0.09967,0.006793,0.02044,0.005306,0.1375,0.3525,0.8838,9.674,68.27,4.218,27.07,0.0206,0.8369,FALSE,0
35,69.17,0.4636,1.287,0.0459,0.3061,106,0.2611,0.1221,88.77,2.199,9.35,0.946,42.72,0.221,0.001228,0.01127,0.006264,0.038,4.898,51.38,0.6692,0.05588,0.07764,1.811,1.522,19.11,1.814,14.75,1,0,0,98.4,0.2382,0.7452,0.2359,0.6578,0.007814,0.077,0.0004132,0.004113,0.001534,0.06578,2.09E-07,3.95E-05,5.43E-07,2.31E-05,1.51E-11,1.31E-08,0.2843,1.558,42.05,192.4,5.104,106.9,TRUE,0
36,0.1839,0.4909,0.4309,0.01217,0.1346,15.1,2.025,0.946,63.96,0.01392,0.6645,18.99,0.004406,0.00274,0.0802,3.491,0.6627,0.01138,11.33,231.3,0.05509,0.1598,1.813,0.6688,0.3571,0.2952,3.019,14.15,1,0,0,136.2,0.4071,0.5071,0.4697,0.5618,0.01476,0.03207,0.0001372,0.0002982,0.002379,0.006265,2.57E-06,1.34E-05,7.77E-05,0.0002044,1.06E-08,6.69E-08,8.949,14.04,3.359,5.228,0.1006,0.2433,FALSE,1
37,0.1323,0.1044,1.443,0.008744,0.03413,9.094,1.332,20.96,0.001029,0.522,0.05865,0.785,0.003624,0.0699,15.36,0.03626,0.02308,1.785,0.1118,0.02251,2.285,1.206,12.86,12.25,0.637,0.09181,9.082,0.157,1,0,0,225.5,0.2776,0.3451,0.1005,0.1511,0.003773,0.005596,0.009027,0.02381,0.006174,0.007013,0.000249,0.0003906,0.06153,0.09565,0.4224,0.4973,2.357,3.271,3.041,4.06,0.03488,0.06157,FALSE,0
38,0.2748,0.7979,0.8695,0.02952,0.2044,148.9,1.471,0.1076,0.00956,41.83,0.4535,0.07733,0.2904,0.9603,0.5981,0.04644,44.97,0.8012,0.01413,3.137,0.0716,3.157,0.9682,2.528,0.173,2.12,0.0896,0.6723,1,0,0,489.3,0.1436,0.9522,0.0002115,0.02972,0.001368,0.2928,0.004046,0.6005,8.97E-06,0.0009499,0.004622,0.3446,1.82E-06,0.1749,1.42E-05,0.06042,1.469,42.13,0.5202,14.18,0.0004031,0.2757,FALSE,2
39,0.7978,0.5405,0.4087,0.03939,0.88,516.8,0.1045,0.005347,0.02135,3.253,70.13,0.03755,9.323,0.01066,56.68,36.69,0.004995,0.2129,0.0914,0.01074,0.3155,3.383,1.193,4.805,4.214,3.192,0.1173,0.5761,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,FALSE,0
40,1.041,0.9247,1.873,0.009041,0.02041,261.4,4.194,7.885,54.61,0.1111,0.3494,0.009999,43.78,0.2766,80.99,1.792,0.01075,9.535,0.1959,0.01941,0.2998,12.47,0.07202,10.66,6.91,0.08622,0.05008,2.508,1,0,0,642.7,0.1534,0.9479,0.004694,0.3591,0.005103,0.3555,0.0002293,0.1361,1.38E-06,0.03178,9.47E-05,0.005134,0.01068,0.3518,6.68E-05,0.07627,2.686,49.82,3.032,55.84,0.0007319,0.2434,FALSE,0
41,19.25,0.1994,1.584,0.06886,0.9148,86.57,0.02145,34.02,0.01,0.01619,2.024,0.1275,24.57,0.05182,0.7301,0.05045,0.02597,0.7174,58.07,0.01816,0.2962,5.787,7.031,0.158,0.09487,0.2481,1.543,0.6905,1,0,0,155.2,0.2402,0.7047,0.01127,0.1915,8.81E-06,0.0001803,0.03252,0.3115,5.80E-07,0.0003015,2.02E-05,9.73E-05,0.1193,0.5962,6.95E-06,0.0009184,0.01256,0.09394,1.328,7.674,0.01871,0.6215,FALSE,0
42,21.34,0.2046,5.429,0.02111,0.01226,616.3,1.179,0.2832,0.0101,0.1317,0.0129,48.78,25.25,0.07365,13.17,0.006277,1.639,5.07,0.1026,0.02269,0.9234,0.7929,0.8188,1.525,0.1751,3.154,0.4516,0.2452,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,FALSE,1
43,0.1769,0.4446,0.6975,0.01518,0.2053,1.684,0.2407,0.0246,0.1215,0.01012,2.352,12.61,0.004225,0.4287,8.077,0.002994,92.63,0.02537,0.04772,8.109,4.244,0.3019,10.4,0.882,0.2553,0.1285,1.05,0.2071,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,FALSE,0
44,0.01807,0.03935,0.03553,0.03364,0.04756,1.954,0.6993,0.001837,0.2305,40.78,0.5075,0.08456,79.8,0.05408,0.01521,0.006662,0.3257,0.01358,0.1397,6.751,0.1035,0.7651,16.57,2.672,0.08768,0.05685,0.2888,0.06527,1,0,0,1202,0.009483,0.1945,0.007447,0.06671,0.0001947,0.004431,5.79E-05,0.00528,0.0002492,0.02205,2.03E-05,0.01974,0.001004,0.03993,0.7311,0.9695,1.992,33.58,1.015,10.15,0.02534,2.465,FALSE,0
45,6.049,0.4654,0.0838,0.06094,0.01959,981.5,0.2121,0.00106,50.4,0.1663,0.01769,0.001291,0.4838,0.004718,0.4906,78.8,0.01467,0.01625,50.23,81.74,0.8195,5.603,1.564,0.1038,0.1605,15.39,0.1309,0.05786,1,0,0,116.9,0.2554,0.3526,0.4377,0.5117,0.01923,0.03109,2.20E-06,3.56E-06,0.1485,0.2543,1.58E-06,4.60E-06,1.21E-06,2.07E-06,7.86E-06,2.51E-05,3.338,4.583,43.42,59.46,0.03763,0.07057,FALSE,0
46,47.35,0.8406,4.607,0.04529,0.01425,275.8,0.07228,43.76,0.01889,0.003753,1.196,6.244,0.0282,4.374,56.97,0.06922,0.1575,0.6669,0.01753,0.07461,3.222,6.9,1.566,1.561,0.2653,0.09874,10.58,1.447,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,FALSE,0
47,14.07,0.5836,0.4624,0.015,0.1134,565.5,6.979,6.894,0.005088,2.403,41.46,0.01897,1.976,0.028,0.2664,22.35,0.00115,7.727,305.1,0.1296,11.69,14,4.879,3.028,5.525,0.7763,0.09624,0.1786,1,0,0,45.9,0.06725,0.09424,0.004993,0.008422,0.01047,0.01802,0.0009816,0.003658,0.001323,0.00418,0.01202,0.02297,0.002012,0.003846,0.8584,0.8911,3.785,5.36,91.81,128.3,1.69,3.299,FALSE,0
48,51.21,0.453,1.726,0.0276,0.2065,27.79,0.01911,0.2106,1.731,28.31,3.657,0.002725,0.02385,2.146,0.003935,0.04915,3.123,0.02452,0.6344,2.357,14.38,1.619,1.912,0.4275,3.576,0.08504,0.952,0.1883,1,0,0,182.5,0.1674,0.7877,0.001594,0.1975,0.001107,0.02255,0.01648,0.4691,0.0009341,0.003685,5.29E-05,0.1128,0.078,0.3052,0.002285,0.262,0.01327,0.1526,1.544,15.91,0.01797,1.879,FALSE,3
49,25.83,0.5413,2.059,0.07044,0.06541,67.32,0.2995,77.35,0.03017,0.4124,0.01994,1.471,0.005307,0.001363,0.5345,0.03744,0.08765,2.57,0.07175,0.2071,16.79,5.833,0.09043,6.233,0.09736,6.204,0.3497,2.659,1,0,0,52.1,0.2756,0.6376,0.00472,0.0502,0.016,0.1836,0.01072,0.09238,0.2443,0.5283,0.0006923,0.00195,8.67E-05,0.01382,0.002548,0.08218,0.1254,0.6303,6.22,28.28,0.03795,0.775,FALSE,0
50,16.88,0.1121,3.54,0.0008731,0.3265,630.5,0.1052,37.63,0.01934,1.471,0.1555,0.008514,4.818,8.227,10.11,0.08217,0.02796,9.326,0.0146,6.537,0.6604,2.299,0.3345,1.863,0.1281,0.05073,0.2866,13.97,1,0,0,272.1,0.5439,0.8084,0.01336,0.07696,0.1398,0.2972,5.27E-05,0.0003025,0.01877,0.1498,1.67E-05,0.0001346,4.34E-05,0.00181,9.92E-06,0.000544,0.03672,0.1045,5.672,15.41,0.01667,0.1229,FALSE,3
51,56.45,0.5019,3.885,0.001265,0.01662,497,4.613,0.05089,0.05897,1.208,0.001796,18.92,14.58,0.08802,8.665,0.002412,61.9,0.2498,0.9343,88.79,13.79,4.449,11.99,1.717,0.08357,17.76,2.644,0.5803,1,0,0,39.5,0.001307,0.2063,0.1284,0.756,4.10E-06,0.0007254,0.002576,0.01578,0.05979,0.3532,3.34E-05,0.0001907,0.005418,0.164,0.03137,0.6962,0.3533,3.703,44.11,314.2,0.06515,3.301,FALSE,1
52,0.9802,0.5529,5.582,0.0005503,0.1235,44.56,9.26,76.13,4.161,0.1651,99.8,0.001207,0.0797,0.03209,23.66,0.1311,0.0646,123.6,7.104,0.05659,2.129,11.72,0.2699,0.1526,1.166,1.502,0.2169,4.556,1,0,0,69,0.2781,0.8793,0.003,0.1013,0.0002889,0.009696,0.09124,0.4464,2.38E-06,0.004259,0.000139,0.006288,0.009095,0.4071,3.41E-07,0.0007129,1.53,14.29,2.882,22.09,0.02341,1.349,FALSE,1
53,0.01696,0.08315,0.4361,0.01474,0.04866,0.01111,0.5963,0.002808,0.8327,29.39,0.003983,29.85,6.168,0.01188,3.387,0.00201,19.45,11.4,0.05506,103.5,5.46,3.066,4.564,0.3552,0.261,0.05156,0.2323,0.05284,1,0,0,1037,0.04905,0.3014,0.004621,0.02153,0.0001655,0.007505,0.002912,0.01367,0.0007449,0.005071,0.000448,0.002963,0.005995,0.1244,0.6406,0.8889,0.5926,5.687,0.1324,0.7197,0.106,0.7393,FALSE,0
54,4.861,0.4593,0.3672,0.02222,0.2333,95.28,0.1273,0.001052,24.96,0.2512,22.42,0.02723,0.009092,71.15,0.007747,11.28,0.01688,1.183,20.04,0.1282,6.955,2.176,1.6,0.1103,0.8266,9.502,0.05731,18.95,1,0,0,86,0.1667,0.8214,0.0003612,0.003797,0.02994,0.3642,0.00865,0.1433,0.0001293,0.04912,0.07788,0.5936,7.07E-06,5.93E-05,6.03E-07,0.0001076,0.5073,3.412,5.538,34.29,0.07531,2.877,FALSE,3
55,0.4965,0.3518,9.996,0.004257,0.07051,5.258,7.393,65.07,0.02022,2.576,1.318,2.739,0.4305,0.00456,22.05,0.1323,0.00952,41.09,0.01811,3.24,0.1838,0.1412,0.09506,0.8689,18.14,0.4717,17.3,0.07685,1,0,0,129.6,0.1605,0.7364,0.001732,0.1757,0.2466,0.7626,9.50E-06,0.0009515,2.15E-05,0.005291,6.34E-08,1.59E-05,1.14E-08,0.0002054,8.56E-12,8.79E-12,0.3883,8.678,0.6449,10.43,0.007395,1.454,FALSE,1
56,49.7,0.7203,1.037,0.003862,0.7293,405.9,0.2002,0.004537,0.01266,36.08,5.77,0.001233,0.3335,0.0225,0.003317,0.01767,0.3242,0.6054,0.01855,4.498,0.5337,8.265,0.3888,17.37,6.93,1.075,12.74,0.1303,1,0,0,74.9,0.2224,0.6017,0.0002567,0.006835,0.3714,0.6758,0.003117,0.119,2.21E-05,0.00186,0.0001189,0.00807,1.43E-05,0.02324,4.85E-06,0.02475,0.1053,0.8818,7.408,58.63,0.09863,6.177,FALSE,1
