,beta,gammam,gammamRNA,gammad,alphaass,alphadiss,phi0,f1,f2,f3,f12,f13,f23,f123,kb1,kb2,kb3,ku1,ku2,ku3,bcoop12,bcoop13,bcoop23,bcoop123,ucoop12,ucoop13,ucoop23,ucoop123,DNAtot,taum,taumRNA,period,DNA0_min,DNA0_max,DNA1_min,DNA1_max,DNA2_min,DNA2_max,DNA3_min,DNA3_max,DNA12_min,DNA12_max,DNA23_min,DNA23_max,DNA13_min,DNA13_max,DNA123_min,DNA123_max,mRNA_min,mRNA_max,m_min,m_max,d_min,d_max,selected,monotonicity_type
935,114.4,0.7901,4.062,0.06862,0.01392,176.3,0.4995,0.4486,0.006653,14.32,0.7546,0.01583,11.16,0.002684,0.01592,7.402,45.1,0.02804,39.89,20.01,12.29,0.7211,1.138,1.513,0.174,1.456,0.1188,0.9332,1,0,0,45.7,0.152,0.4522,0.007448,0.1775,0.005034,0.0156,0.0609,0.1911,0.04894,0.1544,0.006936,0.1587,0.004174,0.01311,0.1555,0.4646,0.1929,0.5662,28.12,80.13,0.06246,0.5066,FALSE,0
936,0.9634,0.1624,0.02436,0.09066,0.01396,57.76,0.3663,0.6803,1.679,0.01775,0.004308,0.1476,41.65,3.145,0.01156,0.2497,55.36,0.01039,0.05937,0.1128,0.1347,0.4125,0.1108,7.112,0.9222,0.06034,7.678,8.614,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,FALSE,0
937,29.06,0.1196,0.1146,0.01161,0.08324,3.409,0.04237,0.00717,0.01257,1.302,0.0106,17.43,0.01428,0.002128,0.02272,0.001315,0.01633,10.72,0.2344,1.777,4.651,3.865,0.06163,9.858,0.2973,0.3296,0.07475,0.1328,1,0,0,155.9,0.05517,0.2351,0.002389,0.008167,0.005948,0.01986,0.01049,0.03508,0.005555,0.006165,0.0009515,0.003563,0.002329,0.0213,0.6963,0.9073,0.06333,0.2002,17.63,35.89,7.564,31.35,FALSE,0
938,0.3008,0.2861,0.5019,0.037,0.4437,320.7,0.8801,0.9914,0.002291,1.185,79.82,54.2,5.606,0.007391,3.915,0.001859,0.01851,17.45,1.5,0.609,0.5513,13.49,0.131,5.844,0.07981,0.1548,0.2056,0.06043,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,FALSE,1
939,0.793,0.2986,0.1116,0.008853,0.01062,0.1233,0.3676,0.783,0.01093,0.1037,0.003067,0.008049,15.59,0.01338,0.01382,7.542,1.912,0.01251,0.03307,38.72,0.09284,4.679,5.686,0.5981,1.932,0.1265,1.35,0.05675,1,0,0,290.7,3.05E-06,0.008463,2.61E-06,0.06196,0.01034,0.3067,2.24E-06,6.75E-05,0.0005597,0.08242,0.001909,0.1784,9.33E-05,0.0121,0.6229,0.9693,0.2181,8.211,0.6753,16.32,0.1059,19.7,TRUE,1
940,0.05355,0.3486,0.2794,0.03076,0.1483,11.72,4.362,0.002052,0.07308,71.65,0.0703,0.4063,0.4833,0.01123,0.04775,0.001089,0.1028,0.01154,0.1791,0.6831,7.249,0.1443,14.32,0.1272,14.24,1.941,18.42,0.169,1,0,0,172.7,0.2754,0.6438,0.3437,0.6882,0.0001416,0.001507,0.00247,0.04795,4.81E-05,0.001934,5.29E-07,0.0001744,0.0001803,0.006863,1.09E-08,1.18E-05,10.26,58.68,1.615,8.672,0.03333,0.9486,FALSE,1
941,12.21,0.03269,7.624,0.05601,0.2532,711.4,0.09344,22.96,2.547,0.04475,15.14,7.681,31.68,0.07247,0.05825,0.2018,12.49,2.934,0.03297,77.76,0.4815,1.369,13.89,10.07,0.08845,0.06898,0.1536,0.1032,1,0,0,1008,0.07859,0.78,5.42E-05,0.0008831,0.0444,0.1117,0.0003396,0.008274,8.80E-05,0.003114,0.006278,0.1877,5.04E-06,0.0002897,0.1188,0.814,0.009925,0.07993,4.216,22.75,0.006332,0.1841,FALSE,0
942,37.5,0.3276,3.65,0.0009065,0.06407,43.29,0.02635,0.03374,1.146,21.12,0.02083,0.04974,4.022,8.449,0.02773,0.3491,40.36,0.01426,3.205,0.9191,0.686,6.249,0.1533,0.07633,0.08772,0.06435,0.3665,0.2528,1,0,0,297.6,0.1225,0.5118,0.00154,0.0743,6.62E-05,0.001008,0.02709,0.4034,6.57E-05,0.0001259,1.57E-06,0.001308,0.3963,0.5828,9.66E-05,0.002272,0.007725,0.06274,0.9046,7.002,0.001274,0.07241,FALSE,2
943,0.06367,0.613,0.07186,0.006451,0.898,4.973,1.44,0.6695,84.18,0.01168,36.63,0.02518,1.175,0.2286,6.162,2.621,0.001662,0.01773,122.4,0.01752,8.867,5.881,0.2958,0.1478,1.056,0.07317,0.06485,0.2513,1,0,0,424.3,2.32E-05,0.02463,0.04163,0.2957,2.56E-06,1.85E-05,1.25E-06,0.002143,0.0002807,0.08604,7.61E-07,3.05E-06,0.2183,0.8858,0.005692,0.668,2.588,60.24,0.2737,5.89,0.01381,6.254,FALSE,0
944,7.403,0.5615,1.727,0.06688,0.01101,383.8,3.519,2.032,0.004458,0.1591,0.004878,3.214,13.13,0.01381,0.3278,29.84,45.42,0.1368,0.0987,4.598,0.6972,0.135,7.023,1.101,0.06958,0.9005,5.939,0.06468,1,0,0,110.6,0.0002026,0.2507,1.07E-05,0.02194,0.0483,0.2239,0.001579,0.00629,0.01941,0.6055,0.002818,0.5034,9.92E-06,0.0001696,0.02406,0.5945,0.4552,13.39,6.688,166.8,0.001349,0.7975,FALSE,0
