,L1_per,I1_min,H1_max,L2_per,I2_min,H2_max,L3_per,I3_min,H3_max,L4_per,I4_min,H4_max,L5_per,I5_min,H5_max
beta,4.310E-01,4.976E+01,6.707E+02,6.704E-01,2.862E+01,1.184E+03,1.024E+00,1.878E+01,1.876E+03,1.538E+00,1.310E+01,2.820E+03,2.322E+00,9.220E+00,4.103E+03
gammam,2.440E+00,9.345E+00,1.864E+03,1.606E+00,1.333E+01,1.592E+03,1.054E+00,1.923E+01,1.287E+03,6.752E-01,2.961E+01,9.593E+02,4.212E-01,5.226E+01,6.200E+02
gammamRNA,2.334E+00,9.179E+00,4.121E+03,1.545E+00,1.305E+01,2.833E+03,1.029E+00,1.869E+01,1.886E+03,6.740E-01,2.846E+01,1.191E+03,4.334E-01,4.936E+01,6.761E+02
gammad,3.743E-01,6.447E+01,4.937E+02,3.727E-01,6.847E+01,4.348E+02,3.710E-01,7.396E+01,3.752E+02,3.689E-01,8.208E+01,3.143E+02,3.666E-01,9.597E+01,2.492E+02
alphaass,3.795E-01,6.106E+01,5.455E+02,5.523E-01,3.697E+01,8.139E+02,7.920E-01,2.517E+01,1.076E+03,1.117E+00,1.826E+01,1.329E+03,1.552E+00,1.373E+01,1.568E+03
alphadiss,2.521E+00,9.085E+00,1.883E+03,1.681E+00,1.282E+01,1.624E+03,1.107E+00,1.841E+01,1.323E+03,7.042E-01,2.834E+01,9.900E+02,4.332E-01,5.024E+01,6.401E+02
phi0,4.265E-01,5.055E+01,6.601E+02,6.652E-01,2.887E+01,1.173E+03,1.018E+00,1.887E+01,1.866E+03,1.533E+00,1.314E+01,2.812E+03,2.320E+00,9.228E+00,4.100E+03
f1,3.754E-01,6.213E+01,5.377E+02,3.758E-01,6.211E+01,5.377E+02,3.781E-01,6.204E+01,5.377E+02,3.917E-01,6.159E+01,5.377E+02,4.978E-01,5.900E+01,5.380E+02
f2,3.751E-01,6.214E+01,5.377E+02,3.753E-01,6.213E+01,5.377E+02,3.768E-01,6.208E+01,5.377E+02,3.866E-01,6.176E+01,5.377E+02,4.711E-01,5.954E+01,5.380E+02
f3,3.753E-01,6.213E+01,5.377E+02,3.754E-01,6.213E+01,5.377E+02,3.760E-01,6.211E+01,5.377E+02,3.799E-01,6.197E+01,5.377E+02,4.098E-01,6.105E+01,5.378E+02
f12,3.752E-01,6.311E+01,5.367E+02,3.752E-01,6.279E+01,5.370E+02,3.756E-01,6.094E+01,5.389E+02,3.775E-01,5.016E+01,5.498E+02,3.903E-01,8.732E+00,6.069E+02
f13,3.753E-01,6.213E+01,5.377E+02,3.753E-01,6.213E+01,5.377E+02,3.753E-01,6.213E+01,5.377E+02,3.753E-01,6.211E+01,5.377E+02,3.754E-01,6.201E+01,5.378E+02
f23,3.748E-01,6.549E+01,5.343E+02,3.748E-01,6.547E+01,5.343E+02,3.748E-01,6.538E+01,5.344E+02,3.749E-01,6.477E+01,5.350E+02,3.756E-01,6.062E+01,5.392E+02
f123,3.753E-01,8.054E+01,4.144E+02,3.753E-01,5.860E+01,5.704E+02,3.754E-01,4.576E+01,7.353E+02,3.754E-01,3.715E+01,9.160E+02,3.754E-01,3.098E+01,1.117E+03
kb1,3.810E-01,6.541E+01,5.307E+02,3.286E-01,5.686E+01,5.485E+02,2.040E-01,5.556E+01,5.511E+02,8.809E-02,5.537E+01,5.515E+02,3.057E-02,5.534E+01,5.516E+02
kb2,3.807E-01,1.032E+02,5.176E+02,3.768E-01,6.527E+01,5.365E+02,3.612E-01,5.431E+01,5.404E+02,3.116E-01,5.152E+01,5.413E+02,2.183E-01,5.088E+01,5.414E+02
kb3,3.713E-01,8.543E+00,8.606E+02,3.483E-01,3.004E+00,9.320E+02,2.653E-01,1.631E+00,9.442E+02,1.375E-01,1.284E+00,9.463E+02,5.438E-02,1.216E+00,9.467E+02
ku1,3.080E-01,5.637E+01,5.495E+02,3.502E-01,5.789E+01,5.465E+02,3.739E-01,6.160E+01,5.388E+02,3.852E-01,7.062E+01,5.192E+02,3.901E-01,9.408E+01,4.671E+02
ku2,1.371E-01,5.075E+01,5.415E+02,2.533E-01,5.100E+01,5.414E+02,3.427E-01,5.246E+01,5.410E+02,3.738E-01,6.006E+01,5.384E+02,3.804E-01,9.363E+01,5.230E+02
ku3,3.489E-01,3.034E+00,9.317E+02,3.621E-01,4.318E+00,9.164E+02,3.692E-01,6.645E+00,8.855E+02,3.729E-01,1.174E+01,8.221E+02,3.747E-01,2.833E+01,6.860E+02
