,L1_per,I1_min,H1_max,L2_per,I2_min,H2_max,L3_per,I3_min,H3_max,L4_per,I4_min,H4_max,L5_per,I5_min,H5_max
beta,1.398E-01,4.070E+01,3.860E+02,2.308E-01,2.575E+01,6.556E+02,3.932E-01,1.772E+01,1.012E+03,6.980E-01,1.245E+01,1.490E+03,1.312E+00,8.444E+00,2.129E+03
gammam,1.310E+00,8.883E+00,1.301E+03,6.898E-01,1.303E+01,1.069E+03,3.808E-01,1.857E+01,8.315E+02,2.184E-01,2.712E+01,5.987E+02,1.292E-01,4.335E+01,3.788E+02
gammamRNA,1.309E+00,8.456E+00,2.126E+03,6.948E-01,1.248E+01,1.485E+03,3.905E-01,1.780E+01,1.007E+03,2.288E-01,2.593E+01,6.503E+02,1.384E-01,4.118E+01,3.808E+02
gammad,2.108E-01,2.524E+01,1.094E+03,2.070E-01,2.589E+01,9.694E+02,1.998E-01,2.724E+01,7.898E+02,1.870E-01,3.021E+01,5.693E+02,1.660E-01,3.771E+01,3.418E+02
alphaass,2.220E-01,2.680E+01,6.055E+02,3.454E-01,1.975E+01,7.911E+02,5.507E-01,1.486E+01,9.812E+02,9.013E-01,1.115E+01,1.170E+03,1.536E+00,8.018E+00,1.352E+03
alphadiss,2.264E+00,6.089E+00,1.458E+03,1.450E+00,8.327E+00,1.334E+03,8.079E-01,1.188E+01,1.129E+03,3.909E-01,1.827E+01,8.424E+02,1.767E-01,3.215E+01,5.096E+02
phi0,1.389E-01,4.101E+01,3.827E+02,2.287E-01,2.594E+01,6.500E+02,3.884E-01,1.786E+01,1.003E+03,6.869E-01,1.257E+01,1.475E+03,1.284E+00,8.560E+00,2.106E+03
f1,1.347E-01,3.280E+01,5.259E+02,1.348E-01,3.280E+01,5.259E+02,1.352E-01,3.277E+01,5.259E+02,1.385E-01,3.263E+01,5.259E+02,1.662E-01,3.160E+01,5.260E+02
f2,1.834E-01,3.112E+01,5.260E+02,1.840E-01,3.110E+01,5.260E+02,1.869E-01,3.103E+01,5.260E+02,2.015E-01,3.070E+01,5.260E+02,3.301E-01,2.911E+01,5.261E+02
f3,1.818E-01,3.116E+01,5.260E+02,1.818E-01,3.115E+01,5.260E+02,1.820E-01,3.115E+01,5.260E+02,1.832E-01,3.112E+01,5.260E+02,1.920E-01,3.091E+01,5.260E+02
f12,1.835E-01,3.243E+01,5.244E+02,1.835E-01,3.235E+01,5.245E+02,1.836E-01,3.180E+01,5.251E+02,1.844E-01,2.830E+01,5.295E+02,1.904E-01,9.779E+00,5.566E+02
f13,1.838E-01,3.111E+01,5.260E+02,1.838E-01,3.110E+01,5.260E+02,1.838E-01,3.108E+01,5.260E+02,1.838E-01,3.093E+01,5.262E+02,1.840E-01,2.993E+01,5.274E+02
f23,1.836E-01,3.173E+01,5.252E+02,1.836E-01,3.173E+01,5.252E+02,1.836E-01,3.168E+01,5.253E+02,1.837E-01,3.137E+01,5.257E+02,1.842E-01,2.930E+01,5.282E+02
f123,1.837E-01,6.404E+01,2.272E+02,1.837E-01,4.970E+01,3.017E+02,1.838E-01,4.097E+01,3.773E+02,1.838E-01,3.484E+01,4.579E+02,1.838E-01,3.021E+01,5.453E+02
kb1,1.451E-01,7.986E+01,4.576E+02,1.571E-01,4.553E+01,5.074E+02,1.931E-01,2.910E+01,5.283E+02,4.254E-01,1.986E+01,5.376E+02,2.745E+00,1.394E+01,5.418E+02
kb2,2.304E-01,3.893E+01,4.927E+02,1.829E-01,3.107E+01,5.262E+02,1.103E-01,2.979E+01,5.324E+02,5.248E-02,2.955E+01,5.335E+02,2.157E-02,2.950E+01,5.337E+02
kb3,1.839E-01,2.605E+01,5.499E+02,1.860E-01,1.022E+01,6.453E+02,1.910E-01,5.035E+00,6.846E+02,2.035E-01,2.758E+00,7.015E+02,2.398E-01,1.545E+00,7.088E+02
ku1,2.740E+00,1.395E+01,5.418E+02,4.236E-01,1.988E+01,5.376E+02,1.929E-01,2.913E+01,5.283E+02,1.570E-01,4.561E+01,5.073E+02,1.450E-01,8.006E+01,4.573E+02
ku2,9.568E-02,2.970E+01,5.328E+02,1.418E-01,3.009E+01,5.308E+02,1.876E-01,3.128E+01,5.252E+02,2.209E-01,3.502E+01,5.085E+02,2.386E-01,4.909E+01,4.572E+02
ku3,2.398E-01,1.546E+00,7.088E+02,2.035E-01,2.754E+00,7.015E+02,1.910E-01,5.017E+00,6.848E+02,1.861E-01,1.015E+01,6.458E+02,1.840E-01,2.571E+01,5.517E+02
bcoop12,1.839E-01,5.502E+01,4.860E+02,1.837E-01,2.902E+01,5.292E+02,1.834E-01,1.829E+01,5.442E+02,1.825E-01,1.337E+01,5.497E+02,1.803E-01,1.113E+01,5.517E+02
bcoop23,1.838E-01,2.861E+01,5.376E+02,1.840E-01,1.159E+01,6.367E+02,1.844E-01,5.816E+00,6.811E+02,1.854E-01,3.245E+00,7.019E+02,1.875E-01,1.918E+00,7.117E+02
bcoop13,1.838E-01,3.009E+01,5.307E+02,1.838E-01,1.272E+01,6.316E+02,1.839E-01,6.642E+00,6.793E+02,1.842E-01,3.872E+00,7.029E+02,1.847E-01,2.414E+00,7.147E+02
bcoop123,1.838E-01,2.584E+01,5.519E+02,1.839E-01,1.022E+01,6.523E+02,1.841E-01,5.090E+00,6.961E+02,1.846E-01,2.851E+00,7.159E+02,1.857E-01,1.708E+00,7.251E+02
ucoop12,1.835E-01,1.970E+01,5.425E+02,1.837E-01,2.575E+01,5.341E+02,1.838E-01,3.559E+01,5.188E+02,1.839E-01,5.262E+01,4.901E+02,1.839E-01,8.653E+01,4.326E+02
ucoop23,1.854E-01,3.226E+00,7.020E+02,1.846E-01,5.115E+00,6.868E+02,1.841E-01,8.606E+00,6.590E+02,1.839E-01,1.599E+01,6.070E+02,1.837E-01,3.585E+01,5.054E+02
