,L1_per,I1_min,H1_max,L2_per,I2_min,H2_max,L3_per,I3_min,H3_max,L4_per,I4_min,H4_max,L5_per,I5_min,H5_max
beta,1.046E+00,5.651E+01,4.856E+02,1.416E+00,3.556E+01,7.713E+02,1.899E+00,2.461E+01,1.115E+03,2.550E+00,1.764E+01,1.538E+03,3.525E+00,1.251E+01,2.065E+03
gammam,3.700E+00,1.348E+01,1.034E+03,2.643E+00,1.894E+01,9.294E+02,1.915E+00,2.653E+01,8.048E+02,1.370E+00,3.864E+01,6.576E+02,9.575E-01,6.187E+01,4.831E+02
gammamRNA,3.474E+00,1.270E+01,2.041E+03,2.529E+00,1.780E+01,1.525E+03,1.892E+00,2.473E+01,1.109E+03,1.416E+00,3.557E+01,7.710E+02,1.050E+00,5.613E+01,4.889E+02
gammad,1.240E+00,3.161E+01,3.218E+03,1.235E+00,3.232E+01,2.577E+03,1.225E+00,3.383E+01,1.849E+03,1.205E+00,3.723E+01,1.161E+03,1.168E+00,4.639E+01,6.047E+02
alphaass,8.328E-01,7.756E+01,4.082E+02,1.076E+00,5.246E+01,5.418E+02,1.371E+00,3.861E+01,6.579E+02,1.729E+00,2.965E+01,7.614E+02,2.161E+00,2.333E+01,8.539E+02
alphadiss,3.720E+00,1.340E+01,1.035E+03,2.648E+00,1.890E+01,9.302E+02,1.914E+00,2.654E+01,8.046E+02,1.365E+00,3.881E+01,6.559E+02,9.506E-01,6.255E+01,4.793E+02
phi0,1.038E+00,5.733E+01,4.787E+02,1.404E+00,3.598E+01,7.624E+02,1.882E+00,2.488E+01,1.103E+03,2.524E+00,1.784E+01,1.522E+03,3.477E+00,1.269E+01,2.042E+03
f1,1.112E+00,4.748E+01,5.810E+02,1.118E+00,4.745E+01,5.810E+02,1.143E+00,4.732E+01,5.810E+02,1.260E+00,4.674E+01,5.810E+02,2.080E+00,4.421E+01,5.812E+02
f2,9.926E-01,4.821E+01,5.809E+02,9.936E-01,4.820E+01,5.809E+02,1.000E+00,4.816E+01,5.809E+02,1.043E+00,4.788E+01,5.809E+02,1.430E+00,4.605E+01,5.811E+02
f3,1.163E+00,4.721E+01,5.810E+02,1.163E+00,4.721E+01,5.810E+02,1.163E+00,4.721E+01,5.810E+02,1.164E+00,4.721E+01,5.810E+02,1.169E+00,4.718E+01,5.810E+02
f12,1.165E+00,4.719E+01,5.810E+02,1.166E+00,4.703E+01,5.812E+02,1.169E+00,4.636E+01,5.819E+02,1.184E+00,4.352E+01,5.847E+02,1.253E+00,3.186E+01,5.967E+02
f13,1.165E+00,4.732E+01,5.809E+02,1.165E+00,4.730E+01,5.809E+02,1.165E+00,4.718E+01,5.810E+02,1.169E+00,4.636E+01,5.819E+02,1.198E+00,4.086E+01,5.874E+02
f23,1.165E+00,4.724E+01,5.810E+02,1.165E+00,4.724E+01,5.810E+02,1.165E+00,4.721E+01,5.810E+02,1.166E+00,4.699E+01,5.812E+02,1.173E+00,4.553E+01,5.827E+02
f123,1.164E+00,6.429E+01,4.259E+02,1.166E+00,4.362E+01,6.295E+02,1.168E+00,3.232E+01,8.579E+02,1.171E+00,2.510E+01,1.122E+03,1.174E+00,2.010E+01,1.432E+03
kb1,1.990E+00,7.137E+01,5.250E+02,1.633E+00,5.222E+01,5.695E+02,1.141E+00,4.707E+01,5.813E+02,6.931E-01,4.563E+01,5.845E+02,3.853E-01,4.523E+01,5.854E+02
kb2,1.136E+00,5.286E+01,5.742E+02,1.744E+00,2.918E+01,5.994E+02,3.060E+00,2.411E+01,6.033E+02,3.467E+00,2.321E+01,6.039E+02,3.537E+00,2.306E+01,6.039E+02
kb3,1.167E+00,3.943E+01,6.189E+02,1.177E+00,1.797E+01,7.624E+02,1.197E+00,9.945E+00,8.414E+02,1.235E+00,6.024E+00,8.867E+02,1.319E+00,3.750E+00,9.130E+02
ku1,1.292E-01,4.509E+01,5.857E+02,3.022E-01,4.516E+01,5.856E+02,6.771E-01,4.560E+01,5.846E+02,1.295E+00,4.803E+01,5.791E+02,1.890E+00,6.168E+01,5.474E+02
ku2,2.776E+00,2.483E+01,6.028E+02,1.990E+00,2.764E+01,6.007E+02,1.379E+00,3.420E+01,5.949E+02,1.154E+00,4.904E+01,5.788E+02,1.080E+00,8.523E+01,5.313E+02
ku3,1.321E+00,3.718E+00,9.134E+02,1.236E+00,5.981E+00,8.872E+02,1.197E+00,9.881E+00,8.421E+02,1.178E+00,1.786E+01,7.634E+02,1.167E+00,3.919E+01,6.201E+02
bcoop12,1.185E+00,7.247E+01,5.450E+02,1.158E+00,4.334E+01,5.861E+02,1.097E+00,3.138E+01,6.004E+02,9.824E-01,2.625E+01,6.055E+02,8.171E-01,2.415E+01,6.074E+02
bcoop23,1.162E+00,9.825E+01,4.139E+02,1.163E+00,6.619E+01,5.058E+02,1.165E+00,4.845E+01,5.753E+02,1.167E+00,3.714E+01,6.315E+02,1.169E+00,2.937E+01,6.782E+02
bcoop13,1.164E+00,6.572E+01,5.077E+02,1.167E+00,3.769E+01,6.282E+02,1.171E+00,2.446E+01,7.112E+02,1.177E+00,1.704E+01,7.715E+02,1.184E+00,1.244E+01,8.161E+02
bcoop123,1.167E+00,3.880E+01,6.226E+02,1.177E+00,1.747E+01,7.703E+02,1.195E+00,9.601E+00,8.521E+02,1.230E+00,5.793E+00,8.993E+02,1.309E+00,3.599E+00,9.269E+02
ucoop12,1.167E+00,4.815E+01,5.797E+02,1.177E+00,5.835E+01,5.656E+02,1.185E+00,7.324E+01,5.439E+02,1.190E+00,9.624E+01,5.097E+02,1.194E+00,1.363E+02,4.516E+02
ucoop23,1.207E+00,7.617E+00,8.745E+02,1.189E+00,1.099E+01,8.348E+02,1.178E+00,1.672E+01,7.765E+02,1.170E+00,2.771E+01,6.893E+02,1.164E+00,5.382E+01,5.523E+02
ucoop13,1.225E+00,5.923E+00,8.902E+02,1.198E+00,8.804E+00,8.560E+02,1.181E+00,1.376E+01,8.026E+02,1.171E+00,2.356E+01,7.179E+02,1.165E+00,4.797E+01,5.775E+02
ucoop123,1.309E+00,3.602E+00,9.268E+02,1.230E+00,5.800E+00,8.992E+02,1.195E+00,9.619E+00,8.519E+02,1.177E+00,1.752E+01,7.699E+02,1.167E+00,3.901E+01,6.215E+02
