,L1_per,I1_min,H1_max,L2_per,I2_min,H2_max,L3_per,I3_min,H3_max,L4_per,I4_min,H4_max,L5_per,I5_min,H5_max
beta,7.896E-02,2.131E+01,4.044E+02,1.045E-01,1.034E+01,8.086E+02,1.384E-01,5.566E+00,1.445E+03,1.866E-01,3.099E+00,2.449E+03,2.657E-01,1.696E+00,4.022E+03
gammam,2.797E-01,1.579E+00,3.050E+03,2.001E-01,2.750E+00,2.219E+03,1.514E-01,4.664E+00,1.525E+03,1.169E-01,8.036E+00,9.821E+02,9.073E-02,1.460E+01,5.800E+02
gammamRNA,2.650E-01,1.703E+00,4.009E+03,1.869E-01,3.092E+00,2.454E+03,1.390E-01,5.518E+00,1.456E+03,1.052E-01,1.018E+01,8.211E+02,7.975E-02,2.070E+01,4.159E+02
gammad,8.811E-02,1.537E+01,6.269E+02,8.811E-02,1.540E+01,6.199E+02,8.810E-02,1.547E+01,6.037E+02,8.807E-02,1.563E+01,5.678E+02,8.800E-02,1.604E+01,4.962E+02
alphaass,6.379E-02,4.592E+01,1.957E+02,6.873E-02,3.333E+01,2.671E+02,7.399E-02,2.587E+01,3.404E+02,7.961E-02,2.075E+01,4.192E+02,8.561E-02,1.698E+01,5.051E+02
alphadiss,2.755E-01,1.616E+00,3.016E+03,1.965E-01,2.843E+00,2.172E+03,1.480E-01,4.881E+00,1.473E+03,1.137E-01,8.547E+00,9.319E+02,8.773E-02,1.592E+01,5.359E+02
phi0,7.922E-02,2.111E+01,4.082E+02,1.050E-01,1.022E+01,8.175E+02,1.394E-01,5.488E+00,1.463E+03,1.884E-01,3.046E+00,2.486E+03,2.696E-01,1.658E+00,4.092E+03
f1,8.805E-02,1.577E+01,5.406E+02,8.805E-02,1.577E+01,5.406E+02,8.805E-02,1.577E+01,5.406E+02,8.805E-02,1.577E+01,5.406E+02,8.805E-02,1.577E+01,5.406E+02
f2,8.723E-02,1.581E+01,5.405E+02,8.736E-02,1.581E+01,5.405E+02,8.807E-02,1.577E+01,5.406E+02,9.236E-02,1.554E+01,5.408E+02,1.258E-01,1.425E+01,5.420E+02
f3,8.786E-02,1.578E+01,5.406E+02,8.871E-02,1.573E+01,5.406E+02,9.171E-02,1.558E+01,5.408E+02,1.034E-01,1.504E+01,5.413E+02,1.710E-01,1.315E+01,5.430E+02
