,L1_per,I1_min,H1_max,L2_per,I2_min,H2_max,L3_per,I3_min,H3_max,L4_per,I4_min,H4_max,L5_per,I5_min,H5_max
beta,8.448E-01,1.045E+02,4.972E+02,1.320E+00,7.274E+01,7.040E+02,2.066E+00,5.347E+01,9.277E+02,3.271E+00,3.954E+01,1.180E+03,5.393E+00,2.807E+01,1.468E+03
gammam,5.300E+00,2.844E+01,1.454E+03,3.239E+00,3.982E+01,1.172E+03,2.057E+00,5.365E+01,9.242E+02,1.320E+00,7.274E+01,7.038E+02,8.490E-01,1.040E+02,4.997E+02
gammamRNA,5.395E+00,2.806E+01,1.469E+03,3.284E+00,3.944E+01,1.182E+03,2.081E+00,5.321E+01,9.316E+02,1.334E+00,7.218E+01,7.091E+02,8.569E-01,1.031E+02,5.038E+02
gammad,1.008E+00,8.944E+01,5.785E+02,1.008E+00,8.960E+01,5.761E+02,1.007E+00,8.997E+01,5.703E+02,1.006E+00,9.090E+01,5.566E+02,1.003E+00,9.323E+01,5.256E+02
alphaass,8.481E-01,1.041E+02,4.991E+02,1.323E+00,7.262E+01,7.049E+02,2.069E+00,5.344E+01,9.272E+02,3.270E+00,3.957E+01,1.177E+03,5.382E+00,2.813E+01,1.462E+03
alphadiss,5.354E+00,2.823E+01,1.459E+03,3.264E+00,3.961E+01,1.176E+03,2.070E+00,5.342E+01,9.277E+02,1.327E+00,7.245E+01,7.065E+02,8.530E-01,1.035E+02,5.018E+02
phi0,8.061E-01,1.093E+02,4.755E+02,1.196E+00,7.823E+01,6.575E+02,1.776E+00,5.916E+01,8.497E+02,2.651E+00,4.540E+01,1.062E+03,4.025E+00,3.442E+01,1.300E+03
f1,1.008E+00,8.945E+01,5.784E+02,1.008E+00,8.945E+01,5.785E+02,1.008E+00,8.943E+01,5.785E+02,1.009E+00,8.935E+01,5.785E+02,1.010E+00,8.880E+01,5.791E+02
f2,1.008E+00,8.948E+01,5.784E+02,1.008E+00,8.947E+01,5.784E+02,1.009E+00,8.935E+01,5.785E+02,1.011E+00,8.855E+01,5.794E+02,1.031E+00,8.322E+01,5.848E+02
f3,1.008E+00,8.948E+01,5.784E+02,1.009E+00,8.934E+01,5.786E+02,1.011E+00,8.861E+01,5.793E+02,1.025E+00,8.462E+01,5.833E+02,1.113E+00,6.449E+01,6.044E+02
f12,1.008E+00,8.971E+01,5.767E+02,1.008E+00,8.971E+01,5.767E+02,1.008E+00,8.971E+01,5.768E+02,1.008E+00,8.968E+01,5.770E+02,1.008E+00,8.948E+01,5.782E+02
f13,1.008E+00,8.950E+01,5.781E+02,1.008E+00,8.948E+01,5.783E+02,1.008E+00,8.933E+01,5.792E+02,1.008E+00,8.838E+01,5.855E+02,1.009E+00,8.249E+01,6.278E+02
f23,1.007E+00,1.252E+02,4.115E+02,1.008E+00,9.707E+01,5.326E+02,1.009E+00,7.946E+01,6.519E+02,1.010E+00,6.683E+01,7.759E+02,1.010E+00,5.715E+01,9.074E+02
f123,1.008E+00,8.945E+01,5.782E+02,1.008E+00,8.944E+01,5.788E+02,1.008E+00,8.936E+01,5.823E+02,1.008E+00,8.880E+01,6.074E+02,1.008E+00,8.536E+01,8.284E+02
kb1,1.008E+00,8.280E+01,2.559E+03,1.008E+00,8.311E+01,1.983E+03,1.008E+00,8.389E+01,1.376E+03,1.008E+00,8.599E+01,8.563E+02,1.008E+00,9.237E+01,4.695E+02
kb2,1.009E+00,7.064E+01,6.202E+02,1.015E+00,3.354E+01,7.105E+02,1.027E+00,1.744E+01,7.504E+02,1.054E+00,9.286E+00,7.688E+02,1.129E+00,4.817E+00,7.774E+02
kb3,1.004E+00,7.542E+01,5.866E+02,9.396E-01,3.103E+01,6.070E+02,7.299E-01,1.817E+01,6.107E+02,4.080E-01,1.484E+01,6.113E+02,1.754E-01,1.413E+01,6.115E+02
ku1,1.008E+00,1.130E+02,2.402E+02,1.008E+00,1.030E+02,3.029E+02,1.008E+00,9.738E+01,3.670E+02,1.008E+00,9.370E+01,4.353E+02,1.008E+00,9.112E+01,5.090E+02
ku2,1.128E+00,4.852E+00,7.773E+02,1.054E+00,9.349E+00,7.686E+02,1.026E+00,1.756E+01,7.501E+02,1.015E+00,3.379E+01,7.099E+02,1.009E+00,7.129E+01,6.187E+02
ku3,6.181E-01,1.642E+01,6.110E+02,8.163E-01,2.065E+01,6.101E+02,9.379E-01,3.072E+01,6.071E+02,9.916E-01,5.355E+01,5.978E+02,1.011E+00,1.080E+02,5.668E+02
bcoop12,1.008E+00,8.729E+01,1.268E+03,1.008E+00,8.771E+01,9.699E+02,1.008E+00,8.863E+01,6.977E+02,1.008E+00,9.069E+01,4.730E+02,1.008E+00,9.604E+01,2.984E+02
bcoop23,1.007E+00,1.204E+02,5.160E+02,1.009E+00,7.824E+01,6.032E+02,1.011E+00,5.466E+01,6.594E+02,1.014E+00,3.957E+01,6.977E+02,1.018E+00,2.926E+01,7.247E+02
bcoop13,1.008E+00,8.291E+01,2.976E+03,1.008E+00,8.303E+01,2.528E+03,1.008E+00,8.338E+01,1.903E+03,1.008E+00,8.435E+01,1.256E+03,1.008E+00,8.724E+01,7.277E+02
bcoop123,1.008E+00,8.695E+01,1.613E+03,1.008E+00,8.719E+01,1.268E+03,1.008E+00,8.780E+01,9.017E+02,1.008E+00,8.940E+01,5.832E+02,1.008E+00,9.418E+01,3.415E+02
ucoop12,1.008E+00,8.907E+01,6.259E+02,1.008E+00,8.766E+01,9.968E+02,1.008E+00,8.717E+01,1.409E+03,1.008E+00,8.700E+01,1.759E+03,1.008E+00,8.693E+01,1.978E+03
ucoop23,1.057E+00,1.041E+01,7.724E+02,1.032E+00,1.689E+01,7.567E+02,1.019E+00,2.766E+01,7.289E+02,1.012E+00,4.696E+01,6.787E+02,1.008E+00,8.713E+01,5.835E+02
ucoop13,1.008E+00,9.462E+01,4.116E+02,1.008E+00,8.755E+01,7.011E+02,1.008E+00,8.491E+01,1.081E+03,1.008E+00,8.378E+01,1.543E+03,1.008E+00,8.327E+01,2.045E+03
ucoop123,1.008E+00,1.000E+02,2.522E+02,1.008E+00,9.367E+01,3.544E+02,1.008E+00,9.071E+01,4.752E+02,1.008E+00,8.911E+01,6.179E+02,1.008E+00,8.819E+01,7.825E+02
