,L1_per,I1_min,H1_max,L2_per,I2_min,H2_max,L3_per,I3_min,H3_max,L4_per,I4_min,H4_max,L5_per,I5_min,H5_max
beta,8.176E-01,8.831E+01,5.330E+02,1.036E+00,5.707E+01,7.572E+02,1.342E+00,3.883E+01,9.981E+02,1.805E+00,2.641E+01,1.267E+03,2.613E+00,1.707E+01,1.572E+03
gammam,2.635E+00,1.739E+01,1.371E+03,1.797E+00,2.720E+01,1.143E+03,1.323E+00,4.032E+01,9.254E+02,1.012E+00,5.982E+01,7.167E+02,7.926E-01,9.399E+01,5.094E+02
gammamRNA,2.714E+00,1.635E+01,1.599E+03,1.834E+00,2.590E+01,1.281E+03,1.347E+00,3.863E+01,1.001E+03,1.030E+00,5.759E+01,7.519E+02,8.067E-01,9.094E+01,5.198E+02
gammad,8.645E-01,6.735E+01,8.921E+02,8.633E-01,6.859E+01,8.459E+02,8.611E-01,7.107E+01,7.679E+02,8.571E-01,7.635E+01,6.458E+02,8.495E-01,8.941E+01,4.720E+02
alphaass,8.052E-01,9.083E+01,5.237E+02,1.027E+00,5.846E+01,7.283E+02,1.341E+00,3.962E+01,9.351E+02,1.818E+00,2.681E+01,1.151E+03,2.664E+00,1.717E+01,1.377E+03
alphadiss,2.707E+00,1.687E+01,1.385E+03,1.834E+00,2.653E+01,1.156E+03,1.347E+00,3.938E+01,9.385E+02,1.029E+00,5.832E+01,7.295E+02,8.045E-01,9.102E+01,5.228E+02
phi0,8.057E-01,9.121E+01,5.186E+02,1.021E+00,5.841E+01,7.438E+02,1.323E+00,3.959E+01,9.851E+02,1.779E+00,2.689E+01,1.254E+03,2.570E+00,1.740E+01,1.559E+03
f1,8.286E-01,8.057E+01,5.755E+02,8.291E-01,8.057E+01,5.755E+02,8.322E-01,8.057E+01,5.755E+02,8.533E-01,8.057E+01,5.755E+02,9.823E-01,8.054E+01,5.755E+02
f2,8.459E-01,8.057E+01,5.755E+02,8.459E-01,8.057E+01,5.755E+02,8.460E-01,8.057E+01,5.755E+02,8.466E-01,8.057E+01,5.755E+02,8.504E-01,8.057E+01,5.755E+02
f3,8.542E-01,8.057E+01,5.755E+02,8.542E-01,8.057E+01,5.755E+02,8.542E-01,8.057E+01,5.755E+02,8.542E-01,8.057E+01,5.755E+02,8.543E-01,8.057E+01,5.755E+02
f12,5.274E-02,1.088E+02,5.496E+02,5.383E-02,1.085E+02,5.498E+02,5.836E-02,1.075E+02,5.508E+02,8.263E-02,1.037E+02,5.544E+02,3.909E-01,8.938E+01,5.676E+02
f13,8.535E-01,8.058E+01,5.755E+02,8.536E-01,8.058E+01,5.755E+02,8.537E-01,8.057E+01,5.755E+02,8.545E-01,8.056E+01,5.755E+02,8.601E-01,8.048E+01,5.756E+02
f23,8.543E-01,8.057E+01,5.755E+02,8.543E-01,8.057E+01,5.755E+02,8.543E-01,8.057E+01,5.755E+02,8.543E-01,8.057E+01,5.755E+02,8.543E-01,8.056E+01,5.755E+02
f123,8.519E-01,8.407E+01,5.543E+02,8.854E-01,5.248E+01,8.299E+02,9.274E-01,3.542E+01,1.138E+03,9.815E-01,2.465E+01,1.494E+03,1.054E+00,1.732E+01,1.911E+03
kb1,5.917E+00,7.993E+01,5.736E+02,2.142E+00,8.047E+01,5.752E+02,1.132E+00,8.055E+01,5.755E+02,8.955E-01,8.056E+01,5.755E+02,8.538E-01,8.057E+01,5.755E+02
kb2,1.428E+00,9.696E+01,5.397E+02,1.061E+00,8.354E+01,5.688E+02,9.004E-01,8.107E+01,5.744E+02,8.561E-01,8.058E+01,5.755E+02,8.465E-01,8.049E+01,5.757E+02
kb3,8.476E-01,8.851E+01,5.550E+02,9.026E-01,4.768E+01,6.789E+02,9.827E-01,2.713E+01,7.691E+02,1.110E+00,1.544E+01,8.391E+02,1.353E+00,8.336E+00,8.949E+02
ku1,8.488E-01,8.057E+01,5.755E+02,8.629E-01,8.057E+01,5.755E+02,9.520E-01,8.056E+01,5.755E+02,1.403E+00,8.054E+01,5.754E+02,3.163E+00,8.036E+01,5.749E+02
ku2,8.444E-01,8.047E+01,5.757E+02,8.458E-01,8.048E+01,5.757E+02,8.558E-01,8.058E+01,5.755E+02,9.159E-01,8.125E+01,5.740E+02,1.167E+00,8.596E+01,5.634E+02
