,L1_per,I1_min,H1_max,L2_per,I2_min,H2_max,L3_per,I3_min,H3_max,L4_per,I4_min,H4_max,L5_per,I5_min,H5_max
beta,2.145E+00,4.786E+01,2.354E+02,2.444E+00,3.250E+01,3.252E+02,2.821E+00,2.350E+01,4.172E+02,3.328E+00,1.727E+01,5.157E+02,4.117E+00,1.240E+01,6.231E+02
gammam,3.961E+00,1.336E+01,5.599E+02,3.157E+00,1.886E+01,4.923E+02,2.634E+00,2.607E+01,4.209E+02,2.244E+00,3.664E+01,3.448E+02,1.934E+00,5.492E+01,2.605E+02
gammamRNA,4.027E+00,1.280E+01,6.133E+02,3.288E+00,1.763E+01,5.088E+02,2.801E+00,2.384E+01,4.128E+02,2.436E+00,3.279E+01,3.229E+02,2.144E+00,4.797E+01,2.349E+02
gammad,4.468E+00,9.587E+00,2.104E+03,4.249E+00,1.037E+01,1.639E+03,3.938E+00,1.181E+01,1.155E+03,3.534E+00,1.467E+01,7.221E+02,3.053E+00,2.161E+01,3.772E+02
alphaass,1.940E+00,5.438E+01,2.624E+02,2.252E+00,3.635E+01,3.466E+02,2.644E+00,2.587E+01,4.226E+02,3.172E+00,1.871E+01,4.940E+02,3.989E+00,1.323E+01,5.615E+02
alphadiss,4.092E+00,1.277E+01,5.675E+02,3.263E+00,1.787E+01,5.036E+02,2.715E+00,2.460E+01,4.340E+02,2.302E+00,3.455E+01,3.578E+02,1.971E+00,5.178E+01,2.721E+02
phi0,2.142E+00,4.812E+01,2.343E+02,2.438E+00,3.272E+01,3.235E+02,2.809E+00,2.370E+01,4.146E+02,3.307E+00,1.746E+01,5.121E+02,4.073E+00,1.259E+01,6.183E+02
f1,3.195E+00,1.825E+01,5.022E+02,3.195E+00,1.825E+01,5.022E+02,3.196E+00,1.825E+01,5.022E+02,3.199E+00,1.823E+01,5.022E+02,3.222E+00,1.812E+01,5.023E+02
f2,3.140E+00,1.853E+01,5.020E+02,3.166E+00,1.839E+01,5.021E+02,3.230E+00,1.808E+01,5.023E+02,3.395E+00,1.732E+01,5.028E+02,3.881E+00,1.542E+01,5.041E+02
f3,3.251E+00,1.798E+01,5.024E+02,3.252E+00,1.798E+01,5.024E+02,3.257E+00,1.796E+01,5.024E+02,3.288E+00,1.781E+01,5.025E+02,3.500E+00,1.687E+01,5.031E+02
f12,3.247E+00,1.808E+01,5.006E+02,3.247E+00,1.807E+01,5.007E+02,3.249E+00,1.803E+01,5.015E+02,3.259E+00,1.776E+01,5.069E+02,3.335E+00,1.604E+01,5.436E+02
f13,3.251E+00,1.798E+01,5.024E+02,3.251E+00,1.798E+01,5.024E+02,3.251E+00,1.798E+01,5.024E+02,3.251E+00,1.798E+01,5.024E+02,3.251E+00,1.798E+01,5.024E+02
f23,2.893E+00,4.236E+01,2.571E+02,3.020E+00,2.800E+01,3.608E+02,3.192E+00,1.972E+01,4.704E+02,3.444E+00,1.414E+01,5.908E+02,3.881E+00,9.966E+00,7.248E+02
