,L1_per,I1_min,H1_max,L2_per,I2_min,H2_max,L3_per,I3_min,H3_max,L4_per,I4_min,H4_max,L5_per,I5_min,H5_max
beta,4.308E+00,7.959E+01,3.445E+02,5.064E+00,5.794E+01,4.990E+02,6.004E+00,4.444E+01,6.799E+02,7.235E+00,3.447E+01,9.002E+02,9.053E+00,2.617E+01,1.171E+03
gammam,9.613E+00,2.701E+01,7.947E+02,7.473E+00,3.540E+01,7.182E+02,5.983E+00,4.569E+01,6.256E+02,4.834E+00,5.998E+01,5.160E+02,3.912E+00,8.338E+01,3.876E+02
gammamRNA,9.523E+00,2.468E+01,1.229E+03,7.830E+00,3.119E+01,9.971E+02,6.668E+00,3.839E+01,8.017E+02,5.771E+00,4.709E+01,6.359E+02,5.039E+00,5.845E+01,4.939E+02
gammad,6.087E+00,3.646E+01,2.204E+03,6.003E+00,3.795E+01,1.640E+03,5.863E+00,4.078E+01,1.134E+03,5.635E+00,4.648E+01,7.260E+02,5.292E+00,5.959E+01,4.181E+02
alphaass,3.907E+00,8.357E+01,3.868E+02,4.830E+00,6.003E+01,5.156E+02,5.982E+00,4.570E+01,6.255E+02,7.476E+00,3.539E+01,7.184E+02,9.625E+00,2.698E+01,7.950E+02
alphadiss,9.594E+00,2.707E+01,7.942E+02,7.457E+00,3.549E+01,7.174E+02,5.968E+00,4.583E+01,6.244E+02,4.819E+00,6.023E+01,5.143E+02,3.898E+00,8.393E+01,3.852E+02
phi0,4.340E+00,7.822E+01,3.515E+02,5.093E+00,5.738E+01,5.047E+02,6.027E+00,4.419E+01,6.843E+02,7.248E+00,3.439E+01,9.024E+02,9.045E+00,2.620E+01,1.170E+03
f1,5.506E+00,5.057E+01,5.853E+02,5.506E+00,5.057E+01,5.853E+02,5.506E+00,5.057E+01,5.853E+02,5.507E+00,5.057E+01,5.853E+02,5.507E+00,5.057E+01,5.853E+02
f2,5.471E+00,5.068E+01,5.853E+02,5.471E+00,5.068E+01,5.853E+02,5.476E+00,5.067E+01,5.853E+02,5.505E+00,5.058E+01,5.853E+02,5.713E+00,4.995E+01,5.854E+02
f3,5.386E+00,5.095E+01,5.852E+02,5.479E+00,5.066E+01,5.853E+02,5.707E+00,4.997E+01,5.854E+02,6.307E+00,4.828E+01,5.855E+02,8.177E+00,4.391E+01,5.860E+02
f12,5.506E+00,5.058E+01,5.853E+02,5.506E+00,5.058E+01,5.853E+02,5.506E+00,5.058E+01,5.853E+02,5.506E+00,5.058E+01,5.853E+02,5.506E+00,5.058E+01,5.853E+02
f13,5.507E+00,5.056E+01,5.853E+02,5.510E+00,5.049E+01,5.854E+02,5.522E+00,5.014E+01,5.859E+02,5.580E+00,4.855E+01,5.880E+02,5.887E+00,4.148E+01,5.979E+02
f23,5.255E+00,5.861E+01,5.746E+02,5.261E+00,5.842E+01,5.749E+02,5.282E+00,5.768E+01,5.759E+02,5.364E+00,5.490E+01,5.795E+02,5.726E+00,4.494E+01,5.930E+02
f123,5.474E+00,6.164E+01,4.499E+02,5.554E+00,4.117E+01,7.755E+02,5.681E+00,2.925E+01,1.246E+03,5.897E+00,2.114E+01,1.935E+03,6.318E+00,1.505E+01,2.944E+03
kb1,5.438E+00,7.957E+01,5.314E+02,5.501E+00,5.186E+01,5.829E+02,5.608E+00,3.514E+01,6.139E+02,5.801E+00,2.409E+01,6.333E+02,6.201E+00,1.624E+01,6.456E+02
kb2,5.263E+00,1.307E+02,4.984E+02,5.348E+00,8.073E+01,5.534E+02,5.492E+00,5.220E+01,5.836E+02,5.756E+00,3.396E+01,6.016E+02,6.317E+00,2.140E+01,6.126E+02
kb3,9.127E+00,4.964E+01,5.853E+02,3.412E+00,5.097E+01,5.853E+02,1.297E+00,5.123E+01,5.853E+02,4.990E-01,5.129E+01,5.853E+02,1.979E-01,5.130E+01,5.853E+02
ku1,6.460E+00,1.397E+01,6.487E+02,6.019E+00,1.877E+01,6.418E+02,5.787E+00,2.457E+01,6.325E+02,5.646E+00,3.197E+01,6.196E+02,5.553E+00,4.173E+01,6.018E+02
