,L1_per,I1_min,H1_max,L2_per,I2_min,H2_max,L3_per,I3_min,H3_max,L4_per,I4_min,H4_max,L5_per,I5_min,H5_max
beta,1.021E+00,3.890E+01,2.729E+02,1.269E+00,2.599E+01,4.148E+02,1.587E+00,1.861E+01,5.826E+02,2.019E+00,1.360E+01,7.863E+02,2.683E+00,9.713E+00,1.035E+03
gammam,2.640E+00,9.963E+00,9.413E+02,1.978E+00,1.400E+01,7.404E+02,1.546E+00,1.931E+01,5.622E+02,1.227E+00,2.725E+01,4.057E+02,9.799E-01,4.161E+01,2.661E+02
gammamRNA,2.680E+00,9.728E+00,1.034E+03,2.016E+00,1.362E+01,7.849E+02,1.584E+00,1.867E+01,5.809E+02,1.265E+00,2.610E+01,4.131E+02,1.018E+00,3.916E+01,2.710E+02
gammad,1.558E+00,1.908E+01,5.715E+02,1.496E+00,2.056E+01,4.864E+02,1.416E+00,2.294E+01,3.936E+02,1.316E+00,2.703E+01,2.975E+02,1.196E+00,3.528E+01,2.010E+02
alphaass,9.953E-01,4.020E+01,2.755E+02,1.245E+00,2.661E+01,4.151E+02,1.567E+00,1.894E+01,5.719E+02,2.006E+00,1.377E+01,7.503E+02,2.681E+00,9.789E+00,9.513E+02
alphadiss,2.775E+00,9.419E+00,9.726E+02,2.081E+00,1.316E+01,7.770E+02,1.621E+00,1.810E+01,5.958E+02,1.278E+00,2.554E+01,4.319E+02,1.009E+00,3.902E+01,2.839E+02
phi0,1.014E+00,3.948E+01,2.687E+02,1.260E+00,2.628E+01,4.102E+02,1.576E+00,1.879E+01,5.772E+02,2.004E+00,1.372E+01,7.799E+02,2.659E+00,9.814E+00,1.028E+03
f1,1.546E+00,1.927E+01,5.661E+02,1.551E+00,1.921E+01,5.662E+02,1.567E+00,1.899E+01,5.664E+02,1.625E+00,1.827E+01,5.671E+02,1.855E+00,1.589E+01,5.696E+02
f2,1.550E+00,1.921E+01,5.661E+02,1.553E+00,1.918E+01,5.662E+02,1.562E+00,1.906E+01,5.663E+02,1.601E+00,1.856E+01,5.668E+02,1.788E+00,1.652E+01,5.690E+02
f3,1.555E+00,1.916E+01,5.662E+02,1.555E+00,1.915E+01,5.662E+02,1.555E+00,1.915E+01,5.662E+02,1.556E+00,1.914E+01,5.662E+02,1.564E+00,1.903E+01,5.663E+02
f12,1.512E+00,3.078E+01,3.428E+02,1.560E+00,1.839E+01,5.912E+02,1.628E+00,1.204E+01,9.255E+02,1.734E+00,8.151E+00,1.381E+03,1.924E+00,5.473E+00,2.001E+03
f13,1.555E+00,1.915E+01,5.662E+02,1.555E+00,1.915E+01,5.662E+02,1.555E+00,1.915E+01,5.662E+02,1.555E+00,1.915E+01,5.662E+02,1.555E+00,1.915E+01,5.663E+02
f23,1.555E+00,1.915E+01,5.662E+02,1.555E+00,1.915E+01,5.662E+02,1.555E+00,1.915E+01,5.664E+02,1.555E+00,1.911E+01,5.676E+02,1.556E+00,1.887E+01,5.754E+02
f123,1.555E+00,1.916E+01,5.658E+02,1.555E+00,1.916E+01,5.658E+02,1.555E+00,1.916E+01,5.659E+02,1.555E+00,1.916E+01,5.660E+02,1.555E+00,1.915E+01,5.672E+02
kb1,1.564E+00,1.955E+01,5.643E+02,9.463E-01,9.848E+00,6.124E+02,4.051E-01,8.102E+00,6.214E+02,1.502E-01,7.774E+00,6.231E+02,5.359E-02,7.712E+00,6.235E+02
kb2,1.511E+00,5.070E+01,4.413E+02,1.537E+00,2.559E+01,5.341E+02,1.578E+00,1.455E+01,5.928E+02,1.648E+00,8.757E+00,6.321E+02,1.789E+00,5.335E+00,6.590E+02
kb3,1.554E+00,1.925E+01,5.527E+02,1.552E+00,1.946E+01,5.235E+02,1.549E+00,1.996E+01,4.667E+02,1.542E+00,2.116E+01,3.687E+02,1.526E+00,2.457E+01,2.298E+02
ku1,8.151E-01,9.234E+00,6.155E+02,1.110E+00,1.092E+01,6.069E+02,1.396E+00,1.451E+01,5.888E+02,1.617E+00,2.251E+01,5.506E+02,1.759E+00,4.340E+01,4.674E+02
ku2,1.784E+00,5.397E+00,6.585E+02,1.646E+00,8.843E+00,6.314E+02,1.577E+00,1.467E+01,5.920E+02,1.536E+00,2.581E+01,5.331E+02,1.511E+00,5.112E+01,4.400E+02
ku3,1.543E+00,2.104E+01,3.766E+02,1.553E+00,1.942E+01,5.284E+02,1.555E+00,1.914E+01,5.684E+02,1.555E+00,1.909E+01,5.768E+02,1.555E+00,1.907E+01,5.785E+02
bcoop12,1.466E+00,5.695E+01,4.154E+02,1.507E+00,2.988E+01,5.115E+02,1.569E+00,1.733E+01,5.772E+02,1.667E+00,1.051E+01,6.249E+02,1.854E+00,6.382E+00,6.603E+02
bcoop23,1.555E+00,1.910E+01,5.785E+02,1.555E+00,1.910E+01,5.782E+02,1.555E+00,1.910E+01,5.775E+02,1.555E+00,1.911E+01,5.754E+02,1.555E+00,1.914E+01,5.700E+02
bcoop13,1.555E+00,1.916E+01,5.649E+02,1.555E+00,1.916E+01,5.605E+02,1.555E+00,1.916E+01,5.490E+02,1.555E+00,1.917E+01,5.214E+02,1.555E+00,1.919E+01,4.649E+02
bcoop123,1.555E+00,1.915E+01,5.668E+02,1.555E+00,1.915E+01,5.657E+02,1.555E+00,1.915E+01,5.627E+02,1.555E+00,1.915E+01,5.549E+02,1.555E+00,1.915E+01,5.355E+02
ucoop12,1.857E+00,6.344E+00,6.607E+02,1.669E+00,1.046E+01,6.253E+02,1.569E+00,1.724E+01,5.778E+02,1.508E+00,2.971E+01,5.122E+02,1.467E+00,5.657E+01,4.165E+02
ucoop23,1.552E+00,2.116E+01,3.221E+02,1.554E+00,1.979E+01,4.581E+02,1.554E+00,1.934E+01,5.292E+02,1.555E+00,1.919E+01,5.597E+02,1.555E+00,1.913E+01,5.716E+02
ucoop13,1.555E+00,1.919E+01,4.723E+02,1.555E+00,1.917E+01,5.253E+02,1.555E+00,1.916E+01,5.507E+02,1.555E+00,1.916E+01,5.611E+02,1.555E+00,1.916E+01,5.652E+02
ucoop123,1.555E+00,1.915E+01,5.652E+02,1.555E+00,1.915E+01,5.666E+02,1.555E+00,1.915E+01,5.672E+02,1.555E+00,1.915E+01,5.674E+02,1.555E+00,1.915E+01,5.674E+02
