,L1_per,I1_min,H1_max,L2_per,I2_min,H2_max,L3_per,I3_min,H3_max,L4_per,I4_min,H4_max,L5_per,I5_min,H5_max
beta,1.574E+00,4.312E+01,2.577E+02,1.876E+00,3.003E+01,3.919E+02,2.267E+00,2.226E+01,5.523E+02,2.802E+00,1.677E+01,7.491E+02,3.629E+00,1.233E+01,9.922E+02
gammam,3.810E+00,1.206E+01,8.013E+02,2.969E+00,1.593E+01,6.991E+02,2.417E+00,2.045E+01,5.927E+02,2.010E+00,2.630E+01,4.842E+02,1.692E+00,3.467E+01,3.754E+02
gammamRNA,3.620E+00,1.236E+01,9.902E+02,2.793E+00,1.683E+01,7.461E+02,2.258E+00,2.239E+01,5.488E+02,1.867E+00,3.028E+01,3.881E+02,1.565E+00,4.372E+01,2.536E+02
gammad,4.165E+00,1.018E+01,1.775E+03,3.317E+00,1.325E+01,1.231E+03,2.696E+00,1.728E+01,8.148E+02,2.205E+00,2.335E+01,5.097E+02,1.807E+00,3.443E+01,2.892E+02
alphaass,2.241E+00,2.258E+01,5.494E+02,2.555E+00,1.907E+01,6.231E+02,2.946E+00,1.607E+01,6.955E+02,3.462E+00,1.339E+01,7.659E+02,4.227E+00,1.079E+01,8.338E+02
alphadiss,2.361E+00,2.107E+01,5.796E+02,2.193E+00,2.326E+01,5.367E+02,1.977E+00,2.694E+01,4.742E+02,1.728E+00,3.339E+01,3.893E+02,1.469E+00,4.615E+01,2.818E+02
phi0,1.574E+00,4.313E+01,2.576E+02,1.877E+00,3.001E+01,3.922E+02,2.269E+00,2.223E+01,5.532E+02,2.807E+00,1.673E+01,7.508E+02,3.640E+00,1.228E+01,9.951E+02
f1,2.294E+00,2.188E+01,5.634E+02,2.301E+00,2.186E+01,5.634E+02,2.330E+00,2.179E+01,5.634E+02,2.454E+00,2.152E+01,5.634E+02,3.045E+00,2.036E+01,5.634E+02
f2,1.495E+00,2.411E+01,5.633E+02,1.496E+00,2.411E+01,5.633E+02,1.498E+00,2.410E+01,5.633E+02,1.517E+00,2.403E+01,5.633E+02,1.656E+00,2.357E+01,5.633E+02
f3,2.259E+00,2.196E+01,5.634E+02,2.323E+00,2.181E+01,5.634E+02,2.470E+00,2.149E+01,5.634E+02,2.833E+00,2.075E+01,5.634E+02,3.883E+00,1.896E+01,5.635E+02
f12,2.293E+00,2.191E+01,5.633E+02,2.294E+00,2.190E+01,5.633E+02,2.297E+00,2.184E+01,5.634E+02,2.313E+00,2.149E+01,5.639E+02,2.425E+00,1.933E+01,5.667E+02
f13,2.287E+00,2.205E+01,5.631E+02,2.288E+00,2.202E+01,5.632E+02,2.295E+00,2.189E+01,5.634E+02,2.323E+00,2.128E+01,5.641E+02,2.471E+00,1.855E+01,5.677E+02
f23,2.226E+00,2.348E+01,5.613E+02,2.235E+00,2.326E+01,5.616E+02,2.259E+00,2.268E+01,5.623E+02,2.330E+00,2.113E+01,5.643E+02,2.569E+00,1.706E+01,5.697E+02
f123,2.265E+00,3.173E+01,3.515E+02,2.306E+00,1.986E+01,6.386E+02,2.369E+00,1.353E+01,1.053E+03,2.473E+00,9.492E+00,1.654E+03,2.672E+00,6.605E+00,2.519E+03
kb1,2.251E+00,5.851E+01,4.203E+02,2.270E+00,3.285E+01,5.121E+02,2.300E+00,2.065E+01,5.696E+02,2.348E+00,1.370E+01,6.077E+02,2.431E+00,9.294E+00,6.334E+02
kb2,1.566E+00,1.134E+02,4.752E+02,1.633E+00,6.757E+01,5.234E+02,1.763E+00,4.273E+01,5.471E+02,2.039E+00,2.748E+01,5.595E+02,2.717E+00,1.713E+01,5.662E+02
kb3,3.165E+00,2.097E+01,5.631E+02,1.456E+00,2.272E+01,5.637E+02,7.495E-01,2.339E+01,5.640E+02,4.084E-01,2.366E+01,5.641E+02,2.301E-01,2.378E+01,5.641E+02
ku1,1.383E-01,1.000E+00,6.902E+02,5.262E-01,8.063E-01,6.899E+02,,,,,,,2.423E+00,9.566E+00,6.318E+02
ku2,3.673E+00,1.220E+01,5.686E+02,2.873E+00,1.599E+01,5.668E+02,2.430E+00,1.999E+01,5.646E+02,2.153E+00,2.452E+01,5.616E+02,1.969E+00,2.983E+01,5.577E+02
ku3,3.634E-01,2.369E+01,5.641E+02,5.991E-01,2.352E+01,5.640E+02,1.020E+00,2.314E+01,5.639E+02,1.832E+00,2.235E+01,5.636E+02,3.638E+00,2.048E+01,5.629E+02
