,log10_var,log10_left_bound,log10_right_bound
beta,-1.5016894462103996,-1.614587931053356,-1.4702169498917255
gammam,-1.7695510786217261,-1.8031961663156633,-1.6554979817574351
gammamRNA,-1.45717457304082,-1.4842945512490868,-1.3467936840175019
gammad,-3.190440285364732,-3.3010299956639813,-1.996821457988247
alphaass,-0.5072396109731625,-0.7317367788541519,-0.44779746906224505
alphadiss,2.775974331129369,2.7167480318355626,3.0
phi0,0.10380372095595687,-0.0071390533913299175,0.135310621391099
f1,0.5390760987927766,-3.0,1.6262089237145578
f2,1.5932860670204574,1.4721740320501913,1.647302761244303
f3,-0.47495519296315475,-3.0,1.908155959636133
f12,0.3891660843645325,-3.0,2.0
f13,-0.8794260687941501,-3.0,2.0
f23,-2.1129456219490432,-3.0,2.0
f123,-2.1605219526258015,-3.0,2.0
kb1,-2.0154726866562074,-3.0,-0.9449413942175895
kb2,-2.586700235918748,-2.751374360669872,-2.528470643079936
kb3,-1.5228787452803376,-3.0,-0.5355094094449305
ku1,1.4533183400470377,0.384273502356695,3.0
ku2,0.012837224705172217,-0.04613261586236213,0.17328053783135924
ku3,2.2648178230095364,1.2777457292075245,3.0
bcoop12,0.2944662261615929,-1.3010299956639813,1.3010299956639813
bcoop23,-1.1611509092627446,-1.3010299956639813,1.3010299956639813
bcoop13,0.8481891169913987,-1.3010299956639813,1.3010299956639813
bcoop123,-0.8297382846050425,-1.3010299956639813,1.3010299956639813
ucoop12,1.2624510897304295,-1.3010299956639813,1.3010299956639813
ucoop23,-0.13786862068696282,-1.3010299956639813,1.3010299956639813
ucoop13,-0.9100948885606021,-1.3010299956639813,1.3010299956639813
ucoop123,-0.22548303427145044,-1.3010299956639813,1.3010299956639813
