,L1_per,I1_min,H1_max,L2_per,I2_min,H2_max,L3_per,I3_min,H3_max,L4_per,I4_min,H4_max,L5_per,I5_min,H5_max
beta,1.358E+00,4.947E+01,2.650E+02,1.544E+00,3.250E+01,3.546E+02,1.784E+00,2.257E+01,4.419E+02,2.118E+00,1.583E+01,5.310E+02,2.654E+00,1.078E+01,6.238E+02
gammam,2.414E+00,1.271E+01,5.763E+02,1.783E+00,2.004E+01,5.289E+02,1.410E+00,3.009E+01,4.744E+02,1.151E+00,4.518E+01,4.104E+02,9.571E-01,7.103E+01,3.310E+02
gammamRNA,2.609E+00,1.107E+01,6.177E+02,2.088E+00,1.626E+01,5.244E+02,1.761E+00,2.324E+01,4.346E+02,1.525E+00,3.367E+01,3.465E+02,1.342E+00,5.198E+01,2.554E+02
gammad,3.101E+00,7.002E+00,1.046E+03,2.678E+00,9.264E+00,8.177E+02,2.379E+00,1.244E+01,6.170E+02,2.140E+00,1.768E+01,4.399E+02,1.937E+00,2.847E+01,2.798E+02
alphaass,9.544E-01,7.160E+01,3.296E+02,1.149E+00,4.534E+01,4.098E+02,1.409E+00,3.011E+01,4.743E+02,1.786E+00,1.999E+01,5.292E+02,2.426E+00,1.262E+01,5.768E+02
alphadiss,2.471E+00,1.230E+01,5.790E+02,1.821E+00,1.936E+01,5.330E+02,1.434E+00,2.914E+01,4.791E+02,1.165E+00,4.396E+01,4.150E+02,9.638E-01,6.964E+01,3.346E+02
phi0,1.345E+00,5.141E+01,2.575E+02,1.534E+00,3.306E+01,3.507E+02,1.781E+00,2.265E+01,4.410E+02,2.128E+00,1.569E+01,5.333E+02,2.699E+00,1.051E+01,6.295E+02
f1,2.315E+00,1.348E+01,5.710E+02,2.315E+00,1.348E+01,5.710E+02,2.316E+00,1.348E+01,5.710E+02,2.320E+00,1.346E+01,5.710E+02,2.347E+00,1.336E+01,5.711E+02
f2,1.095E+00,2.117E+01,5.664E+02,1.096E+00,2.117E+01,5.664E+02,1.098E+00,2.115E+01,5.664E+02,1.112E+00,2.099E+01,5.665E+02,1.215E+00,1.993E+01,5.672E+02
f3,2.152E+00,1.413E+01,5.707E+02,2.181E+00,1.400E+01,5.707E+02,2.249E+00,1.373E+01,5.709E+02,2.412E+00,1.313E+01,5.712E+02,2.863E+00,1.171E+01,5.718E+02
f12,2.315E+00,1.348E+01,5.710E+02,2.315E+00,1.348E+01,5.710E+02,2.315E+00,1.348E+01,5.710E+02,2.315E+00,1.348E+01,5.710E+02,2.315E+00,1.348E+01,5.710E+02
f13,2.166E+00,1.789E+01,4.914E+02,2.166E+00,1.789E+01,4.915E+02,2.166E+00,1.787E+01,4.917E+02,2.169E+00,1.777E+01,4.933E+02,2.187E+00,1.710E+01,5.040E+02
f23,1.912E+00,4.249E+01,2.823E+02,2.017E+00,2.701E+01,3.842E+02,2.158E+00,1.821E+01,4.866E+02,2.366E+00,1.245E+01,5.938E+02,2.729E+00,8.306E+00,7.078E+02
f123,2.315E+00,1.348E+01,5.709E+02,2.315E+00,1.348E+01,5.709E+02,2.315E+00,1.348E+01,5.710E+02,2.315E+00,1.348E+01,5.715E+02,2.315E+00,1.348E+01,5.752E+02
kb1,2.178E+00,1.737E+01,5.222E+02,2.191E+00,1.690E+01,5.277E+02,2.222E+00,1.590E+01,5.396E+02,2.295E+00,1.393E+01,5.649E+02,2.501E+00,1.045E+01,6.160E+02
kb2,1.522E+00,6.615E+01,3.252E+02,1.650E+00,4.036E+01,4.119E+02,1.827E+00,2.628E+01,4.813E+02,2.091E+00,1.730E+01,5.406E+02,2.554E+00,1.099E+01,5.926E+02
kb3,2.040E+00,1.420E+01,5.708E+02,1.160E+00,1.684E+01,5.698E+02,7.349E-01,1.831E+01,5.692E+02,4.904E-01,1.917E+01,5.689E+02,3.374E-01,1.967E+01,5.687E+02
ku1,2.527E+00,1.014E+01,6.209E+02,2.314E+00,1.350E+01,5.708E+02,2.234E+00,1.553E+01,5.441E+02,2.198E+00,1.665E+01,5.306E+02,2.182E+00,1.722E+01,5.240E+02
ku2,2.550E+00,1.102E+01,5.923E+02,2.095E+00,1.720E+01,5.414E+02,1.834E+00,2.592E+01,4.834E+02,1.658E+00,3.942E+01,4.159E+02,1.530E+00,6.354E+01,3.324E+02
ku3,6.725E-02,2.037E+01,5.684E+02,1.259E-01,2.026E+01,5.684E+02,2.441E-01,1.996E+01,5.686E+02,5.012E-01,1.913E+01,5.689E+02,1.174E+00,1.680E+01,5.698E+02
bcoop12,2.315E+00,1.348E+01,5.601E+02,2.315E+00,1.349E+01,5.329E+02,2.315E+00,1.349E+01,4.771E+02,2.315E+00,1.351E+01,3.880E+02,2.315E+00,1.355E+01,2.820E+02
bcoop23,1.840E+00,5.829E+01,3.371E+02,1.939E+00,3.458E+01,4.281E+02,2.076E+00,2.201E+01,5.012E+02,2.279E+00,1.429E+01,5.634E+02,2.639E+00,9.066E+00,6.175E+02
bcoop13,2.185E+00,1.711E+01,5.252E+02,2.204E+00,1.646E+01,5.328E+02,2.243E+00,1.527E+01,5.475E+02,2.330E+00,1.317E+01,5.753E+02,2.553E+00,9.864E+00,6.254E+02
bcoop123,2.315E+00,1.348E+01,5.697E+02,2.315E+00,1.348E+01,5.558E+02,2.315E+00,1.349E+01,5.234E+02,2.315E+00,1.349E+01,4.602E+02,2.315E+00,1.351E+01,3.656E+02
ucoop12,2.315E+00,1.348E+01,5.602E+02,2.315E+00,1.348E+01,5.715E+02,2.315E+00,1.348E+01,5.759E+02,2.315E+00,1.348E+01,5.775E+02,2.315E+00,1.348E+01,5.781E+02
ucoop23,2.607E+00,9.351E+00,6.143E+02,2.269E+00,1.455E+01,5.609E+02,2.073E+00,2.220E+01,4.998E+02,1.940E+00,3.455E+01,4.282E+02,1.842E+00,5.747E+01,3.396E+02
ucoop13,2.725E+00,8.362E+00,6.505E+02,2.463E+00,1.095E+01,6.081E+02,2.340E+00,1.297E+01,5.781E+02,2.272E+00,1.449E+01,5.575E+02,2.232E+00,1.557E+01,5.437E+02
ucoop123,2.315E+00,1.348E+01,5.751E+02,2.315E+00,1.348E+01,5.772E+02,2.315E+00,1.348E+01,5.780E+02,2.315E+00,1.348E+01,5.782E+02,2.315E+00,1.348E+01,5.784E+02
