,L1_per,I1_min,H1_max,L2_per,I2_min,H2_max,L3_per,I3_min,H3_max,L4_per,I4_min,H4_max,L5_per,I5_min,H5_max
beta,1.501E+01,9.613E+01,3.345E+02,1.593E+01,7.344E+01,4.340E+02,1.704E+01,5.929E+01,5.289E+02,1.847E+01,4.881E+01,6.240E+02,2.053E+01,3.997E+01,7.214E+02
gammam,1.859E+01,5.202E+01,5.505E+02,1.774E+01,5.567E+01,5.405E+02,1.651E+01,6.214E+01,5.226E+02,1.487E+01,7.417E+01,4.902E+02,1.283E+01,9.972E+01,4.286E+02
gammamRNA,2.096E+01,3.864E+01,7.367E+02,1.872E+01,4.743E+01,6.383E+02,1.722E+01,5.762E+01,5.424E+02,1.607E+01,7.115E+01,4.472E+02,1.512E+01,9.221E+01,3.484E+02
gammad,2.033E+01,4.019E+01,7.290E+02,1.842E+01,4.872E+01,6.291E+02,1.708E+01,5.894E+01,5.316E+02,1.602E+01,7.283E+01,4.348E+02,1.513E+01,9.523E+01,3.336E+02
alphaass,1.352E+01,8.907E+01,4.530E+02,1.488E+01,7.409E+01,4.904E+02,1.605E+01,6.506E+01,5.146E+02,1.702E+01,5.925E+01,5.306E+02,1.780E+01,5.537E+01,5.413E+02
alphadiss,1.975E+01,4.781E+01,5.618E+02,1.962E+01,4.826E+01,5.606E+02,1.909E+01,5.011E+01,5.557E+02,1.768E+01,5.596E+01,5.397E+02,1.481E+01,7.473E+01,4.888E+02
phi0,1.493E+01,9.927E+01,3.241E+02,1.589E+01,7.418E+01,4.299E+02,1.706E+01,5.915E+01,5.300E+02,1.858E+01,4.819E+01,6.304E+02,2.086E+01,3.893E+01,7.334E+02
f1,1.709E+01,5.895E+01,5.313E+02,1.719E+01,5.878E+01,5.313E+02,1.746E+01,5.833E+01,5.314E+02,1.819E+01,5.712E+01,5.315E+02,2.042E+01,5.367E+01,5.318E+02
f2,1.675E+01,5.953E+01,5.312E+02,1.680E+01,5.945E+01,5.312E+02,1.695E+01,5.919E+01,5.313E+02,1.746E+01,5.832E+01,5.314E+02,1.934E+01,5.530E+01,5.316E+02
f3,1.707E+01,5.899E+01,5.313E+02,1.707E+01,5.899E+01,5.313E+02,1.707E+01,5.898E+01,5.313E+02,1.710E+01,5.895E+01,5.313E+02,1.724E+01,5.870E+01,5.313E+02
f12,1.706E+01,5.904E+01,5.312E+02,1.713E+01,5.865E+01,5.316E+02,1.730E+01,5.769E+01,5.325E+02,1.773E+01,5.536E+01,5.346E+02,1.900E+01,4.958E+01,5.397E+02
f13,1.705E+01,5.910E+01,5.312E+02,1.705E+01,5.910E+01,5.312E+02,1.705E+01,5.910E+01,5.312E+02,1.705E+01,5.909E+01,5.312E+02,1.706E+01,5.904E+01,5.312E+02
f23,1.702E+01,5.928E+01,5.310E+02,1.703E+01,5.924E+01,5.311E+02,1.706E+01,5.904E+01,5.312E+02,1.722E+01,5.813E+01,5.321E+02,1.799E+01,5.405E+01,5.358E+02
f123,1.623E+01,9.005E+01,3.544E+02,1.671E+01,6.797E+01,4.653E+02,1.733E+01,5.430E+01,5.729E+02,1.817E+01,4.435E+01,6.822E+02,1.947E+01,3.621E+01,7.953E+02
kb1,7.969E+00,4.533E+01,5.654E+02,3.018E+00,4.339E+01,5.712E+02,1.116E+00,4.312E+01,5.721E+02,4.106E-01,4.309E+01,5.722E+02,1.548E-01,4.308E+01,5.722E+02
kb2,1.701E+01,6.233E+01,5.283E+02,,,,,,,,,,7.009E+00,8.917E+00,5.741E+02
kb3,1.607E+01,9.923E+01,3.638E+02,1.655E+01,7.287E+01,4.605E+02,1.717E+01,5.715E+01,5.420E+02,1.802E+01,4.599E+01,6.144E+02,1.934E+01,3.706E+01,6.803E+02
ku1,1.826E+01,6.358E+01,5.211E+02,1.970E+01,7.190E+01,5.035E+02,2.096E+01,8.403E+01,4.791E+02,2.202E+01,1.025E+02,4.443E+02,2.287E+01,1.337E+02,3.913E+02
ku2,4.545E+00,1.012E+01,5.743E+02,,,,,,,,,,1.720E+01,5.373E+01,5.359E+02
