,L1_per,I1_min,H1_max,L2_per,I2_min,H2_max,L3_per,I3_min,H3_max,L4_per,I4_min,H4_max,L5_per,I5_min,H5_max
beta,2.903E-01,6.998E+01,3.146E+02,3.171E-01,4.845E+01,4.173E+02,3.478E-01,3.578E+01,5.167E+02,3.836E-01,2.722E+01,6.178E+02,4.256E-01,2.103E+01,7.225E+02
gammam,8.686E-01,6.645E+00,8.499E+02,5.960E-01,1.190E+01,7.657E+02,4.485E-01,1.998E+01,6.684E+02,3.530E-01,3.345E+01,5.554E+02,2.855E-01,5.930E+01,4.205E+02
gammamRNA,8.534E-01,5.828E+00,1.319E+03,6.105E-01,1.007E+01,1.061E+03,4.741E-01,1.651E+01,8.284E+02,3.835E-01,2.723E+01,6.176E+02,3.180E-01,4.796E+01,4.204E+02
gammad,3.818E-01,1.768E+01,2.586E+03,3.810E-01,1.819E+01,2.207E+03,3.794E-01,1.929E+01,1.699E+03,3.762E-01,2.189E+01,1.132E+03,3.701E-01,2.935E+01,6.046E+02
alphaass,2.831E-01,6.090E+01,4.142E+02,3.496E-01,3.424E+01,5.500E+02,4.432E-01,2.046E+01,6.635E+02,5.868E-01,1.222E+01,7.612E+02,8.482E-01,6.874E+00,8.459E+02
alphadiss,8.571E-01,6.772E+00,8.477E+02,5.918E-01,1.205E+01,7.637E+02,4.467E-01,2.013E+01,6.667E+02,3.523E-01,3.360E+01,5.544E+02,2.854E-01,5.938E+01,4.202E+02
phi0,3.199E-01,4.696E+01,4.269E+02,3.860E-01,2.678E+01,6.242E+02,4.776E-01,1.626E+01,8.353E+02,6.157E-01,9.917E+00,1.068E+03,8.638E-01,5.724E+00,1.328E+03
f1,3.609E-01,3.023E+01,5.797E+02,3.611E-01,3.023E+01,5.797E+02,3.624E-01,3.020E+01,5.797E+02,3.713E-01,3.003E+01,5.798E+02,4.404E-01,2.886E+01,5.806E+02
f2,3.696E-01,3.006E+01,5.798E+02,3.696E-01,3.006E+01,5.798E+02,3.696E-01,3.006E+01,5.798E+02,3.697E-01,3.006E+01,5.798E+02,3.702E-01,3.005E+01,5.798E+02
f3,3.125E-01,3.127E+01,5.790E+02,3.741E-01,2.998E+01,5.799E+02,4.996E-01,2.802E+01,5.811E+02,7.969E-01,2.500E+01,5.830E+02,1.668E+00,2.010E+01,5.858E+02
f12,3.696E-01,3.006E+01,5.798E+02,3.696E-01,3.006E+01,5.798E+02,3.696E-01,3.006E+01,5.798E+02,3.696E-01,3.006E+01,5.798E+02,3.696E-01,3.006E+01,5.798E+02
f13,3.656E-01,3.756E+01,4.977E+02,3.815E-01,1.830E+01,7.943E+02,4.049E-01,9.720E+00,1.133E+03,4.427E-01,5.265E+00,1.528E+03,5.155E-01,2.761E+00,1.989E+03
f23,3.694E-01,3.035E+01,5.761E+02,3.698E-01,2.984E+01,5.826E+02,3.711E-01,2.790E+01,6.092E+02,3.768E-01,2.173E+01,7.150E+02,4.037E-01,9.974E+00,1.118E+03
f123,3.696E-01,3.008E+01,5.755E+02,3.696E-01,3.006E+01,5.813E+02,3.696E-01,2.990E+01,6.238E+02,3.696E-01,2.890E+01,1.145E+03,3.697E-01,2.420E+01,2.964E+04
kb1,3.611E-01,4.601E+01,4.872E+02,3.779E-01,2.192E+01,6.452E+02,4.032E-01,1.132E+01,7.690E+02,4.444E-01,5.953E+00,8.688E+02,5.251E-01,3.016E+00,9.497E+02
kb2,3.694E-01,2.848E+01,9.886E+02,3.695E-01,2.855E+01,9.565E+02,3.695E-01,2.877E+01,8.687E+02,3.696E-01,2.951E+01,6.744E+02,3.698E-01,3.226E+01,3.789E+02
kb3,3.050E+00,2.553E+01,5.816E+02,1.451E+00,2.845E+01,5.805E+02,7.773E-01,2.954E+01,5.800E+02,4.479E-01,2.998E+01,5.798E+02,2.757E-01,3.015E+01,5.798E+02
ku1,5.218E-01,3.078E+00,9.477E+02,4.435E-01,6.018E+00,8.673E+02,4.030E-01,1.137E+01,7.683E+02,3.780E-01,2.185E+01,6.459E+02,3.613E-01,4.543E+01,4.900E+02
ku2,3.701E-01,3.716E+01,2.195E+02,3.698E-01,3.253E+01,3.636E+02,3.697E-01,3.059E+01,5.130E+02,3.696E-01,2.963E+01,6.513E+02,3.695E-01,2.911E+01,7.655E+02
ku3,4.140E-01,3.002E+01,5.798E+02,6.460E-01,2.973E+01,5.799E+02,1.056E+00,2.911E+01,5.802E+02,1.834E+00,2.777E+01,5.807E+02,3.536E+00,2.466E+01,5.819E+02
bcoop12,3.696E-01,3.006E+01,6.089E+02,3.696E-01,3.007E+01,5.630E+02,3.696E-01,3.009E+01,4.796E+02,3.696E-01,3.016E+01,3.657E+02,3.696E-01,3.035E+01,2.490E+02
bcoop23,3.694E-01,2.847E+01,9.976E+02,3.695E-01,2.849E+01,9.863E+02,3.695E-01,2.855E+01,9.569E+02,3.695E-01,2.873E+01,8.858E+02,3.695E-01,2.922E+01,7.378E+02
bcoop13,3.619E-01,4.668E+01,4.839E+02,3.770E-01,2.186E+01,6.459E+02,3.997E-01,1.116E+01,7.720E+02,4.367E-01,5.822E+00,8.733E+02,5.083E-01,2.944E+00,9.550E+02
bcoop123,3.696E-01,3.005E+01,6.419E+02,3.696E-01,3.005E+01,6.408E+02,3.696E-01,3.005E+01,6.379E+02,3.696E-01,3.005E+01,6.301E+02,3.696E-01,3.006E+01,6.107E+02
ucoop12,3.696E-01,3.060E+01,1.900E+02,3.696E-01,3.024E+01,2.966E+02,3.696E-01,3.012E+01,4.158E+02,3.696E-01,3.008E+01,5.195E+02,3.696E-01,3.006E+01,5.864E+02
ucoop23,3.702E-01,3.936E+01,1.863E+02,3.699E-01,3.429E+01,2.896E+02,3.698E-01,3.192E+01,3.998E+02,3.697E-01,3.061E+01,5.108E+02,3.696E-01,2.983E+01,6.157E+02
ucoop13,5.094E-01,2.922E+00,9.557E+02,4.370E-01,5.795E+00,8.739E+02,3.998E-01,1.114E+01,7.725E+02,3.770E-01,2.186E+01,6.459E+02,3.618E-01,4.681E+01,4.833E+02
ucoop123,3.696E-01,3.029E+01,2.711E+02,3.696E-01,3.014E+01,3.896E+02,3.696E-01,3.008E+01,4.993E+02,3.696E-01,3.006E+01,5.749E+02,3.696E-01,3.006E+01,6.145E+02
