,L1_per,I1_min,H1_max,L2_per,I2_min,H2_max,L3_per,I3_min,H3_max,L4_per,I4_min,H4_max,L5_per,I5_min,H5_max
beta,1.538E+00,6.388E+01,2.993E+02,1.776E+00,4.335E+01,4.064E+02,2.086E+00,3.043E+01,5.212E+02,2.517E+00,2.119E+01,6.499E+02,3.212E+00,1.408E+01,7.970E+02
gammam,3.495E+00,1.639E+01,5.962E+02,2.445E+00,2.445E+01,5.639E+02,1.804E+00,3.515E+01,5.186E+02,1.361E+00,5.085E+01,4.555E+02,1.040E+00,7.754E+01,3.663E+02
gammamRNA,3.222E+00,1.401E+01,7.987E+02,2.519E+00,2.116E+01,6.504E+02,2.085E+00,3.045E+01,5.209E+02,1.774E+00,4.349E+01,4.055E+02,1.534E+00,6.430E+01,2.976E+02
gammad,2.994E+00,1.042E+01,1.780E+03,2.726E+00,1.312E+01,1.269E+03,2.466E+00,1.762E+01,8.846E+02,2.214E+00,2.587E+01,5.943E+02,1.973E+00,4.324E+01,3.691E+02
alphaass,1.036E+00,7.808E+01,3.648E+02,1.347E+00,5.163E+01,4.525E+02,1.770E+00,3.598E+01,5.151E+02,2.375E+00,2.528E+01,5.604E+02,3.337E+00,1.724E+01,5.931E+02
alphadiss,3.669E+00,1.555E+01,5.993E+02,2.569E+00,2.310E+01,5.695E+02,1.879E+00,3.342E+01,5.259E+02,1.401E+00,4.885E+01,4.631E+02,1.056E+00,7.543E+01,3.725E+02
phi0,1.536E+00,6.411E+01,2.983E+02,1.779E+00,4.318E+01,4.076E+02,2.097E+00,3.011E+01,5.248E+02,2.543E+00,2.081E+01,6.566E+02,3.279E+00,1.364E+01,8.078E+02
f1,2.113E+00,2.834E+01,5.483E+02,2.252E+00,2.783E+01,5.483E+02,2.513E+00,2.695E+01,5.484E+02,3.051E+00,2.541E+01,5.485E+02,4.376E+00,2.249E+01,5.487E+02
f2,2.168E+00,2.813E+01,5.483E+02,2.168E+00,2.813E+01,5.483E+02,2.168E+00,2.813E+01,5.483E+02,2.169E+00,2.813E+01,5.483E+02,2.177E+00,2.810E+01,5.483E+02
f3,2.168E+00,2.813E+01,5.483E+02,2.168E+00,2.813E+01,5.483E+02,2.172E+00,2.812E+01,5.483E+02,2.197E+00,2.802E+01,5.483E+02,2.384E+00,2.737E+01,5.484E+02
f12,1.691E+00,7.537E+01,4.910E+02,1.695E+00,7.461E+01,4.919E+02,1.708E+00,7.226E+01,4.945E+02,1.752E+00,6.508E+01,5.026E+02,1.922E+00,4.485E+01,5.264E+02
f13,2.168E+00,2.814E+01,5.483E+02,2.168E+00,2.812E+01,5.483E+02,2.171E+00,2.800E+01,5.485E+02,2.186E+00,2.728E+01,5.495E+02,2.287E+00,2.319E+01,5.557E+02
f23,2.162E+00,2.843E+01,5.479E+02,2.162E+00,2.843E+01,5.479E+02,2.162E+00,2.842E+01,5.479E+02,2.163E+00,2.840E+01,5.479E+02,2.165E+00,2.828E+01,5.481E+02
f123,2.159E+00,3.580E+01,3.901E+02,2.181E+00,2.229E+01,7.674E+02,2.219E+00,1.483E+01,1.385E+03,2.291E+00,1.002E+01,2.404E+03,2.447E+00,6.641E+00,4.082E+03
kb1,5.604E+00,2.602E+01,5.495E+02,2.836E+00,2.780E+01,5.485E+02,1.504E+00,2.841E+01,5.481E+02,8.193E-01,2.864E+01,5.480E+02,4.588E-01,2.872E+01,5.480E+02
kb2,1.829E+00,1.298E+02,4.484E+02,1.892E+00,7.964E+01,4.978E+02,1.991E+00,4.896E+01,5.278E+02,2.160E+00,2.869E+01,5.478E+02,2.507E+00,1.509E+01,5.616E+02
kb3,2.149E+00,4.715E+01,4.499E+02,2.169E+00,2.761E+01,5.512E+02,2.206E+00,1.750E+01,6.086E+02,2.279E+00,1.132E+01,6.417E+02,2.442E+00,7.191E+00,6.610E+02
ku1,9.943E-01,2.859E+01,5.480E+02,1.558E+00,2.839E+01,5.482E+02,2.478E+00,2.798E+01,5.484E+02,4.020E+00,2.711E+01,5.489E+02,6.808E+00,2.510E+01,5.499E+02
ku2,2.554E+00,1.419E+01,5.625E+02,2.195E+00,2.637E+01,5.501E+02,2.019E+00,4.407E+01,5.326E+02,1.914E+00,7.002E+01,5.072E+02,1.847E+00,1.100E+02,4.680E+02
ku3,2.437E+00,7.259E+00,6.607E+02,2.275E+00,1.150E+01,6.408E+02,2.204E+00,1.789E+01,6.064E+02,2.167E+00,2.850E+01,5.463E+02,2.148E+00,4.959E+01,4.387E+02
